question,correct_answer
What is 18879 plus 62438?,81317
What is 23817 plus 70353?,94170
What is 22829 plus 56098?,78927
What is 42286 plus 39705?,81991
What is 30892 plus 20676?,51568
What is 73082 plus 36441?,109523
What is 97789 plus 13980?,111769
What is 25223 plus 42633?,67856
What is 12898 plus 84846?,97744
What is 69181 plus 58354?,127535
What is 11593 plus 76913?,88506
What is 11399 plus 93288?,104687
What is 86275 plus 28712?,114987
What is 81714 plus 78731?,160445
What is 46025 plus 41978?,88003
What is 11670 plus 74872?,86542
What is 88054 plus 73228?,161282
What is 18447 plus 29909?,48356
What is 77320 plus 70436?,147756
What is 69060 plus 83136?,152196
What is 91455 plus 28802?,120257
What is 47367 plus 22363?,69730
What is 557116 plus 474849?,1031965
What is 271575 plus 511407?,782982
What is 264386 plus 523488?,787874
What is 413512 plus 393806?,807318
What is 267879 plus 599296?,867175
What is 330957 plus 279952?,610909
What is 591020 plus 290664?,881684
What is 888237 plus 115131?,1003368
What is 547458 plus 693346?,1240804
What is 306676 plus 242121?,548797
What is 917494 plus 116241?,1033735
What is 324976 plus 372145?,697121
What is 110623 plus 678558?,789181
What is 240449 plus 937953?,1178402
What is 635121 plus 576711?,1211832
What is 754909 plus 878128?,1633037
What is 273598 plus 887089?,1160687
What is 317747 plus 610744?,928491
What is 171330 plus 360007?,531337
What is 304365 plus 199007?,503372
What is 223275 plus 858149?,1081424
What is 547509 plus 991118?,1538627
What is 794661 plus 331061?,1125722
What is 649819 plus 401586?,1051405
What is 598554 plus 510518?,1109072
What is 507657 plus 436564?,944221
What is 480492 plus 967213?,1447705
What is 137428 plus 521634?,659062
What is 572403 plus 339850?,912253
What is 624003 plus 712616?,1336619
What is 345831 plus 427256?,773087
What is 174485 plus 594264?,768749
What is 643021 plus 686850?,1329871
What is 911819 plus 106453?,1018272
What is 438123 plus 527943?,966066
What is 862450 plus 667667?,1530117
What is 169971 plus 311098?,481069
What is 111860 plus 664856?,776716
What is 411790 plus 206145?,617935
What is 831377 plus 993039?,1824416
What is 290367 plus 761452?,1051819
What is 284646 plus 870984?,1155630
What is 649465 plus 359944?,1009409
What is 394853 plus 710673?,1105526
What is 111512 plus 912521?,1024033
What is 369202 plus 235683?,604885
What is 736975 plus 487893?,1224868
What is 469980 plus 951680?,1421660
What is 612469 plus 383436?,995905
What is 785430 plus 643209?,1428639
What is 663615 plus 320592?,984207
What is 312216 plus 243613?,555829
What is 366552 plus 933547?,1300099
What is 373604 plus 969745?,1343349
What is 930121 plus 297832?,1227953
What is 300117 plus 148434?,448551
What is 257334 plus 229204?,486538
What is 476369 plus 431283?,907652
What is 443723 plus 298758?,742481
What is 365540 plus 191378?,556918
What is 453673 plus 823067?,1276740
What is 834200 plus 122809?,957009
What is 789745 plus 653357?,1443102
What is 978722 plus 576525?,1555247
What is 665017 plus 692590?,1357607
What is 542341 plus 848133?,1390474
What is 348102 plus 624608?,972710
What is 148214 plus 294984?,443198
What is 364838 plus 828244?,1193082
What is 483630 plus 448065?,931695
What is 736799 plus 356332?,1093131
What is 632278 plus 379502?,1011780
What is 523922 plus 574039?,1097961
What is 545194 plus 595935?,1141129
What is 887461 plus 772921?,1660382
What is 685406 plus 383370?,1068776
What is 947654 plus 653664?,1601318
What is 576795 plus 205531?,782326
What is 860400 plus 723264?,1583664
What is 448811 plus 350615?,799426
What is 847457 plus 702569?,1550026
What is 718982 plus 221229?,940211
What is 599917 plus 235640?,835557
What is 742805 plus 692586?,1435391
What is 723456 plus 130975?,854431
What is 507533 plus 969582?,1477115
What is 332465 plus 522170?,854635
What is 179230 plus 416558?,595788
What is 844652 plus 241677?,1086329
What is 541591 plus 481512?,1023103
What is 940548 plus 650629?,1591177
What is 804704 plus 745857?,1550561
What is 235864 plus 912908?,1148772
What is 399645 plus 875154?,1274799
What is 405423 plus 915106?,1320529
What is 130684 plus 865202?,995886
What is 445032 plus 468263?,913295
What is 598970 plus 397357?,996327
What is 429916 plus 885891?,1315807
What is 123200 plus 305200?,428400
What is 531207 plus 602187?,1133394
What is 260414 plus 195924?,456338
What is 251964 plus 494031?,745995
What is 958344 plus 316364?,1274708
What is 715964 plus 614845?,1330809
What is 765656 plus 902529?,1668185
What is 205232 plus 222700?,427932
What is 950836 plus 125194?,1076030
What is 775626 plus 562279?,1337905
What is 247970 plus 966856?,1214826
What is 869080 plus 805715?,1674795
What is 765263 plus 827081?,1592344
What is 651154 plus 786106?,1437260
What is 838364 plus 841345?,1679709
What is 271946 plus 792327?,1064273
What is 283016 plus 571285?,854301
What is 242794 plus 994099?,1236893
What is 695803 plus 998153?,1693956
What is 693960 plus 902298?,1596258
What is 723080 plus 897469?,1620549
What is 158999 plus 496343?,655342
What is 832375 plus 226665?,1059040
What is 919914 plus 215703?,1135617
What is 275608 plus 618922?,894530
What is 720634 plus 444563?,1165197
What is 571054 plus 359734?,930788
What is 613495 plus 682682?,1296177
What is 515831 plus 430560?,946391
What is 330460 plus 815586?,1146046
What is 494853 plus 128351?,623204
What is 314026 plus 486197?,800223
What is 338070 plus 335224?,673294
What is 588366 plus 159054?,747420
What is 556497 plus 773888?,1330385
What is 857996 plus 726437?,1584433
What is 571516 plus 154666?,726182
What is 681056 plus 296372?,977428
What is 451576 plus 433137?,884713
What is 704287 plus 250757?,955044
What is 877447 plus 566513?,1443960
What is 795082 plus 531509?,1326591
What is 692630 plus 287187?,979817
What is 396209 plus 496885?,893094
What is 496531 plus 997704?,1494235
What is 803884 plus 685539?,1489423
What is 458548 plus 899114?,1357662
What is 325977 plus 331351?,657328
What is 544035 plus 878017?,1422052
What is 535674 plus 729521?,1265195
What is 568432 plus 774168?,1342600
What is 209477 plus 123075?,332552
What is 639125 plus 592120?,1231245
What is 340674 plus 758831?,1099505
What is 930096 plus 309747?,1239843
What is 781459 plus 706763?,1488222
What is 492011 plus 221339?,713350
What is 747341 plus 791953?,1539294
What is 896478 plus 453919?,1350397
What is 924554 plus 764604?,1689158
What is 721383 plus 709846?,1431229
What is 947308 plus 237183?,1184491
What is 939378 plus 805037?,1744415
What is 718400 plus 973519?,1691919
What is 392360 plus 835875?,1228235
What is 684583 plus 293622?,978205
What is 339841 plus 495195?,835036
What is 127318 plus 429934?,557252
What is 870487 plus 135890?,1006377
What is 863750 plus 501415?,1365165
What is 397512 plus 283665?,681177
What is 187754 plus 593989?,781743
What is 775063 plus 769855?,1544918
What is 791399 plus 660453?,1451852
What is 227892 plus 417720?,645612
What is 795203 plus 854936?,1650139
What is 100615 plus 175890?,276505
What is 403842 plus 781631?,1185473
What is 403293 plus 720558?,1123851
What is 994407 plus 180057?,1174464
What is 804557 plus 936238?,1740795
What is 111390 plus 287218?,398608
What is 119238 plus 560215?,679453
What is 725406 plus 608317?,1333723
What is 533361 plus 241365?,774726
What is 813354 plus 329577?,1142931
What is 278765 plus 675385?,954150
What is 965755 plus 852225?,1817980
What is 996409 plus 967283?,1963692
What is 297270 plus 898200?,1195470
What is 667617 plus 327386?,995003
What is 699808 plus 561710?,1261518
What is 702602 plus 459552?,1162154
What is 531747 plus 140634?,672381
What is 435501 plus 895259?,1330760
What is 531569 plus 247510?,779079
What is 589634 plus 543696?,1133330
What is 719615 plus 730744?,1450359
What is 222362 plus 225031?,447393
What is 875017 plus 234453?,1109470
What is 253704 plus 916204?,1169908
What is 9587112 plus 7438331?,17025443
What is 5186346 plus 4459029?,9645375
What is 9940998 plus 2898418?,12839416
What is 2966957 plus 1161051?,4128008
What is 8027746 plus 6264946?,14292692
What is 8575065 plus 3132493?,11707558
What is 7456950 plus 8629250?,16086200
What is 9951889 plus 2616457?,12568346
What is 5674204 plus 8529209?,14203413
What is 3795621 plus 2518620?,6314241
What is 6433890 plus 7379461?,13813351
What is 3716870 plus 1109125?,4825995
What is 9219438 plus 4653760?,13873198
What is 8757959 plus 4122435?,12880394
What is 8535769 plus 6035951?,14571720
What is 6335781 plus 1741618?,8077399
What is 4645259 plus 5136590?,9781849
What is 1455639 plus 3507919?,4963558
What is 8542184 plus 3887896?,12430080
What is 2118541 plus 8757785?,10876326
What is 7308221 plus 3287479?,10595700
What is 4413411 plus 4208866?,8622277
What is 1495409 plus 5798962?,7294371
What is 9265981 plus 6255288?,15521269
What is 3001401 plus 3857664?,6859065
What is 3947338 plus 3940670?,7888008
What is 3207695 plus 8991897?,12199592
What is 3216631 plus 2689692?,5906323
What is 5601987 plus 9191446?,14793433
What is 4869747 plus 2426565?,7296312
What is 1912023 plus 5985593?,7897616
What is 2890327 plus 8362805?,11253132
What is 3469291 plus 2056581?,5525872
What is 1238971 plus 7899206?,9138177
What is 3591811 plus 5870640?,9462451
What is 6221052 plus 7657541?,13878593
What is 8446978 plus 1212160?,9659138
What is 6425280 plus 7781603?,14206883
What is 7624786 plus 2839763?,10464549
What is 1390902 plus 9024541?,10415443
What is 2387812 plus 2062642?,4450454
What is 3311611 plus 1318715?,4630326
What is 8980659 plus 1834228?,10814887
What is 1220343 plus 1003149?,2223492
What is 8035877 plus 6287890?,14323767
What is 6469572 plus 1058691?,7528263
What is 5469577 plus 2272825?,7742402
What is 4174765 plus 4602059?,8776824
What is 4247373 plus 5249800?,9497173
What is 1111274 plus 3404428?,4515702
What is 6349602 plus 9375920?,15725522
What is 5620518 plus 1381628?,7002146
What is 1761778 plus 1654049?,3415827
What is 6021351 plus 1350213?,7371564
What is 1026845 plus 4203678?,5230523
What is 5591884 plus 4230282?,9822166
What is 6291893 plus 6870671?,13162564
What is 6247298 plus 3056657?,9303955
What is 4370638 plus 8628861?,12999499
What is 7914099 plus 5063464?,12977563
What is 9073838 plus 3592506?,12666344
What is 8093417 plus 9490117?,17583534
What is 7544639 plus 9164731?,16709370
What is 2076687 plus 8428622?,10505309
What is 1537066 plus 8850033?,10387099
What is 5087361 plus 7245582?,12332943
What is 3067301 plus 2086602?,5153903
What is 2376889 plus 7251642?,9628531
What is 7548505 plus 2564621?,10113126
What is 9240989 plus 3241835?,12482824
What is 7582457 plus 4888131?,12470588
What is 2052898 plus 7482432?,9535330
What is 1620464 plus 2868893?,4489357
What is 6362690 plus 5025071?,11387761
What is 5298691 plus 3599348?,8898039
What is 4874070 plus 4303623?,9177693
What is 5523308 plus 3444319?,8967627
What is 1937518 plus 5537285?,7474803
What is 2091710 plus 7453776?,9545486
What is 1051084 plus 9741292?,10792376
What is 1482045 plus 2822746?,4304791
What is 3388619 plus 1637344?,5025963
What is 3992997 plus 1538970?,5531967
What is 5241523 plus 7336051?,12577574
What is 9494128 plus 1739643?,11233771
What is 1905609 plus 2343073?,4248682
What is 7154053 plus 3059641?,10213694
What is 3835743 plus 7405293?,11241036
What is 8198548 plus 5726436?,13924984
What is 1602972 plus 4538081?,6141053
What is 3954411 plus 3862253?,7816664
What is 9581040 plus 8319273?,17900313
What is 8474841 plus 5131968?,13606809
What is 9177267 plus 5476918?,14654185
What is 2285755 plus 7899988?,10185743
What is 6777469 plus 9105627?,15883096
What is 9024300 plus 7339501?,16363801
What is 4104461 plus 2333343?,6437804
What is 2759827 plus 9785819?,12545646
What is 3614534 plus 7963485?,11578019
What is 8465052 plus 8487123?,16952175
What is 2489897 plus 3468514?,5958411
What is 2425415 plus 8580911?,11006326
What is 7780127 plus 1771359?,9551486
What is 2059437 plus 5297877?,7357314
What is 7114954 plus 6399113?,13514067
What is 4754690 plus 3405046?,8159736
What is 5000850 plus 3887728?,8888578
What is 2029626 plus 3603094?,5632720
What is 2626051 plus 9343705?,11969756
What is 2648936 plus 1872970?,4521906
What is 7313513 plus 2058679?,9372192
What is 2965348 plus 1075193?,4040541
What is 2810039 plus 9785278?,12595317
What is 8314303 plus 9505941?,17820244
What is 9312607 plus 8407601?,17720208
What is 8320818 plus 2999218?,11320036
What is 3059737 plus 5198147?,8257884
What is 5281228 plus 5196455?,10477683
What is 2223044 plus 7958662?,10181706
What is 6718427 plus 5869384?,12587811
What is 6814388 plus 5886949?,12701337
What is 3875717 plus 6185147?,10060864
What is 5760248 plus 9081038?,14841286
What is 1986336 plus 6340686?,8327022
What is 4385919 plus 5639280?,10025199
What is 1051346 plus 4494694?,5546040
What is 8062688 plus 5658654?,13721342
What is 1447835 plus 4667859?,6115694
What is 2661054 plus 1274345?,3935399
What is 4133372 plus 3710980?,7844352
What is 5389716 plus 2217520?,7607236
What is 5490835 plus 9427503?,14918338
What is 9599297 plus 8701400?,18300697
What is 2382990 plus 3026794?,5409784
What is 7931424 plus 5117952?,13049376
What is 4632248 plus 5577717?,10209965
What is 9191009 plus 3029997?,12221006
What is 8719928 plus 7252881?,15972809
What is 6360810 plus 5779309?,12140119
What is 6303406 plus 7926602?,14230008
What is 9994435 plus 1836983?,11831418
What is 4741662 plus 5566312?,10307974
What is 9215332 plus 1361958?,10577290
What is 4178986 plus 2483021?,6662007
What is 3312468 plus 4195119?,7507587
What is 5591096 plus 9676307?,15267403
What is 1552049 plus 7048893?,8600942
What is 7133607 plus 5832069?,12965676
What is 2479518 plus 9732944?,12212462
What is 9300921 plus 2652519?,11953440
What is 5967914 plus 1039445?,7007359
What is 3347732 plus 7728425?,11076157
What is 9848330 plus 3030179?,12878509
What is 9743622 plus 4198261?,13941883
What is 3833545 plus 6816493?,10650038
What is 8898922 plus 7598016?,16496938
What is 6074931 plus 5158844?,11233775
What is 2415540 plus 2439558?,4855098
What is 7711593 plus 8584064?,16295657
What is 2223342 plus 9171950?,11395292
What is 6797967 plus 3717719?,10515686
What is 7729088 plus 2212601?,9941689
What is 9261483 plus 6204861?,15466344
What is 6757200 plus 5882544?,12639744
What is 7775078 plus 8803225?,16578303
What is 5191242 plus 9912375?,15103617
What is 6861933 plus 3552011?,10413944
What is 4374895 plus 8055611?,12430506
What is 5011993 plus 3552348?,8564341
What is 8939407 plus 5203389?,14142796
What is 7255024 plus 7721080?,14976104
What is 5604835 plus 2881866?,8486701
What is 8425784 plus 8746236?,17172020
What is 9245696 plus 8505437?,17751133
What is 7822477 plus 8268069?,16090546
What is 1826974 plus 1166629?,2993603
What is 3036198 plus 3807740?,6843938
What is 4879741 plus 1143305?,6023046
What is 7624160 plus 7949441?,15573601
What is 3111660 plus 5420150?,8531810
What is 4829914 plus 6117786?,10947700
What is 3311876 plus 7287093?,10598969
What is 7643165 plus 7627429?,15270594
What is 4315270 plus 5387165?,9702435
What is 9555194 plus 5341861?,14897055
What is 2861801 plus 4606084?,7467885
What is 3173561 plus 3167077?,6340638
What is 3243771 plus 5634813?,8878584
What is 4363115 plus 8114533?,12477648
What is 1340942 plus 9869858?,11210800
What is 8342256 plus 8827080?,17169336
What is 5355137 plus 4707958?,10063095
What is 1309580 plus 8637892?,9947472
What is 6344091 plus 9663851?,16007942
What is 7869937 plus 8270648?,16140585
What is 2121399 plus 3155716?,5277115
What is 2174491 plus 9114784?,11289275
What is 9350383 plus 2866200?,12216583
What is 7713068 plus 7551672?,15264740
What is 4 minus 4?,0
What is 2 minus 6?,-4
What is 3 minus 4?,-1
What is 6 minus 4?,2
What is 1 minus 2?,-1
What is 5 minus 4?,1
What is 2 minus 9?,-7
What is 8 minus 4?,4
What is 3 minus 7?,-4
What is 5 minus 4?,1
What is 9 minus 9?,0
What is 8 minus 1?,7
What is 6 minus 6?,0
What is 9 minus 7?,2
What is 4 minus 8?,-4
What is 1 minus 9?,-8
What is 9 minus 6?,3
What is 8 minus 7?,1
What is 6 minus 3?,3
What is 1 minus 3?,-2
What is 7 minus 1?,6
What is 9 minus 1?,8
What is 2 minus 4?,-2
What is 9 minus 8?,1
What is 2 minus 9?,-7
What is 4 minus 9?,-5
What is 6 minus 6?,0
What is 6 minus 7?,-1
What is 9 minus 9?,0
What is 6 minus 6?,0
What is 2 minus 3?,-1
What is 7 minus 2?,5
What is 9 minus 6?,3
What is 7 minus 8?,-1
What is 2 minus 8?,-6
What is 3 minus 8?,-5
What is 2 minus 3?,-1
What is 2 minus 9?,-7
What is 3 minus 9?,-6
What is 4 minus 4?,0
What is 6 minus 8?,-2
What is 3 minus 4?,-1
What is 5 minus 9?,-4
What is 9 minus 4?,5
What is 6 minus 6?,0
What is 5 minus 6?,-1
What is 1 minus 6?,-5
What is 8 minus 6?,2
What is 3 minus 7?,-4
What is 4 minus 5?,-1
What is 9 minus 5?,4
What is 9 minus 3?,6
What is 6 minus 8?,-2
What is 9 minus 6?,3
What is 5 minus 8?,-3
What is 5 minus 5?,0
What is 8 minus 4?,4
What is 7 minus 9?,-2
What is 3 minus 8?,-5
What is 9 minus 9?,0
What is 1 minus 9?,-8
What is 3 minus 8?,-5
What is 6 minus 5?,1
What is 7 minus 8?,-1
What is 4 minus 7?,-3
What is 9 minus 9?,0
What is 7 minus 4?,3
What is 9 minus 6?,3
What is 4 minus 9?,-5
What is 3 minus 2?,1
What is 8 minus 3?,5
What is 7 minus 4?,3
What is 9 minus 1?,8
What is 5 minus 6?,-1
What is 6 minus 8?,-2
What is 2 minus 7?,-5
What is 4 minus 1?,3
What is 4 minus 1?,3
What is 6 minus 6?,0
What is 7 minus 2?,5
What is 6 minus 4?,2
What is 6 minus 8?,-2
What is 4 minus 5?,-1
What is 2 minus 7?,-5
What is 9 minus 6?,3
What is 7 minus 5?,2
What is 5 minus 5?,0
What is 4 minus 7?,-3
What is 6 minus 3?,3
What is 8 minus 5?,3
What is 5 minus 9?,-4
What is 5 minus 1?,4
What is 7 minus 5?,2
What is 5 minus 8?,-3
What is 2 minus 4?,-2
What is 7 minus 7?,0
What is 2 minus 5?,-3
What is 6 minus 8?,-2
What is 7 minus 8?,-1
What is 5 minus 2?,3
What is 6 minus 3?,3
What is 4 minus 9?,-5
What is 4 minus 9?,-5
What is 7 minus 8?,-1
What is 6 minus 5?,1
What is 2 minus 9?,-7
What is 2 minus 5?,-3
What is 5 minus 9?,-4
What is 7 minus 3?,4
What is 6 minus 4?,2
What is 7 minus 3?,4
What is 1 minus 5?,-4
What is 9 minus 4?,5
What is 1 minus 6?,-5
What is 5 minus 3?,2
What is 4 minus 3?,1
What is 8 minus 4?,4
What is 5 minus 6?,-1
What is 1 minus 4?,-3
What is 6 minus 5?,1
What is 3 minus 7?,-4
What is 4 minus 3?,1
What is 7 minus 9?,-2
What is 5 minus 5?,0
What is 4 minus 1?,3
What is 8 minus 6?,2
What is 9 minus 5?,4
What is 8 minus 7?,1
What is 1 minus 2?,-1
What is 8 minus 2?,6
What is 3 minus 8?,-5
What is 3 minus 7?,-4
What is 9 minus 3?,6
What is 3 minus 9?,-6
What is 4 minus 9?,-5
What is 6 minus 3?,3
What is 5 minus 2?,3
What is 1 minus 5?,-4
What is 5 minus 2?,3
What is 1 minus 9?,-8
What is 2 minus 2?,0
What is 6 minus 7?,-1
What is 5 minus 1?,4
What is 8 minus 1?,7
What is 2 minus 4?,-2
What is 1 minus 5?,-4
What is 4 minus 6?,-2
What is 1 minus 5?,-4
What is 4 minus 1?,3
What is 9 minus 9?,0
What is 4 minus 8?,-4
What is 1 minus 6?,-5
What is 9 minus 7?,2
What is 8 minus 1?,7
What is 2 minus 8?,-6
What is 9 minus 9?,0
What is 5 minus 9?,-4
What is 5 minus 9?,-4
What is 5 minus 5?,0
What is 9 minus 8?,1
What is 1 minus 7?,-6
What is 8 minus 1?,7
What is 2 minus 2?,0
What is 9 minus 5?,4
What is 1 minus 8?,-7
What is 9 minus 6?,3
What is 2 minus 4?,-2
What is 3 minus 3?,0
What is 1 minus 3?,-2
What is 1 minus 4?,-3
What is 8 minus 5?,3
What is 6 minus 3?,3
What is 4 minus 7?,-3
What is 3 minus 5?,-2
What is 3 minus 8?,-5
What is 2 minus 4?,-2
What is 2 minus 5?,-3
What is 7 minus 6?,1
What is 5 minus 3?,2
What is 6 minus 9?,-3
What is 7 minus 4?,3
What is 7 minus 9?,-2
What is 9 minus 4?,5
What is 2 minus 8?,-6
What is 4 minus 7?,-3
What is 8 minus 4?,4
What is 3 minus 1?,2
What is 6 minus 3?,3
What is 3 minus 4?,-1
What is 2 minus 1?,1
What is 3 minus 6?,-3
What is 3 minus 8?,-5
What is 4 minus 8?,-4
What is 9 minus 4?,5
What is 8 minus 5?,3
What is 7 minus 1?,6
What is 1 minus 3?,-2
What is 5 minus 8?,-3
What is 8 minus 3?,5
What is 2 minus 5?,-3
What is 65 minus 60?,5
What is 34 minus 70?,-36
What is 60 minus 36?,24
What is 56 minus 76?,-20
What is 37 minus 48?,-11
What is 90 minus 61?,29
What is 43 minus 58?,-15
What is 94 minus 96?,-2
What is 98 minus 81?,17
What is 45 minus 32?,13
What is 17 minus 28?,-11
What is 69 minus 64?,5
What is 36 minus 88?,-52
What is 23 minus 82?,-59
What is 52 minus 72?,-20
What is 10 minus 22?,-12
What is 27 minus 25?,2
What is 81 minus 77?,4
What is 62 minus 61?,1
What is 90 minus 82?,8
What is 71 minus 87?,-16
What is 13 minus 30?,-17
What is 40 minus 34?,6
What is 72 minus 39?,33
What is 96 minus 62?,34
What is 91 minus 60?,31
What is 89 minus 85?,4
What is 88 minus 62?,26
What is 12 minus 24?,-12
What is 16 minus 90?,-74
What is 45 minus 57?,-12
What is 47 minus 28?,19
What is 11 minus 75?,-64
What is 25 minus 31?,-6
What is 99 minus 94?,5
What is 79 minus 70?,9
What is 52 minus 72?,-20
What is 21 minus 35?,-14
What is 80 minus 14?,66
What is 99 minus 58?,41
What is 13 minus 54?,-41
What is 45 minus 37?,8
What is 38 minus 67?,-29
What is 48 minus 21?,27
What is 45 minus 48?,-3
What is 14 minus 43?,-29
What is 28 minus 20?,8
What is 82 minus 79?,3
What is 17 minus 38?,-21
What is 77 minus 33?,44
What is 23 minus 71?,-48
What is 71 minus 46?,25
What is 76 minus 56?,20
What is 11 minus 56?,-45
What is 14 minus 15?,-1
What is 52 minus 79?,-27
What is 88 minus 54?,34
What is 12 minus 84?,-72
What is 51 minus 97?,-46
What is 82 minus 91?,-9
What is 92 minus 64?,28
What is 46 minus 90?,-44
What is 59 minus 14?,45
What is 78 minus 69?,9
What is 76 minus 13?,63
What is 24 minus 11?,13
What is 61 minus 27?,34
What is 78 minus 45?,33
What is 97 minus 33?,64
What is 11 minus 48?,-37
What is 48 minus 50?,-2
What is 58 minus 83?,-25
What is 18 minus 24?,-6
What is 75 minus 31?,44
What is 90 minus 32?,58
What is 18 minus 72?,-54
What is 45 minus 92?,-47
What is 10 minus 50?,-40
What is 42 minus 95?,-53
What is 29 minus 24?,5
What is 96 minus 64?,32
What is 27 minus 95?,-68
What is 84 minus 81?,3
What is 91 minus 61?,30
What is 66 minus 98?,-32
What is 83 minus 47?,36
What is 98 minus 47?,51
What is 51 minus 51?,0
What is 12 minus 59?,-47
What is 82 minus 67?,15
What is 85 minus 65?,20
What is 32 minus 50?,-18
What is 57 minus 19?,38
What is 72 minus 60?,12
What is 86 minus 74?,12
What is 31 minus 72?,-41
What is 69 minus 90?,-21
What is 61 minus 92?,-31
What is 71 minus 67?,4
What is 29 minus 60?,-31
What is 46 minus 87?,-41
What is 13 minus 72?,-59
What is 49 minus 35?,14
What is 79 minus 51?,28
What is 93 minus 63?,30
What is 45 minus 30?,15
What is 91 minus 77?,14
What is 63 minus 62?,1
What is 61 minus 14?,47
What is 54 minus 16?,38
What is 82 minus 27?,55
What is 33 minus 68?,-35
What is 51 minus 58?,-7
What is 82 minus 56?,26
What is 90 minus 85?,5
What is 52 minus 91?,-39
What is 10 minus 89?,-79
What is 48 minus 70?,-22
What is 19 minus 12?,7
What is 23 minus 20?,3
What is 85 minus 73?,12
What is 85 minus 94?,-9
What is 91 minus 59?,32
What is 26 minus 83?,-57
What is 68 minus 66?,2
What is 41 minus 20?,21
What is 75 minus 62?,13
What is 39 minus 18?,21
What is 89 minus 21?,68
What is 43 minus 27?,16
What is 56 minus 28?,28
What is 23 minus 79?,-56
What is 23 minus 37?,-14
What is 24 minus 84?,-60
What is 78 minus 45?,33
What is 85 minus 47?,38
What is 18 minus 14?,4
What is 89 minus 46?,43
What is 31 minus 99?,-68
What is 60 minus 95?,-35
What is 17 minus 58?,-41
What is 23 minus 43?,-20
What is 74 minus 59?,15
What is 90 minus 19?,71
What is 66 minus 55?,11
What is 24 minus 44?,-20
What is 60 minus 59?,1
What is 30 minus 26?,4
What is 64 minus 74?,-10
What is 22 minus 79?,-57
What is 14 minus 41?,-27
What is 52 minus 65?,-13
What is 51 minus 87?,-36
What is 67 minus 28?,39
What is 88 minus 71?,17
What is 16 minus 72?,-56
What is 48 minus 17?,31
What is 43 minus 33?,10
What is 76 minus 60?,16
What is 17 minus 82?,-65
What is 59 minus 32?,27
What is 94 minus 46?,48
What is 35 minus 69?,-34
What is 56 minus 82?,-26
What is 30 minus 57?,-27
What is 98 minus 10?,88
What is 23 minus 54?,-31
What is 96 minus 99?,-3
What is 32 minus 16?,16
What is 84 minus 93?,-9
What is 94 minus 74?,20
What is 10 minus 24?,-14
What is 26 minus 83?,-57
What is 46 minus 67?,-21
What is 62 minus 34?,28
What is 25 minus 60?,-35
What is 85 minus 36?,49
What is 70 minus 11?,59
What is 34 minus 72?,-38
What is 64 minus 66?,-2
What is 19 minus 77?,-58
What is 90 minus 93?,-3
What is 30 minus 80?,-50
What is 11 minus 56?,-45
What is 49 minus 50?,-1
What is 44 minus 34?,10
What is 77 minus 37?,40
What is 99 minus 90?,9
What is 34 minus 83?,-49
What is 72 minus 36?,36
What is 20 minus 52?,-32
What is 96 minus 30?,66
What is 80 minus 26?,54
What is 60 minus 66?,-6
What is 41 minus 96?,-55
What is 62 minus 88?,-26
What is 52 minus 39?,13
What is 70 minus 54?,16
What is 69 minus 51?,18
What is 59 minus 88?,-29
What is 156 minus 202?,-46
What is 280 minus 619?,-339
What is 461 minus 955?,-494
What is 551 minus 596?,-45
What is 340 minus 160?,180
What is 449 minus 377?,72
What is 740 minus 616?,124
What is 337 minus 542?,-205
What is 949 minus 819?,130
What is 165 minus 450?,-285
What is 482 minus 701?,-219
What is 408 minus 158?,250
What is 257 minus 455?,-198
What is 655 minus 472?,183
What is 380 minus 603?,-223
What is 876 minus 147?,729
What is 113 minus 984?,-871
What is 503 minus 450?,53
What is 621 minus 628?,-7
What is 275 minus 338?,-63
What is 836 minus 570?,266
What is 963 minus 108?,855
What is 881 minus 277?,604
What is 901 minus 700?,201
What is 480 minus 181?,299
What is 282 minus 379?,-97
What is 459 minus 321?,138
What is 605 minus 799?,-194
What is 315 minus 928?,-613
What is 265 minus 138?,127
What is 557 minus 786?,-229
What is 684 minus 811?,-127
What is 844 minus 681?,163
What is 361 minus 461?,-100
What is 684 minus 567?,117
What is 404 minus 843?,-439
What is 400 minus 152?,248
What is 135 minus 223?,-88
What is 615 minus 200?,415
What is 935 minus 287?,648
What is 536 minus 639?,-103
What is 907 minus 921?,-14
What is 144 minus 206?,-62
What is 301 minus 422?,-121
What is 922 minus 182?,740
What is 161 minus 369?,-208
What is 179 minus 607?,-428
What is 230 minus 136?,94
What is 989 minus 472?,517
What is 583 minus 966?,-383
What is 573 minus 344?,229
What is 401 minus 197?,204
What is 291 minus 367?,-76
What is 393 minus 767?,-374
What is 771 minus 136?,635
What is 863 minus 818?,45
What is 136 minus 292?,-156
What is 719 minus 425?,294
What is 138 minus 448?,-310
What is 993 minus 155?,838
What is 337 minus 791?,-454
What is 299 minus 295?,4
What is 152 minus 133?,19
What is 784 minus 312?,472
What is 962 minus 811?,151
What is 135 minus 430?,-295
What is 639 minus 833?,-194
What is 944 minus 367?,577
What is 439 minus 760?,-321
What is 440 minus 906?,-466
What is 394 minus 580?,-186
What is 262 minus 804?,-542
What is 622 minus 742?,-120
What is 863 minus 829?,34
What is 227 minus 397?,-170
What is 419 minus 327?,92
What is 901 minus 702?,199
What is 507 minus 128?,379
What is 694 minus 511?,183
What is 208 minus 638?,-430
What is 392 minus 278?,114
What is 663 minus 696?,-33
What is 724 minus 237?,487
