,statement,label,city,country,correct_country,question,question_with_answer
2966,The city of Taulaga is in American Samoa.,1,Taulaga,American Samoa,American Samoa,In which country is the city of Taulaga located?,In which country is the city of Taulaga located? American Samoa.
2967,The city of Qogham is in Kazakhstan.,1,Qogham,Kazakhstan,Kazakhstan,In which country is the city of Qogham located?,In which country is the city of Qogham located? Kazakhstan.
2968,The city of Marudo is in Italy.,1,Marudo,Italy,Italy,In which country is the city of Marudo located?,In which country is the city of Marudo located? Italy.
2969,The city of Azutan is in Spain.,1,Azutan,Spain,Spain,In which country is the city of Azutan located?,In which country is the city of Azutan located? Spain.
2970,The city of Lewin Brzeski is in Poland.,1,Lewin Brzeski,Poland,Poland,In which country is the city of Lewin Brzeski located?,In which country is the city of Lewin Brzeski located? Poland.
2971,The city of South Vacherie is in United States.,1,South Vacherie,United States,United States,In which country is the city of South Vacherie located?,In which country is the city of South Vacherie located? United States.
2972,The city of Kampung Baru Balakong is in Malaysia.,1,Kampung Baru Balakong,Malaysia,Malaysia,In which country is the city of Kampung Baru Balakong located?,In which country is the city of Kampung Baru Balakong located? Malaysia.
2973,The city of Goli-Maya is in Côte d'Ivoire.,1,Goli-Maya,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Goli-Maya located?,In which country is the city of Goli-Maya located? Côte d'Ivoire.
2974,The city of Taverny is in France.,1,Taverny,France,France,In which country is the city of Taverny located?,In which country is the city of Taverny located? France.
2975,The city of Khallat Hamamah is in West Bank and Gaza Strip.,1,Khallat Hamamah,West Bank and Gaza Strip,West Bank and Gaza Strip,In which country is the city of Khallat Hamamah located?,In which country is the city of Khallat Hamamah located? West Bank and Gaza Strip.
2976,The city of Thusang is in South Africa.,1,Thusang,South Africa,South Africa,In which country is the city of Thusang located?,In which country is the city of Thusang located? South Africa.
2977,The city of Turnisce is in Slovenia.,1,Turnisce,Slovenia,Slovenia,In which country is the city of Turnisce located?,In which country is the city of Turnisce located? Slovenia.
2978,The city of Pasiano is in Italy.,1,Pasiano,Italy,Italy,In which country is the city of Pasiano located?,In which country is the city of Pasiano located? Italy.
2979,The city of Gbongan is in Nigeria.,1,Gbongan,Nigeria,Nigeria,In which country is the city of Gbongan located?,In which country is the city of Gbongan located? Nigeria.
2980,The city of Essex Junction is in United States.,1,Essex Junction,United States,United States,In which country is the city of Essex Junction located?,In which country is the city of Essex Junction located? United States.
2981,The city of Khabarovsk is in Russian Federation.,1,Khabarovsk,Russian Federation,Russian Federation,In which country is the city of Khabarovsk located?,In which country is the city of Khabarovsk located? Russian Federation.
2982,The city of Meraux is in United States.,1,Meraux,United States,United States,In which country is the city of Meraux located?,In which country is the city of Meraux located? United States.
2983,The city of Mogendorf is in Germany.,1,Mogendorf,Germany,Germany,In which country is the city of Mogendorf located?,In which country is the city of Mogendorf located? Germany.
2984,The city of Kodumudi is in India.,1,Kodumudi,India,India,In which country is the city of Kodumudi located?,In which country is the city of Kodumudi located? India.
2985,The city of Alibunan is in Philippines.,1,Alibunan,Philippines,Philippines,In which country is the city of Alibunan located?,In which country is the city of Alibunan located? Philippines.
2986,The city of Yali is in Colombia.,1,Yali,Colombia,Colombia,In which country is the city of Yali located?,In which country is the city of Yali located? Colombia.
2987,The city of Reni is in Ukraine.,1,Reni,Ukraine,Ukraine,In which country is the city of Reni located?,In which country is the city of Reni located? Ukraine.
2988,The city of Batyebli is in Côte d'Ivoire.,1,Batyebli,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Batyebli located?,In which country is the city of Batyebli located? Côte d'Ivoire.
2989,The city of Ayotoxco de Guerrero is in Mexico.,1,Ayotoxco de Guerrero,Mexico,Mexico,In which country is the city of Ayotoxco de Guerrero located?,In which country is the city of Ayotoxco de Guerrero located? Mexico.
2990,The city of Zaniemysl is in Poland.,1,Zaniemysl,Poland,Poland,In which country is the city of Zaniemysl located?,In which country is the city of Zaniemysl located? Poland.
2991,The city of Mount Pleasant East is in Canada.,1,Mount Pleasant East,Canada,Canada,In which country is the city of Mount Pleasant East located?,In which country is the city of Mount Pleasant East located? Canada.
2992,The city of Vilanant is in Spain.,1,Vilanant,Spain,Spain,In which country is the city of Vilanant located?,In which country is the city of Vilanant located? Spain.
2993,The city of Cantalupo nel Sannio is in Italy.,1,Cantalupo nel Sannio,Italy,Italy,In which country is the city of Cantalupo nel Sannio located?,In which country is the city of Cantalupo nel Sannio located? Italy.
2994,The city of Zarza de Alange is in Spain.,1,Zarza de Alange,Spain,Spain,In which country is the city of Zarza de Alange located?,In which country is the city of Zarza de Alange located? Spain.
2995,The city of Sierning is in Austria.,1,Sierning,Austria,Austria,In which country is the city of Sierning located?,In which country is the city of Sierning located? Austria.
2996,The city of Neerkant is in Netherlands.,1,Neerkant,Netherlands,Netherlands,In which country is the city of Neerkant located?,In which country is the city of Neerkant located? Netherlands.
2997,The city of Willingen is in Germany.,1,Willingen,Germany,Germany,In which country is the city of Willingen located?,In which country is the city of Willingen located? Germany.
2998,The city of Teococuilco de Marcos Perez is in Mexico.,1,Teococuilco de Marcos Perez,Mexico,Mexico,In which country is the city of Teococuilco de Marcos Perez located?,In which country is the city of Teococuilco de Marcos Perez located? Mexico.
2999,The city of Stourbridge is in United Kingdom.,1,Stourbridge,United Kingdom,United Kingdom,In which country is the city of Stourbridge located?,In which country is the city of Stourbridge located? United Kingdom.
3000,The city of Veliko Srediste is in Serbia.,1,Veliko Srediste,Serbia,Serbia,In which country is the city of Veliko Srediste located?,In which country is the city of Veliko Srediste located? Serbia.
3001,The city of Saint-Jean-Pied-de-Port is in France.,1,Saint-Jean-Pied-de-Port,France,France,In which country is the city of Saint-Jean-Pied-de-Port located?,In which country is the city of Saint-Jean-Pied-de-Port located? France.
3002,The city of Palomares del Rio is in Spain.,1,Palomares del Rio,Spain,Spain,In which country is the city of Palomares del Rio located?,In which country is the city of Palomares del Rio located? Spain.
3003,The city of Cabanatuan City is in Philippines.,1,Cabanatuan City,Philippines,Philippines,In which country is the city of Cabanatuan City located?,In which country is the city of Cabanatuan City located? Philippines.
3004,The city of Harstad is in Norway.,1,Harstad,Norway,Norway,In which country is the city of Harstad located?,In which country is the city of Harstad located? Norway.
3005,The city of Panayacan is in Philippines.,1,Panayacan,Philippines,Philippines,In which country is the city of Panayacan located?,In which country is the city of Panayacan located? Philippines.
3006,The city of Castro Alves is in Brazil.,1,Castro Alves,Brazil,Brazil,In which country is the city of Castro Alves located?,In which country is the city of Castro Alves located? Brazil.
3007,The city of Saint-Jeannet is in France.,1,Saint-Jeannet,France,France,In which country is the city of Saint-Jeannet located?,In which country is the city of Saint-Jeannet located? France.
3008,The city of Sirault is in Belgium.,1,Sirault,Belgium,Belgium,In which country is the city of Sirault located?,In which country is the city of Sirault located? Belgium.
3009,The city of Hardinsburg is in United States.,1,Hardinsburg,United States,United States,In which country is the city of Hardinsburg located?,In which country is the city of Hardinsburg located? United States.
3010,The city of Holzgerlingen is in Germany.,1,Holzgerlingen,Germany,Germany,In which country is the city of Holzgerlingen located?,In which country is the city of Holzgerlingen located? Germany.
3011,The city of Caldercruix is in United Kingdom.,1,Caldercruix,United Kingdom,United Kingdom,In which country is the city of Caldercruix located?,In which country is the city of Caldercruix located? United Kingdom.
3012,The city of Xuan Mai is in Viet Nam.,1,Xuan Mai,Viet Nam,Viet Nam,In which country is the city of Xuan Mai located?,In which country is the city of Xuan Mai located? Viet Nam.
3013,The city of Kshenskiy is in Russian Federation.,1,Kshenskiy,Russian Federation,Russian Federation,In which country is the city of Kshenskiy located?,In which country is the city of Kshenskiy located? Russian Federation.
3014,The city of Bistret is in Romania.,1,Bistret,Romania,Romania,In which country is the city of Bistret located?,In which country is the city of Bistret located? Romania.
3015,The city of Santa Catarina Otzolotepec is in Mexico.,1,Santa Catarina Otzolotepec,Mexico,Mexico,In which country is the city of Santa Catarina Otzolotepec located?,In which country is the city of Santa Catarina Otzolotepec located? Mexico.
3016,The city of Castlecomer is in Ireland.,1,Castlecomer,Ireland,Ireland,In which country is the city of Castlecomer located?,In which country is the city of Castlecomer located? Ireland.
3017,The city of Neckargemund is in Germany.,1,Neckargemund,Germany,Germany,In which country is the city of Neckargemund located?,In which country is the city of Neckargemund located? Germany.
3018,The city of Ascain is in France.,1,Ascain,France,France,In which country is the city of Ascain located?,In which country is the city of Ascain located? France.
3019,The city of Kornyn is in Ukraine.,1,Kornyn,Ukraine,Ukraine,In which country is the city of Kornyn located?,In which country is the city of Kornyn located? Ukraine.
3020,The city of Bad Wildbad is in Germany.,1,Bad Wildbad,Germany,Germany,In which country is the city of Bad Wildbad located?,In which country is the city of Bad Wildbad located? Germany.
3021,The city of Kildare is in Ireland.,1,Kildare,Ireland,Ireland,In which country is the city of Kildare located?,In which country is the city of Kildare located? Ireland.
3022,The city of Ermesinde is in Portugal.,1,Ermesinde,Portugal,Portugal,In which country is the city of Ermesinde located?,In which country is the city of Ermesinde located? Portugal.
3023,The city of Sankt Ulrich am Waasen is in Austria.,1,Sankt Ulrich am Waasen,Austria,Austria,In which country is the city of Sankt Ulrich am Waasen located?,In which country is the city of Sankt Ulrich am Waasen located? Austria.
3024,"The city of Abhar is in Iran, Islamic Rep. of.",1,Abhar,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",In which country is the city of Abhar located?,"In which country is the city of Abhar located? Iran, Islamic Rep. of."
3025,The city of Oberloisdorf is in Austria.,1,Oberloisdorf,Austria,Austria,In which country is the city of Oberloisdorf located?,In which country is the city of Oberloisdorf located? Austria.
3026,The city of Asgardstrand is in Norway.,1,Asgardstrand,Norway,Norway,In which country is the city of Asgardstrand located?,In which country is the city of Asgardstrand located? Norway.
3027,The city of Gura Beliei is in Romania.,1,Gura Beliei,Romania,Romania,In which country is the city of Gura Beliei located?,In which country is the city of Gura Beliei located? Romania.
3028,The city of Slawiecice is in Poland.,1,Slawiecice,Poland,Poland,In which country is the city of Slawiecice located?,In which country is the city of Slawiecice located? Poland.
3029,The city of Embrun is in France.,1,Embrun,France,France,In which country is the city of Embrun located?,In which country is the city of Embrun located? France.
3030,The city of Vidracco is in Italy.,1,Vidracco,Italy,Italy,In which country is the city of Vidracco located?,In which country is the city of Vidracco located? Italy.
3031,The city of Canicado is in Mozambique.,1,Canicado,Mozambique,Mozambique,In which country is the city of Canicado located?,In which country is the city of Canicado located? Mozambique.
3032,The city of Gazaville is in Côte d'Ivoire.,1,Gazaville,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Gazaville located?,In which country is the city of Gazaville located? Côte d'Ivoire.
3033,The city of Yeban Norte is in Philippines.,1,Yeban Norte,Philippines,Philippines,In which country is the city of Yeban Norte located?,In which country is the city of Yeban Norte located? Philippines.
3034,The city of Staskov is in Slovakia.,1,Staskov,Slovakia,Slovakia,In which country is the city of Staskov located?,In which country is the city of Staskov located? Slovakia.
3035,The city of Poieni-Solca is in Romania.,1,Poieni-Solca,Romania,Romania,In which country is the city of Poieni-Solca located?,In which country is the city of Poieni-Solca located? Romania.
3036,The city of Wheeler Heights is in Australia.,1,Wheeler Heights,Australia,Australia,In which country is the city of Wheeler Heights located?,In which country is the city of Wheeler Heights located? Australia.
3037,The city of Ibia is in Brazil.,1,Ibia,Brazil,Brazil,In which country is the city of Ibia located?,In which country is the city of Ibia located? Brazil.
3038,The city of Foz-Calanda is in Spain.,1,Foz-Calanda,Spain,Spain,In which country is the city of Foz-Calanda located?,In which country is the city of Foz-Calanda located? Spain.
3039,The city of Justo Sierra is in Mexico.,1,Justo Sierra,Mexico,Mexico,In which country is the city of Justo Sierra located?,In which country is the city of Justo Sierra located? Mexico.
3040,The city of Zuerich (Kreis 6) is in Switzerland.,1,Zuerich (Kreis 6),Switzerland,Switzerland,In which country is the city of Zuerich (Kreis 6) located?,In which country is the city of Zuerich (Kreis 6) located? Switzerland.
3041,The city of Warr Acres is in United States.,1,Warr Acres,United States,United States,In which country is the city of Warr Acres located?,In which country is the city of Warr Acres located? United States.
3042,The city of Casal Palocco is in Italy.,1,Casal Palocco,Italy,Italy,In which country is the city of Casal Palocco located?,In which country is the city of Casal Palocco located? Italy.
3043,The city of Naarn im Machlande is in Austria.,1,Naarn im Machlande,Austria,Austria,In which country is the city of Naarn im Machlande located?,In which country is the city of Naarn im Machlande located? Austria.
3044,The city of Almedia is in United States.,1,Almedia,United States,United States,In which country is the city of Almedia located?,In which country is the city of Almedia located? United States.
3045,The city of Zafra de Zancara is in Spain.,1,Zafra de Zancara,Spain,Spain,In which country is the city of Zafra de Zancara located?,In which country is the city of Zafra de Zancara located? Spain.
3046,The city of Herzberg is in Germany.,1,Herzberg,Germany,Germany,In which country is the city of Herzberg located?,In which country is the city of Herzberg located? Germany.
3047,The city of Suce-sur-Erdre is in France.,1,Suce-sur-Erdre,France,France,In which country is the city of Suce-sur-Erdre located?,In which country is the city of Suce-sur-Erdre located? France.
3048,The city of Sagara is in Japan.,1,Sagara,Japan,Japan,In which country is the city of Sagara located?,In which country is the city of Sagara located? Japan.
3049,The city of Pepillo Salcedo is in Dominican Republic.,1,Pepillo Salcedo,Dominican Republic,Dominican Republic,In which country is the city of Pepillo Salcedo located?,In which country is the city of Pepillo Salcedo located? Dominican Republic.
3050,The city of Mediana de Voltoya is in Spain.,1,Mediana de Voltoya,Spain,Spain,In which country is the city of Mediana de Voltoya located?,In which country is the city of Mediana de Voltoya located? Spain.
3051,The city of San Luis de Lozada is in Mexico.,1,San Luis de Lozada,Mexico,Mexico,In which country is the city of San Luis de Lozada located?,In which country is the city of San Luis de Lozada located? Mexico.
3052,The city of Sirone is in Italy.,1,Sirone,Italy,Italy,In which country is the city of Sirone located?,In which country is the city of Sirone located? Italy.
3053,The city of Yakymivka is in Ukraine.,1,Yakymivka,Ukraine,Ukraine,In which country is the city of Yakymivka located?,In which country is the city of Yakymivka located? Ukraine.
3054,The city of New Shoreham is in United States.,1,New Shoreham,United States,United States,In which country is the city of New Shoreham located?,In which country is the city of New Shoreham located? United States.
3055,The city of Grand Canyon Village is in United States.,1,Grand Canyon Village,United States,United States,In which country is the city of Grand Canyon Village located?,In which country is the city of Grand Canyon Village located? United States.
3056,The city of Shoranur is in India.,1,Shoranur,India,India,In which country is the city of Shoranur located?,In which country is the city of Shoranur located? India.
3057,The city of Savigny-sur-Braye is in France.,1,Savigny-sur-Braye,France,France,In which country is the city of Savigny-sur-Braye located?,In which country is the city of Savigny-sur-Braye located? France.
3058,The city of Vertaizon is in France.,1,Vertaizon,France,France,In which country is the city of Vertaizon located?,In which country is the city of Vertaizon located? France.
3059,The city of Nguessambakro is in Côte d'Ivoire.,1,Nguessambakro,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Nguessambakro located?,In which country is the city of Nguessambakro located? Côte d'Ivoire.
3060,The city of Navolato is in Mexico.,1,Navolato,Mexico,Mexico,In which country is the city of Navolato located?,In which country is the city of Navolato located? Mexico.
3061,The city of Sotira is in Cyprus.,1,Sotira,Cyprus,Cyprus,In which country is the city of Sotira located?,In which country is the city of Sotira located? Cyprus.
3062,The city of Teggiano-Macchiaroli is in Italy.,1,Teggiano-Macchiaroli,Italy,Italy,In which country is the city of Teggiano-Macchiaroli located?,In which country is the city of Teggiano-Macchiaroli located? Italy.
3063,The city of Dobropillia is in Ukraine.,1,Dobropillia,Ukraine,Ukraine,In which country is the city of Dobropillia located?,In which country is the city of Dobropillia located? Ukraine.
3064,The city of Lubichowo is in Poland.,1,Lubichowo,Poland,Poland,In which country is the city of Lubichowo located?,In which country is the city of Lubichowo located? Poland.
3065,The city of Baniachang is in Bangladesh.,1,Baniachang,Bangladesh,Bangladesh,In which country is the city of Baniachang located?,In which country is the city of Baniachang located? Bangladesh.
3066,The city of Yetlancingo is in Mexico.,1,Yetlancingo,Mexico,Mexico,In which country is the city of Yetlancingo located?,In which country is the city of Yetlancingo located? Mexico.
3067,The city of Russell Vale is in Australia.,1,Russell Vale,Australia,Australia,In which country is the city of Russell Vale located?,In which country is the city of Russell Vale located? Australia.
3068,The city of Uterga is in Spain.,1,Uterga,Spain,Spain,In which country is the city of Uterga located?,In which country is the city of Uterga located? Spain.
3069,The city of Simbahan is in Philippines.,1,Simbahan,Philippines,Philippines,In which country is the city of Simbahan located?,In which country is the city of Simbahan located? Philippines.
3070,The city of Charvensod is in Italy.,1,Charvensod,Italy,Italy,In which country is the city of Charvensod located?,In which country is the city of Charvensod located? Italy.
3071,The city of Suslonger is in Russian Federation.,1,Suslonger,Russian Federation,Russian Federation,In which country is the city of Suslonger located?,In which country is the city of Suslonger located? Russian Federation.
3072,The city of Piscu Nou is in Romania.,1,Piscu Nou,Romania,Romania,In which country is the city of Piscu Nou located?,In which country is the city of Piscu Nou located? Romania.
3073,The city of Salinungan Proper is in Philippines.,1,Salinungan Proper,Philippines,Philippines,In which country is the city of Salinungan Proper located?,In which country is the city of Salinungan Proper located? Philippines.
3074,The city of Paialvo is in Portugal.,1,Paialvo,Portugal,Portugal,In which country is the city of Paialvo located?,In which country is the city of Paialvo located? Portugal.
3075,The city of Obersiebenbrunn is in Austria.,1,Obersiebenbrunn,Austria,Austria,In which country is the city of Obersiebenbrunn located?,In which country is the city of Obersiebenbrunn located? Austria.
3076,The city of West Bay is in Cayman Islands.,1,West Bay,Cayman Islands,Cayman Islands,In which country is the city of West Bay located?,In which country is the city of West Bay located? Cayman Islands.
3077,The city of Velykyi Kliuchiv is in Ukraine.,1,Velykyi Kliuchiv,Ukraine,Ukraine,In which country is the city of Velykyi Kliuchiv located?,In which country is the city of Velykyi Kliuchiv located? Ukraine.
3078,The city of Zhongfeng is in China.,1,Zhongfeng,China,China,In which country is the city of Zhongfeng located?,In which country is the city of Zhongfeng located? China.
3079,The city of Binningen is in Switzerland.,1,Binningen,Switzerland,Switzerland,In which country is the city of Binningen located?,In which country is the city of Binningen located? Switzerland.
3080,The city of Powstancow Slaskich Zachod-Centrum Poludniow is in Poland.,1,Powstancow Slaskich Zachod-Centrum Poludniow,Poland,Poland,In which country is the city of Powstancow Slaskich Zachod-Centrum Poludniow located?,In which country is the city of Powstancow Slaskich Zachod-Centrum Poludniow located? Poland.
3081,The city of Chanas is in France.,1,Chanas,France,France,In which country is the city of Chanas located?,In which country is the city of Chanas located? France.
3082,The city of Orden is in Netherlands.,1,Orden,Netherlands,Netherlands,In which country is the city of Orden located?,In which country is the city of Orden located? Netherlands.
3083,The city of Ejido de Coscomate del Progreso is in Mexico.,1,Ejido de Coscomate del Progreso,Mexico,Mexico,In which country is the city of Ejido de Coscomate del Progreso located?,In which country is the city of Ejido de Coscomate del Progreso located? Mexico.
3084,The city of Krasic is in Croatia.,1,Krasic,Croatia,Croatia,In which country is the city of Krasic located?,In which country is the city of Krasic located? Croatia.
3085,The city of Tapeguia is in Côte d'Ivoire.,1,Tapeguia,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Tapeguia located?,In which country is the city of Tapeguia located? Côte d'Ivoire.
3086,The city of Igon is in France.,1,Igon,France,France,In which country is the city of Igon located?,In which country is the city of Igon located? France.
3087,The city of Naic is in Philippines.,1,Naic,Philippines,Philippines,In which country is the city of Naic located?,In which country is the city of Naic located? Philippines.
3088,The city of Rodvig is in Denmark.,1,Rodvig,Denmark,Denmark,In which country is the city of Rodvig located?,In which country is the city of Rodvig located? Denmark.
3089,The city of Dushi is in China.,1,Dushi,China,China,In which country is the city of Dushi located?,In which country is the city of Dushi located? China.
3090,The city of Medzilaborce is in Slovakia.,1,Medzilaborce,Slovakia,Slovakia,In which country is the city of Medzilaborce located?,In which country is the city of Medzilaborce located? Slovakia.
3091,The city of Urunga is in Australia.,1,Urunga,Australia,Australia,In which country is the city of Urunga located?,In which country is the city of Urunga located? Australia.
3092,The city of Chirgaon is in India.,1,Chirgaon,India,India,In which country is the city of Chirgaon located?,In which country is the city of Chirgaon located? India.
3093,The city of Kalnik is in Croatia.,1,Kalnik,Croatia,Croatia,In which country is the city of Kalnik located?,In which country is the city of Kalnik located? Croatia.
3094,The city of Riscle is in France.,1,Riscle,France,France,In which country is the city of Riscle located?,In which country is the city of Riscle located? France.
3095,The city of Darwen is in United Kingdom.,1,Darwen,United Kingdom,United Kingdom,In which country is the city of Darwen located?,In which country is the city of Darwen located? United Kingdom.
3096,The city of Koffi Amoukro is in Côte d'Ivoire.,1,Koffi Amoukro,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Koffi Amoukro located?,In which country is the city of Koffi Amoukro located? Côte d'Ivoire.
3097,The city of Balugaon is in India.,1,Balugaon,India,India,In which country is the city of Balugaon located?,In which country is the city of Balugaon located? India.
3098,The city of El Huerfano is in Mexico.,1,El Huerfano,Mexico,Mexico,In which country is the city of El Huerfano located?,In which country is the city of El Huerfano located? Mexico.
3099,The city of San Pedro del Gallo is in Mexico.,1,San Pedro del Gallo,Mexico,Mexico,In which country is the city of San Pedro del Gallo located?,In which country is the city of San Pedro del Gallo located? Mexico.
3100,The city of Palisade is in United States.,1,Palisade,United States,United States,In which country is the city of Palisade located?,In which country is the city of Palisade located? United States.
3101,"The city of Fu Cheong Estate is in Hong Kong, China.",1,Fu Cheong Estate,"Hong Kong, China","Hong Kong, China",In which country is the city of Fu Cheong Estate located?,"In which country is the city of Fu Cheong Estate located? Hong Kong, China."
3102,The city of Tefe is in Brazil.,1,Tefe,Brazil,Brazil,In which country is the city of Tefe located?,In which country is the city of Tefe located? Brazil.
3103,The city of Arbazh is in Russian Federation.,1,Arbazh,Russian Federation,Russian Federation,In which country is the city of Arbazh located?,In which country is the city of Arbazh located? Russian Federation.
3104,The city of Wixom is in United States.,1,Wixom,United States,United States,In which country is the city of Wixom located?,In which country is the city of Wixom located? United States.
3105,The city of Timmonsville is in United States.,1,Timmonsville,United States,United States,In which country is the city of Timmonsville located?,In which country is the city of Timmonsville located? United States.
3106,The city of Aku is in Nigeria.,1,Aku,Nigeria,Nigeria,In which country is the city of Aku located?,In which country is the city of Aku located? Nigeria.
3107,The city of Saint-Quentin-en-Yvelines is in France.,1,Saint-Quentin-en-Yvelines,France,France,In which country is the city of Saint-Quentin-en-Yvelines located?,In which country is the city of Saint-Quentin-en-Yvelines located? France.
3108,The city of Santa Vittoria is in Italy.,1,Santa Vittoria,Italy,Italy,In which country is the city of Santa Vittoria located?,In which country is the city of Santa Vittoria located? Italy.
3109,The city of La Riche is in France.,1,La Riche,France,France,In which country is the city of La Riche located?,In which country is the city of La Riche located? France.
3110,The city of Boynuyogun is in Turkey.,1,Boynuyogun,Turkey,Turkey,In which country is the city of Boynuyogun located?,In which country is the city of Boynuyogun located? Turkey.
3111,The city of Baratili San Pietro is in Italy.,1,Baratili San Pietro,Italy,Italy,In which country is the city of Baratili San Pietro located?,In which country is the city of Baratili San Pietro located? Italy.
3112,The city of Wernau is in Germany.,1,Wernau,Germany,Germany,In which country is the city of Wernau located?,In which country is the city of Wernau located? Germany.
3113,The city of Fuentelsaz de Soria is in Spain.,1,Fuentelsaz de Soria,Spain,Spain,In which country is the city of Fuentelsaz de Soria located?,In which country is the city of Fuentelsaz de Soria located? Spain.
3114,The city of Fabbriche di Vallico is in Italy.,1,Fabbriche di Vallico,Italy,Italy,In which country is the city of Fabbriche di Vallico located?,In which country is the city of Fabbriche di Vallico located? Italy.
3115,The city of Shershentsi is in Ukraine.,1,Shershentsi,Ukraine,Ukraine,In which country is the city of Shershentsi located?,In which country is the city of Shershentsi located? Ukraine.
3116,The city of Plogonnec is in France.,1,Plogonnec,France,France,In which country is the city of Plogonnec located?,In which country is the city of Plogonnec located? France.
3117,The city of Saint-Jean-Baptiste is in Canada.,1,Saint-Jean-Baptiste,Canada,Canada,In which country is the city of Saint-Jean-Baptiste located?,In which country is the city of Saint-Jean-Baptiste located? Canada.
3118,The city of San Antero is in Colombia.,1,San Antero,Colombia,Colombia,In which country is the city of San Antero located?,In which country is the city of San Antero located? Colombia.
3119,The city of Belsand is in India.,1,Belsand,India,India,In which country is the city of Belsand located?,In which country is the city of Belsand located? India.
3120,The city of Kin Kora is in Australia.,1,Kin Kora,Australia,Australia,In which country is the city of Kin Kora located?,In which country is the city of Kin Kora located? Australia.
3121,The city of Alquizar is in Cuba.,1,Alquizar,Cuba,Cuba,In which country is the city of Alquizar located?,In which country is the city of Alquizar located? Cuba.
3122,The city of Kalakala is in Côte d'Ivoire.,1,Kalakala,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Kalakala located?,In which country is the city of Kalakala located? Côte d'Ivoire.
3123,The city of Montelepre is in Italy.,1,Montelepre,Italy,Italy,In which country is the city of Montelepre located?,In which country is the city of Montelepre located? Italy.
3124,The city of Nagar Karnul is in India.,1,Nagar Karnul,India,India,In which country is the city of Nagar Karnul located?,In which country is the city of Nagar Karnul located? India.
3125,The city of Corvera de Asturias is in Spain.,1,Corvera de Asturias,Spain,Spain,In which country is the city of Corvera de Asturias located?,In which country is the city of Corvera de Asturias located? Spain.
3126,The city of Auhausen is in Germany.,1,Auhausen,Germany,Germany,In which country is the city of Auhausen located?,In which country is the city of Auhausen located? Germany.
3127,The city of Priest River is in United States.,1,Priest River,United States,United States,In which country is the city of Priest River located?,In which country is the city of Priest River located? United States.
3128,The city of San Valentino Torio is in Italy.,1,San Valentino Torio,Italy,Italy,In which country is the city of San Valentino Torio located?,In which country is the city of San Valentino Torio located? Italy.
3129,The city of Sokaraja is in Indonesia.,1,Sokaraja,Indonesia,Indonesia,In which country is the city of Sokaraja located?,In which country is the city of Sokaraja located? Indonesia.
3130,The city of Beni Tamou is in Algeria.,1,Beni Tamou,Algeria,Algeria,In which country is the city of Beni Tamou located?,In which country is the city of Beni Tamou located? Algeria.
3131,The city of Kesinga is in India.,1,Kesinga,India,India,In which country is the city of Kesinga located?,In which country is the city of Kesinga located? India.
3132,The city of La Motte-Servolex is in France.,1,La Motte-Servolex,France,France,In which country is the city of La Motte-Servolex located?,In which country is the city of La Motte-Servolex located? France.
3133,The city of Nyirbogat is in Hungary.,1,Nyirbogat,Hungary,Hungary,In which country is the city of Nyirbogat located?,In which country is the city of Nyirbogat located? Hungary.
3134,The city of Hallines is in France.,1,Hallines,France,France,In which country is the city of Hallines located?,In which country is the city of Hallines located? France.
3135,The city of Matha is in France.,1,Matha,France,France,In which country is the city of Matha located?,In which country is the city of Matha located? France.
3136,The city of Muniesa is in Spain.,1,Muniesa,Spain,Spain,In which country is the city of Muniesa located?,In which country is the city of Muniesa located? Spain.
3137,The city of Tocok is in Philippines.,1,Tocok,Philippines,Philippines,In which country is the city of Tocok located?,In which country is the city of Tocok located? Philippines.
3138,The city of Pantego is in United States.,1,Pantego,United States,United States,In which country is the city of Pantego located?,In which country is the city of Pantego located? United States.
3139,The city of Mochumi is in Peru.,1,Mochumi,Peru,Peru,In which country is the city of Mochumi located?,In which country is the city of Mochumi located? Peru.
3140,The city of Bingassou is in Côte d'Ivoire.,1,Bingassou,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bingassou located?,In which country is the city of Bingassou located? Côte d'Ivoire.
3141,The city of Yevhenivka is in Ukraine.,1,Yevhenivka,Ukraine,Ukraine,In which country is the city of Yevhenivka located?,In which country is the city of Yevhenivka located? Ukraine.
3142,The city of Tur is in Romania.,1,Tur,Romania,Romania,In which country is the city of Tur located?,In which country is the city of Tur located? Romania.
3143,The city of Ravenstein is in Netherlands.,1,Ravenstein,Netherlands,Netherlands,In which country is the city of Ravenstein located?,In which country is the city of Ravenstein located? Netherlands.
3144,The city of Magburaka is in Sierra Leone.,1,Magburaka,Sierra Leone,Sierra Leone,In which country is the city of Magburaka located?,In which country is the city of Magburaka located? Sierra Leone.
3145,The city of Tonshayevo is in Russian Federation.,1,Tonshayevo,Russian Federation,Russian Federation,In which country is the city of Tonshayevo located?,In which country is the city of Tonshayevo located? Russian Federation.
