,statement
777,In which country is the city of Likino-Dulevo located?
778,In which country is the city of Khanna located?
779,In which country is the city of Krosno located?
780,In which country is the city of Jaigaon located?
781,In which country is the city of Upper Burnie located?
782,In which country is the city of Oberleichtersbach located?
783,In which country is the city of Colonia Rincon Viejo located?
784,In which country is the city of Chalus located?
785,In which country is the city of Nedoboyvtsi located?
786,In which country is the city of Bocsig located?
787,In which country is the city of Szentkiraly located?
788,In which country is the city of Vaala located?
789,In which country is the city of Cerveteri located?
790,In which country is the city of Saint Simon Mills located?
791,In which country is the city of Canyon Rim located?
792,In which country is the city of Zoutkamp located?
793,In which country is the city of Chapin located?
794,In which country is the city of Alap located?
795,In which country is the city of Montecalvo Versiggia located?
796,In which country is the city of Spaske located?
797,In which country is the city of Badolato Marina located?
798,In which country is the city of Klonhtoug located?
799,In which country is the city of Oromocto located?
800,In which country is the city of Freienwill located?
801,In which country is the city of Comana de Sus located?
802,In which country is the city of Belgern located?
803,In which country is the city of Argir located?
804,In which country is the city of Beavercreek located?
805,In which country is the city of Trekhgornyy located?
806,In which country is the city of Luzarches located?
807,In which country is the city of Cervatto located?
808,In which country is the city of Tamandaro located?
809,In which country is the city of Parker located?
810,In which country is the city of Veverska Bityska located?
811,In which country is the city of Babyn located?
812,In which country is the city of Meliton Albanez Dominguez located?
813,In which country is the city of Rajaori located?
814,In which country is the city of Mogapi located?
815,In which country is the city of Mali Zvornik located?
816,In which country is the city of Atina located?
817,In which country is the city of Eschbach located?
818,In which country is the city of Wahagnies located?
819,In which country is the city of Santiago de Surco located?
820,In which country is the city of Kamsar located?
821,In which country is the city of Sint Laurens located?
822,In which country is the city of Jakartovice located?
823,In which country is the city of Okahao located?
824,In which country is the city of Cantalejo located?
825,In which country is the city of Gaolou located?
826,In which country is the city of Waldneukirchen located?
827,In which country is the city of Fara in Sabina located?
828,In which country is the city of Bikassi located?
829,In which country is the city of Balapur located?
830,In which country is the city of Churachandpur located?
831,In which country is the city of Vorwerk located?
832,In which country is the city of Chapallal Grande located?
833,In which country is the city of Hrozyntsi located?
834,In which country is the city of Jevisovice located?
835,In which country is the city of Artlenburg located?
836,In which country is the city of West Park located?
837,In which country is the city of Torchiarolo located?
838,In which country is the city of Zorawina located?
839,In which country is the city of Jastrzebia Gora located?
840,In which country is the city of Casole d'Elsa located?
841,In which country is the city of Saurimo located?
842,In which country is the city of Roscoe located?
843,In which country is the city of Richtenberg located?
844,In which country is the city of Shivani Pisa located?
845,In which country is the city of Danderhall located?
846,In which country is the city of Khelyulya located?
847,In which country is the city of San Carlos Autopan located?
848,In which country is the city of Brojce located?
849,In which country is the city of Linden located?
850,In which country is the city of Nasriganj located?
851,In which country is the city of Elgin located?
852,In which country is the city of Poppenricht located?
853,In which country is the city of Leichhardt located?
854,In which country is the city of Scandolara Ripa d'Oglio located?
855,In which country is the city of Mendes located?
856,In which country is the city of Cambutal located?
857,In which country is the city of Ambohidratrimo located?
858,In which country is the city of Montelupo Albese located?
859,In which country is the city of Ozelonacaxtla located?
860,In which country is the city of Casteldidone located?
861,In which country is the city of Lonar located?
862,In which country is the city of Balje located?
863,In which country is the city of Bulzesti located?
864,In which country is the city of Torrecuadradilla located?
865,In which country is the city of Shaowu located?
866,In which country is the city of al-Kum located?
867,In which country is the city of Mernda located?
868,In which country is the city of Ban Sam Chuk located?
869,In which country is the city of Landiras located?
870,In which country is the city of Nueva Santa Rosa located?
871,In which country is the city of Rayong located?
872,In which country is the city of San Francisco located?
873,In which country is the city of Asson located?
874,In which country is the city of Abbiategrasso located?
875,In which country is the city of Brenouille located?
876,In which country is the city of Pasuquin located?
877,In which country is the city of Steyning located?
878,In which country is the city of Ciudad Gustavo Diaz Ordaz located?
879,In which country is the city of Landscheid located?
880,In which country is the city of Taesal-li located?
881,In which country is the city of Shiremanstown located?
882,In which country is the city of Altenberg located?
883,In which country is the city of Leknica located?
884,In which country is the city of Koyelga located?
885,In which country is the city of Taylor located?
886,In which country is the city of Bad Schandau located?
887,In which country is the city of Eilbek located?
888,In which country is the city of Pante Makasar located?
889,In which country is the city of Tab located?
890,In which country is the city of Scharnegoutum located?
891,In which country is the city of Terryville located?
892,In which country is the city of Longgang located?
893,In which country is the city of Lovenjoel located?
894,In which country is the city of Sevignac located?
895,In which country is the city of Tumbagaan located?
896,In which country is the city of Lyall Bay located?
897,In which country is the city of Captieux located?
898,In which country is the city of Ceanu Mare located?
899,In which country is the city of Jacksboro located?
900,In which country is the city of Gamping Lor located?
901,In which country is the city of Fernway located?
902,In which country is the city of Karvina located?
903,In which country is the city of Noetinger located?
904,In which country is the city of Buttapietra located?
905,In which country is the city of Peralta located?
906,In which country is the city of Altenmedingen located?
907,In which country is the city of Roppolo located?
908,In which country is the city of Damboa located?
909,In which country is the city of Oxiacaque located?
910,In which country is the city of Las Canas located?
911,In which country is the city of San Pedro Zictepec located?
912,In which country is the city of Oeynhausen located?
913,In which country is the city of Glozan located?
914,In which country is the city of Giswil located?
915,In which country is the city of Castelluccio dei Sauri located?
916,In which country is the city of Burneside located?
917,In which country is the city of Valea Stramba located?
918,In which country is the city of Seyring located?
919,In which country is the city of Cranbourne located?
920,In which country is the city of Paliannunas located?
921,In which country is the city of Yihe located?
922,In which country is the city of Guanhaes located?
923,In which country is the city of Bolivar Peninsula located?
924,In which country is the city of Daykitin located?
925,In which country is the city of Eumemmerring located?
926,In which country is the city of Saint Albans located?
927,In which country is the city of Annezin located?
928,In which country is the city of San Roque located?
929,In which country is the city of Assab located?
930,In which country is the city of Tomendan located?
931,In which country is the city of Petit-Couronne located?
932,In which country is the city of Saint-Pierre-de-Varengeville located?
933,In which country is the city of Konan located?
934,In which country is the city of Kafr al Battikh located?
935,In which country is the city of Encantada-Ranchito-El Calaboz located?
936,In which country is the city of Saint-Coulomb located?
937,In which country is the city of Birenbach located?
938,In which country is the city of Spring Grove located?
939,In which country is the city of Wustenrot located?
940,In which country is the city of Oregon located?
941,In which country is the city of Fuhlsbuettel located?
942,In which country is the city of Independent Hill located?
943,In which country is the city of Hidden Meadows located?
944,In which country is the city of Wellington located?
945,In which country is the city of Esenler located?
946,In which country is the city of Kalsdonk located?
947,In which country is the city of Vals located?
948,In which country is the city of Ruda Slaska located?
949,In which country is the city of Bethel located?
950,In which country is the city of Meadela located?
951,In which country is the city of Alegrete located?
952,In which country is the city of Padborg located?
953,In which country is the city of Andalgala located?
954,In which country is the city of Hipona located?
955,In which country is the city of Mala located?
956,In which country is the city of San Rafael located?
957,In which country is the city of Bor located?
958,In which country is the city of San Pablo located?
959,In which country is the city of North English located?
960,In which country is the city of Bachhagel located?
961,In which country is the city of Gaogou located?
962,In which country is the city of Twin Lakes located?
963,In which country is the city of Deparati located?
964,In which country is the city of Brtnice located?
965,In which country is the city of Ciofrangeni located?
966,In which country is the city of Chatillon-sur-Seine located?
967,In which country is the city of Vanatori located?
968,In which country is the city of Jose Maria Pino Suarez (Nuevo Nahuapa) located?
969,In which country is the city of Bellingham located?
970,In which country is the city of Athens located?
971,In which country is the city of Alto Hospicio located?
972,In which country is the city of Katchre Essekro located?
973,In which country is the city of Canoves i Samalus located?
974,In which country is the city of Bodossipa located?
975,In which country is the city of Merklingen located?
976,In which country is the city of Santa Rita located?
977,In which country is the city of San Giuliano Terme located?
978,In which country is the city of Clenchwarton located?
979,In which country is the city of Cavaso del Tomba located?
980,In which country is the city of Darligen located?
981,In which country is the city of Blayney located?
982,In which country is the city of La Croix-Rouge located?
983,In which country is the city of Soc Trang located?
984,In which country is the city of Parque de Poblamiento Solidaridad located?
985,In which country is the city of Keita located?
986,In which country is the city of Tadotsu located?
987,In which country is the city of Paterna del Rio located?
988,In which country is the city of Stoob located?
989,In which country is the city of Kokory located?
990,In which country is the city of El Carmen located?
991,In which country is the city of Seeburg located?
992,In which country is the city of Vandenberg Space Force Base located?
993,In which country is the city of Monguelfo located?
994,In which country is the city of Valdobbiadene located?
995,In which country is the city of Stadtrandsiedlung Malchow located?
996,In which country is the city of Glenwood located?
997,In which country is the city of Southfield located?
998,In which country is the city of Cordoba (Santa Leticia) located?
999,In which country is the city of Acceglio located?
1000,In which country is the city of Vallo Torinese located?
1001,In which country is the city of Bideford located?
1002,In which country is the city of La Ermita located?
1003,In which country is the city of Slusovice located?
1004,In which country is the city of Cotgrave located?
1005,In which country is the city of Kodar located?
1006,In which country is the city of Nharea located?
1007,In which country is the city of Vadillo de la Sierra located?
1008,In which country is the city of Pavuluru located?
1009,In which country is the city of Dondar Quscu located?
1010,In which country is the city of Boca del Rio located?
1011,In which country is the city of Guadalupe located?
1012,In which country is the city of Oueleu located?
1013,In which country is the city of Dar Kulayb located?
1014,In which country is the city of Brandon located?
1015,In which country is the city of Soe located?
1016,In which country is the city of Ulefoss located?
1017,In which country is the city of Tiltepec located?
1018,In which country is the city of Zelistrzewo located?
1019,In which country is the city of Center located?
1020,In which country is the city of Bad Deutsch-Altenburg located?
1021,In which country is the city of Empoli located?
1022,In which country is the city of Alarcon located?
1023,In which country is the city of Elimbah located?
1024,In which country is the city of Weigelstown located?
1025,In which country is the city of Ben Lomond located?
1026,In which country is the city of Dorverden located?
1027,In which country is the city of Ambon located?
1028,In which country is the city of Tumba located?
1029,In which country is the city of Moyogalpa located?
1030,In which country is the city of Cuitiva located?
1031,In which country is the city of Boulange located?
1032,In which country is the city of Umbita located?
1033,In which country is the city of Tarch'a Sodo located?
1034,In which country is the city of Mudbidri located?
1035,In which country is the city of Annan located?
1036,In which country is the city of Portes Gil located?
1037,In which country is the city of Priamurskiy located?
1038,In which country is the city of Nizhniy Ufaley located?
1039,In which country is the city of Bassett located?
1040,In which country is the city of Sahabo located?
1041,In which country is the city of Bucsesti located?
1042,In which country is the city of Valle Martella located?
1043,In which country is the city of Namest nad Oslavou located?
1044,In which country is the city of Albany located?
1045,In which country is the city of Agua Caliente located?
1046,In which country is the city of Xochinanacatlan located?
1047,In which country is the city of Skanes located?
1048,In which country is the city of Leones East located?
1049,In which country is the city of Wenshang located?
1050,In which country is the city of El Estor located?
1051,In which country is the city of Ahorn located?
1052,In which country is the city of Renazzo located?
1053,In which country is the city of Cheste located?
1054,In which country is the city of La Compania located?
1055,In which country is the city of Fara Filiorum Petri located?
1056,In which country is the city of Valsequillo de Gran Canaria located?
1057,In which country is the city of Er Reina located?
1058,In which country is the city of Groix located?
1059,In which country is the city of Southshore located?
1060,In which country is the city of Teora located?
1061,In which country is the city of Mangorei located?
1062,In which country is the city of Apastovo located?
1063,In which country is the city of Olves located?
1064,In which country is the city of Holtzwihr located?
1065,In which country is the city of Pila located?
1066,In which country is the city of Mezdra located?
1067,In which country is the city of Vrani located?
1068,In which country is the city of Pradera located?
1069,In which country is the city of Tower located?
1070,In which country is the city of Dylym located?
1071,In which country is the city of La Boissiere-de-Montaigu located?
1072,In which country is the city of Vinzons located?
1073,In which country is the city of St. Day located?
1074,In which country is the city of San Marino located?
1075,In which country is the city of Schulzendorf located?
1076,In which country is the city of Visina located?
1077,In which country is the city of Norbury located?
1078,In which country is the city of Cambe located?
1079,In which country is the city of Southwell located?
1080,In which country is the city of Budziszewice located?
1081,In which country is the city of La Trinidad located?
1082,In which country is the city of Lumangbayan located?
1083,In which country is the city of Mierlo located?
1084,In which country is the city of Valmiera located?
1085,In which country is the city of Vonitsa located?
1086,In which country is the city of Chiknayakanhalli located?
1087,In which country is the city of Longano located?
1088,In which country is the city of Caseros located?
1089,In which country is the city of Lommel located?
1090,In which country is the city of La Bouverie located?
1091,In which country is the city of Offanengo located?
1092,In which country is the city of Ulmen located?
1093,In which country is the city of Maloye Isakovo located?
1094,In which country is the city of Chesterfield located?
1095,In which country is the city of Simontornya located?
1096,In which country is the city of Babushkin located?
1097,In which country is the city of Accomac located?
1098,In which country is the city of Zhuzhai located?
1099,In which country is the city of Frampton on Severn located?
1100,In which country is the city of Guinisiliban located?
1101,In which country is the city of Scillato located?
1102,In which country is the city of Romaniv located?
1103,In which country is the city of Calongbuyan located?
1104,In which country is the city of Ruinen located?
1105,In which country is the city of Bristol located?
1106,In which country is the city of Huermeces del Cerro located?
1107,In which country is the city of Pescina located?
1108,In which country is the city of Mours-Saint-Eusebe located?
1109,In which country is the city of Rio Duque located?
1110,In which country is the city of Zhuyuan located?
1111,In which country is the city of Zelienople located?
1112,In which country is the city of Xinzhi located?
1113,In which country is the city of Calarca located?
1114,In which country is the city of San Tin located?
1115,In which country is the city of Tactic located?
1116,In which country is the city of Ronco located?
1117,In which country is the city of Bomi located?
1118,In which country is the city of El Letrero located?
1119,In which country is the city of Ertil' located?
1120,In which country is the city of Savasse located?
1121,In which country is the city of Deyang located?
1122,In which country is the city of Lupi located?
1123,In which country is the city of Csakvar located?
1124,In which country is the city of Santa Maria Jacatepec located?
1125,In which country is the city of Daulatpur located?
1126,In which country is the city of Deux-Montagnes located?
1127,In which country is the city of Postrekov located?
1128,In which country is the city of Dudinka located?
1129,In which country is the city of Convoy located?
1130,In which country is the city of Saint-Maur located?
1131,In which country is the city of Prince Albert located?
1132,In which country is the city of Krog located?
1133,In which country is the city of Villanueva del Fresno located?
1134,In which country is the city of Cabrero located?
1135,In which country is the city of Sibulan located?
1136,In which country is the city of Veguillas de la Sierra located?
1137,In which country is the city of Viereth-Trunstadt located?
1138,In which country is the city of Radaur located?
1139,In which country is the city of Hamilton located?
1140,In which country is the city of Torhout located?
1141,In which country is the city of La Garde located?
1142,In which country is the city of Na Wa located?
1143,In which country is the city of Sudogda located?
1144,In which country is the city of Liwonde located?
1145,In which country is the city of Lakeland located?
1146,In which country is the city of Charbonnieres-les-Bains located?
1147,In which country is the city of Landstuhl located?
1148,In which country is the city of Onigo located?
1149,In which country is the city of Novorozhdestvenskaya located?
1150,In which country is the city of Ashtabula located?
1151,In which country is the city of Parit Buntar located?
1152,In which country is the city of Sermonde located?
1153,In which country is the city of Alegria located?
1154,In which country is the city of Ainaloa located?
1155,In which country is the city of Valdeolivas located?
1156,In which country is the city of Harbury located?
1157,In which country is the city of San Francisco Mazapa located?
1158,In which country is the city of Mahbubabad located?
1159,In which country is the city of Oakwood located?
1160,In which country is the city of Xilocuautla located?
1161,In which country is the city of Brandon located?
1162,In which country is the city of Boychinovtsi located?
1163,In which country is the city of Groveton located?
1164,In which country is the city of Maudaha located?
1165,In which country is the city of Gowarczow located?
1166,In which country is the city of Harrisburg located?
1167,In which country is the city of Zdolbuniv located?
1168,In which country is the city of Radomysl located?
1169,In which country is the city of Soorts located?
1170,In which country is the city of Sayani located?
1171,In which country is the city of Taphan Hin located?
1172,In which country is the city of Morristown located?
1173,In which country is the city of Rehau located?
1174,In which country is the city of Aibetsu located?
1175,In which country is the city of Spilinga located?
1176,In which country is the city of Bojszowy located?
1177,In which country is the city of Novhorodka located?
1178,In which country is the city of Gozon located?
1179,In which country is the city of Harduf located?
1180,In which country is the city of Mill Valley located?
1181,In which country is the city of Holubivka located?
1182,In which country is the city of Hinchley Wood located?
1183,In which country is the city of Greatham located?
1184,In which country is the city of Clisson located?
1185,In which country is the city of Las Canadas located?
1186,In which country is the city of Montafia located?
1187,In which country is the city of Maddingley located?
1188,In which country is the city of Lystrup located?
1189,In which country is the city of Vlachovo Brezi located?
1190,In which country is the city of Itapicuru located?
1191,In which country is the city of Redmond located?
1192,In which country is the city of Oberperfuss located?
1193,In which country is the city of Douar Tindja located?
1194,In which country is the city of Rosegg located?
1195,In which country is the city of Fergus located?
1196,In which country is the city of Borgo Pace located?
1197,In which country is the city of Enying located?
1198,In which country is the city of Taut located?
1199,In which country is the city of Abasolo located?
1200,In which country is the city of Huata located?
1201,In which country is the city of Tulsipur located?
1202,In which country is the city of Narvik located?
1203,In which country is the city of Vermilion located?
1204,In which country is the city of Brighstone located?
1205,In which country is the city of Semirara located?
1206,In which country is the city of Franklin Furnace located?
1207,In which country is the city of Elixku located?
1208,In which country is the city of Dolno Palciste located?
1209,In which country is the city of Belmont located?
1210,In which country is the city of Villa Tapia located?
1211,In which country is the city of Quinapundan located?
1212,In which country is the city of Yecla de Yeltes located?
1213,In which country is the city of Zlatibor located?
1214,In which country is the city of Neukirch located?
1215,In which country is the city of Santiago Momoxpan located?
1216,In which country is the city of Ralingen located?
1217,In which country is the city of Compostela located?
1218,In which country is the city of Pandacaqui located?
1219,In which country is the city of Forrestdale located?
1220,In which country is the city of Segovia located?
1221,In which country is the city of Gayndah located?
1222,In which country is the city of Abaigar located?
1223,In which country is the city of Tha Ruea located?
1224,In which country is the city of Javier Rojo Gomez located?
1225,In which country is the city of Kingsland located?
1226,In which country is the city of Ginch'i located?
1227,In which country is the city of Villalobar de Rioja located?
1228,In which country is the city of Acquaviva delle Fonti located?
1229,In which country is the city of Luray located?
1230,In which country is the city of Aups located?
1231,In which country is the city of Lido degli Estensi located?
1232,In which country is the city of Wurenlos located?
1233,In which country is the city of Argelato located?
1234,In which country is the city of Shanmen located?
1235,In which country is the city of Thoubal located?
1236,In which country is the city of Satama-Sokoro located?
1237,In which country is the city of Irassuenou located?
1238,In which country is the city of Palazzo Canavese located?
1239,In which country is the city of Melksham located?
1240,In which country is the city of Villaverde located?
1241,In which country is the city of Minglanilla located?
1242,In which country is the city of Clairvaux-les-Lacs located?
1243,In which country is the city of Simijaca located?
1244,In which country is the city of Sandikli located?
1245,In which country is the city of Cirie located?
1246,In which country is the city of Santa Fe located?
1247,In which country is the city of Nichols Point located?
1248,In which country is the city of La Luz located?
1249,In which country is the city of Oberlin located?
1250,In which country is the city of Qishan located?
1251,In which country is the city of La Independencia (Las Pilas) located?
1252,In which country is the city of Fantanele located?
1253,In which country is the city of El Bolson located?
1254,In which country is the city of Anould located?
1255,In which country is the city of Lacugnano located?
1256,In which country is the city of Mazancowice located?
1257,In which country is the city of North Terre Haute located?
1258,In which country is the city of Mogosesti-Siret located?
1259,In which country is the city of Kerestinec located?
1260,In which country is the city of Didwana located?
1261,In which country is the city of Sanjo located?
1262,In which country is the city of Menfi located?
1263,In which country is the city of Yushu located?
1264,In which country is the city of Nyamuswa located?
1265,In which country is the city of Chadbourn located?
1266,In which country is the city of Laurel Lake located?
1267,In which country is the city of Grignano Polesine located?
1268,In which country is the city of Blackwood located?
1269,In which country is the city of Boumalne Dades located?
1270,In which country is the city of Santarem located?
1271,In which country is the city of Humulesti located?
1272,In which country is the city of Santo Stefano di Rogliano located?
1273,In which country is the city of Los Navalmorales located?
1274,In which country is the city of Farmersburg located?
1275,In which country is the city of Stadt Winterthur (Kreis 1) / Heiligberg located?
1276,In which country is the city of Sant Feliu de Guixols located?
1277,In which country is the city of Bcharre located?
1278,In which country is the city of Yaplassou located?
1279,In which country is the city of Roxas located?
1280,In which country is the city of Pfaffenhofen located?
1281,In which country is the city of Solaro located?
1282,In which country is the city of Washington located?
1283,In which country is the city of Sant'Agata Li Battiati located?
1284,In which country is the city of Grunendeich located?
1285,In which country is the city of Sigatoka located?
1286,In which country is the city of Kirkuk located?
1287,In which country is the city of Hilbert located?
1288,In which country is the city of Lasbek located?
1289,In which country is the city of MesillatTsiyyon located?
1290,In which country is the city of Gorgonzola located?
1291,In which country is the city of Ersekcsanad located?
1292,In which country is the city of Zlynka located?
1293,In which country is the city of Casciana Terme located?
1294,In which country is the city of Santiago Sacatepequez located?
1295,In which country is the city of Carnarvon located?
1296,In which country is the city of Harvington located?
1297,In which country is the city of Guignicourt located?
1298,In which country is the city of Chateaufort located?
1299,In which country is the city of Laguna Seca located?
1300,In which country is the city of Montalban located?
1301,In which country is the city of Ksar Chellala located?
1302,In which country is the city of Mandanici located?
1303,In which country is the city of Steyl located?
1304,In which country is the city of La Escondida located?
1305,In which country is the city of Walthourville located?
1306,In which country is the city of Domaa-Ahenkro located?
1307,In which country is the city of Grumes located?
1308,In which country is the city of Vinsobres located?
1309,In which country is the city of Pennsboro located?
1310,In which country is the city of Laizhou located?
1311,In which country is the city of Tafi Viejo located?
1312,In which country is the city of Huryivka located?
1313,In which country is the city of Frontovoye located?
1314,In which country is the city of Cruz del Milagro located?
1315,In which country is the city of Sitarganj located?
1316,In which country is the city of Basna located?
1317,In which country is the city of Parenti located?
1318,In which country is the city of Siilinjaervi located?
1319,In which country is the city of Alparea located?
1320,In which country is the city of Saku located?
1321,In which country is the city of Clarendon located?
1322,In which country is the city of Lhokseumawe located?
1323,In which country is the city of Alamo Heights located?
1324,In which country is the city of Huxley located?
1325,In which country is the city of Kubuta located?
1326,In which country is the city of Morgans Point Resort located?
1327,In which country is the city of Kotel'nich located?
1328,In which country is the city of La Cumbre located?
1329,In which country is the city of Maiden Newton located?
1330,In which country is the city of Lewisville located?
1331,In which country is the city of Fonsagrada located?
1332,In which country is the city of Unterneukirchen located?
1333,In which country is the city of Rodniki located?
1334,In which country is the city of Sviblovo located?
1335,In which country is the city of Gazi located?
1336,In which country is the city of Buenavista located?
1337,In which country is the city of Domvraina located?
1338,In which country is the city of Mairano located?
1339,In which country is the city of Lakin located?
1340,In which country is the city of Deltaville located?
1341,In which country is the city of Wegierska Gorka located?
1342,In which country is the city of Enugu-Ukwu located?
1343,In which country is the city of Villeneuve-les-Bouloc located?
1344,In which country is the city of Valros located?
1345,In which country is the city of Legnickie Pole located?
1346,In which country is the city of Dlutow located?
1347,In which country is the city of Fairchild Air Force Base located?
1348,In which country is the city of Aourossua located?
1349,In which country is the city of Saint-Jean-la-Poterie located?
1350,In which country is the city of Igcocolo located?
1351,In which country is the city of Fines located?
1352,In which country is the city of Sancraiu de Mures located?
1353,In which country is the city of Orlovista located?
1354,In which country is the city of Ghergheasa located?
1355,In which country is the city of Champtoceaux located?
1356,In which country is the city of Francheleins located?
1357,In which country is the city of PRI Chacon located?
1358,In which country is the city of Aita Mare located?
1359,In which country is the city of Castiglion Fibocchi located?
1360,In which country is the city of Au in der Hallertau located?
1361,In which country is the city of Hanvec located?
1362,In which country is the city of Droesing located?
1363,In which country is the city of Lukavec located?
1364,In which country is the city of East Glenville located?
1365,In which country is the city of Gunyazi located?
1366,In which country is the city of Gorzow Wielkopolski located?
1367,In which country is the city of Bingtuan Sanshiliu Tuan located?
1368,In which country is the city of Cidones located?
1369,In which country is the city of Zakrzew located?
1370,In which country is the city of Kaydaki located?
1371,In which country is the city of Sihochac located?
