,statement,label,city,country,correct_country,question,question_with_answer
353,The city of Forstinning is in Germany.,1,Forstinning,Germany,Germany,In which country is the city of Forstinning located?,In which country is the city of Forstinning located? Germany.
354,The city of Garcia is in Spain.,1,Garcia,Spain,Spain,In which country is the city of Garcia located?,In which country is the city of Garcia located? Spain.
355,The city of Fanzhuang is in China.,1,Fanzhuang,China,China,In which country is the city of Fanzhuang located?,In which country is the city of Fanzhuang located? China.
356,The city of Wallington is in United States.,1,Wallington,United States,United States,In which country is the city of Wallington located?,In which country is the city of Wallington located? United States.
357,The city of Akersberga is in Sweden.,1,Akersberga,Sweden,Sweden,In which country is the city of Akersberga located?,In which country is the city of Akersberga located? Sweden.
358,The city of Montevago is in Italy.,1,Montevago,Italy,Italy,In which country is the city of Montevago located?,In which country is the city of Montevago located? Italy.
359,The city of Swietochlowice is in Poland.,1,Swietochlowice,Poland,Poland,In which country is the city of Swietochlowice located?,In which country is the city of Swietochlowice located? Poland.
360,The city of Matoaca is in United States.,1,Matoaca,United States,United States,In which country is the city of Matoaca located?,In which country is the city of Matoaca located? United States.
361,The city of Lobuni is in Ethiopia.,1,Lobuni,Ethiopia,Ethiopia,In which country is the city of Lobuni located?,In which country is the city of Lobuni located? Ethiopia.
362,The city of Bourg-de-Thizy is in France.,1,Bourg-de-Thizy,France,France,In which country is the city of Bourg-de-Thizy located?,In which country is the city of Bourg-de-Thizy located? France.
363,The city of Castelnuovo del Garda is in Italy.,1,Castelnuovo del Garda,Italy,Italy,In which country is the city of Castelnuovo del Garda located?,In which country is the city of Castelnuovo del Garda located? Italy.
364,The city of Trinidad Garcia de la Cadena is in Mexico.,1,Trinidad Garcia de la Cadena,Mexico,Mexico,In which country is the city of Trinidad Garcia de la Cadena located?,In which country is the city of Trinidad Garcia de la Cadena located? Mexico.
365,The city of Solrod is in Denmark.,1,Solrod,Denmark,Denmark,In which country is the city of Solrod located?,In which country is the city of Solrod located? Denmark.
366,The city of Milo is in Italy.,1,Milo,Italy,Italy,In which country is the city of Milo located?,In which country is the city of Milo located? Italy.
367,The city of Salvadios is in Spain.,1,Salvadios,Spain,Spain,In which country is the city of Salvadios located?,In which country is the city of Salvadios located? Spain.
368,The city of Madian is in Côte d'Ivoire.,1,Madian,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Madian located?,In which country is the city of Madian located? Côte d'Ivoire.
369,The city of George Enescu is in Romania.,1,George Enescu,Romania,Romania,In which country is the city of George Enescu located?,In which country is the city of George Enescu located? Romania.
370,The city of Saph is in Côte d'Ivoire.,1,Saph,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Saph located?,In which country is the city of Saph located? Côte d'Ivoire.
371,The city of Harrisville is in United States.,1,Harrisville,United States,United States,In which country is the city of Harrisville located?,In which country is the city of Harrisville located? United States.
372,The city of Rudersdorf is in Austria.,1,Rudersdorf,Austria,Austria,In which country is the city of Rudersdorf located?,In which country is the city of Rudersdorf located? Austria.
373,The city of Libiaz is in Poland.,1,Libiaz,Poland,Poland,In which country is the city of Libiaz located?,In which country is the city of Libiaz located? Poland.
374,The city of Laureana di Borrello is in Italy.,1,Laureana di Borrello,Italy,Italy,In which country is the city of Laureana di Borrello located?,In which country is the city of Laureana di Borrello located? Italy.
375,The city of Tonala is in Mexico.,1,Tonala,Mexico,Mexico,In which country is the city of Tonala located?,In which country is the city of Tonala located? Mexico.
376,The city of Pixley is in United States.,1,Pixley,United States,United States,In which country is the city of Pixley located?,In which country is the city of Pixley located? United States.
377,The city of Ormiston is in United Kingdom.,1,Ormiston,United Kingdom,United Kingdom,In which country is the city of Ormiston located?,In which country is the city of Ormiston located? United Kingdom.
378,The city of Magbehigouepa is in Côte d'Ivoire.,1,Magbehigouepa,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Magbehigouepa located?,In which country is the city of Magbehigouepa located? Côte d'Ivoire.
379,The city of Sassandra is in Côte d'Ivoire.,1,Sassandra,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Sassandra located?,In which country is the city of Sassandra located? Côte d'Ivoire.
380,The city of Lyublino is in Russian Federation.,1,Lyublino,Russian Federation,Russian Federation,In which country is the city of Lyublino located?,In which country is the city of Lyublino located? Russian Federation.
381,The city of Kangani is in Comoros.,1,Kangani,Comoros,Comoros,In which country is the city of Kangani located?,In which country is the city of Kangani located? Comoros.
382,The city of Uffelte is in Netherlands.,1,Uffelte,Netherlands,Netherlands,In which country is the city of Uffelte located?,In which country is the city of Uffelte located? Netherlands.
383,The city of Kameelkraal is in South Africa.,1,Kameelkraal,South Africa,South Africa,In which country is the city of Kameelkraal located?,In which country is the city of Kameelkraal located? South Africa.
384,The city of Lanoraie is in Canada.,1,Lanoraie,Canada,Canada,In which country is the city of Lanoraie located?,In which country is the city of Lanoraie located? Canada.
385,The city of Morsum is in Germany.,1,Morsum,Germany,Germany,In which country is the city of Morsum located?,In which country is the city of Morsum located? Germany.
386,The city of Lenningen is in Germany.,1,Lenningen,Germany,Germany,In which country is the city of Lenningen located?,In which country is the city of Lenningen located? Germany.
387,The city of Calendasco is in Italy.,1,Calendasco,Italy,Italy,In which country is the city of Calendasco located?,In which country is the city of Calendasco located? Italy.
388,The city of Poniec is in Poland.,1,Poniec,Poland,Poland,In which country is the city of Poniec located?,In which country is the city of Poniec located? Poland.
389,The city of San Benedetto Val di Sambro is in Italy.,1,San Benedetto Val di Sambro,Italy,Italy,In which country is the city of San Benedetto Val di Sambro located?,In which country is the city of San Benedetto Val di Sambro located? Italy.
390,The city of Bounta is in Côte d'Ivoire.,1,Bounta,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bounta located?,In which country is the city of Bounta located? Côte d'Ivoire.
391,The city of Zacalaca is in Mexico.,1,Zacalaca,Mexico,Mexico,In which country is the city of Zacalaca located?,In which country is the city of Zacalaca located? Mexico.
392,The city of Sayansk is in Russian Federation.,1,Sayansk,Russian Federation,Russian Federation,In which country is the city of Sayansk located?,In which country is the city of Sayansk located? Russian Federation.
393,The city of Tronville-en-Barrois is in France.,1,Tronville-en-Barrois,France,France,In which country is the city of Tronville-en-Barrois located?,In which country is the city of Tronville-en-Barrois located? France.
394,The city of Ginestra is in Italy.,1,Ginestra,Italy,Italy,In which country is the city of Ginestra located?,In which country is the city of Ginestra located? Italy.
395,The city of Pugchen Mumuntic is in Mexico.,1,Pugchen Mumuntic,Mexico,Mexico,In which country is the city of Pugchen Mumuntic located?,In which country is the city of Pugchen Mumuntic located? Mexico.
396,The city of Latour is in Belgium.,1,Latour,Belgium,Belgium,In which country is the city of Latour located?,In which country is the city of Latour located? Belgium.
397,The city of Lalbenque is in France.,1,Lalbenque,France,France,In which country is the city of Lalbenque located?,In which country is the city of Lalbenque located? France.
398,The city of Macheng is in China.,1,Macheng,China,China,In which country is the city of Macheng located?,In which country is the city of Macheng located? China.
399,The city of Bogatoye is in Russian Federation.,1,Bogatoye,Russian Federation,Russian Federation,In which country is the city of Bogatoye located?,In which country is the city of Bogatoye located? Russian Federation.
400,The city of Lagow is in Poland.,1,Lagow,Poland,Poland,In which country is the city of Lagow located?,In which country is the city of Lagow located? Poland.
401,The city of Sweetser is in United States.,1,Sweetser,United States,United States,In which country is the city of Sweetser located?,In which country is the city of Sweetser located? United States.
402,The city of Vega Alta is in Puerto Rico.,1,Vega Alta,Puerto Rico,Puerto Rico,In which country is the city of Vega Alta located?,In which country is the city of Vega Alta located? Puerto Rico.
403,The city of El Ojuelo is in Mexico.,1,El Ojuelo,Mexico,Mexico,In which country is the city of El Ojuelo located?,In which country is the city of El Ojuelo located? Mexico.
404,The city of Shelter Island Heights is in United States.,1,Shelter Island Heights,United States,United States,In which country is the city of Shelter Island Heights located?,In which country is the city of Shelter Island Heights located? United States.
405,The city of Anyang is in China.,1,Anyang,China,China,In which country is the city of Anyang located?,In which country is the city of Anyang located? China.
406,The city of Ouandegue is in Côte d'Ivoire.,1,Ouandegue,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Ouandegue located?,In which country is the city of Ouandegue located? Côte d'Ivoire.
407,The city of Nijenheim is in Netherlands.,1,Nijenheim,Netherlands,Netherlands,In which country is the city of Nijenheim located?,In which country is the city of Nijenheim located? Netherlands.
408,The city of Magacela is in Spain.,1,Magacela,Spain,Spain,In which country is the city of Magacela located?,In which country is the city of Magacela located? Spain.
409,The city of Bordj Zemoura is in Algeria.,1,Bordj Zemoura,Algeria,Algeria,In which country is the city of Bordj Zemoura located?,In which country is the city of Bordj Zemoura located? Algeria.
410,The city of Santa Cruz is in Panama.,1,Santa Cruz,Panama,Panama,In which country is the city of Santa Cruz located?,In which country is the city of Santa Cruz located? Panama.
411,The city of La Estrella is in Mexico.,1,La Estrella,Mexico,Mexico,In which country is the city of La Estrella located?,In which country is the city of La Estrella located? Mexico.
412,The city of Toecksfors is in Sweden.,1,Toecksfors,Sweden,Sweden,In which country is the city of Toecksfors located?,In which country is the city of Toecksfors located? Sweden.
413,The city of Smythes Creek is in Australia.,1,Smythes Creek,Australia,Australia,In which country is the city of Smythes Creek located?,In which country is the city of Smythes Creek located? Australia.
414,The city of Red Lion is in United States.,1,Red Lion,United States,United States,In which country is the city of Red Lion located?,In which country is the city of Red Lion located? United States.
415,The city of Loutra Aidhipsou is in Greece.,1,Loutra Aidhipsou,Greece,Greece,In which country is the city of Loutra Aidhipsou located?,In which country is the city of Loutra Aidhipsou located? Greece.
416,The city of Skoczow is in Poland.,1,Skoczow,Poland,Poland,In which country is the city of Skoczow located?,In which country is the city of Skoczow located? Poland.
417,The city of Grosse Pointe Woods is in United States.,1,Grosse Pointe Woods,United States,United States,In which country is the city of Grosse Pointe Woods located?,In which country is the city of Grosse Pointe Woods located? United States.
418,The city of Kokhma is in Russian Federation.,1,Kokhma,Russian Federation,Russian Federation,In which country is the city of Kokhma located?,In which country is the city of Kokhma located? Russian Federation.
419,The city of Houdan is in France.,1,Houdan,France,France,In which country is the city of Houdan located?,In which country is the city of Houdan located? France.
420,The city of Jagtial is in India.,1,Jagtial,India,India,In which country is the city of Jagtial located?,In which country is the city of Jagtial located? India.
421,The city of Poiana Maggiore is in Italy.,1,Poiana Maggiore,Italy,Italy,In which country is the city of Poiana Maggiore located?,In which country is the city of Poiana Maggiore located? Italy.
422,The city of Krivyanskaya is in Russian Federation.,1,Krivyanskaya,Russian Federation,Russian Federation,In which country is the city of Krivyanskaya located?,In which country is the city of Krivyanskaya located? Russian Federation.
423,The city of Werther is in Germany.,1,Werther,Germany,Germany,In which country is the city of Werther located?,In which country is the city of Werther located? Germany.
424,The city of Jupanesti is in Romania.,1,Jupanesti,Romania,Romania,In which country is the city of Jupanesti located?,In which country is the city of Jupanesti located? Romania.
425,The city of Mamaroneck is in United States.,1,Mamaroneck,United States,United States,In which country is the city of Mamaroneck located?,In which country is the city of Mamaroneck located? United States.
426,The city of Cleres is in France.,1,Cleres,France,France,In which country is the city of Cleres located?,In which country is the city of Cleres located? France.
427,The city of Valea Crisului is in Romania.,1,Valea Crisului,Romania,Romania,In which country is the city of Valea Crisului located?,In which country is the city of Valea Crisului located? Romania.
428,The city of Izobil'noye is in Ukraine.,1,Izobil'noye,Ukraine,Ukraine,In which country is the city of Izobil'noye located?,In which country is the city of Izobil'noye located? Ukraine.
429,The city of Volzhsky is in Russian Federation.,1,Volzhsky,Russian Federation,Russian Federation,In which country is the city of Volzhsky located?,In which country is the city of Volzhsky located? Russian Federation.
430,The city of China is in Japan.,1,China,Japan,Japan,In which country is the city of China located?,In which country is the city of China located? Japan.
431,The city of Treppo Grande is in Italy.,1,Treppo Grande,Italy,Italy,In which country is the city of Treppo Grande located?,In which country is the city of Treppo Grande located? Italy.
432,The city of Carhuaz is in Peru.,1,Carhuaz,Peru,Peru,In which country is the city of Carhuaz located?,In which country is the city of Carhuaz located? Peru.
433,The city of Ebejico is in Colombia.,1,Ebejico,Colombia,Colombia,In which country is the city of Ebejico located?,In which country is the city of Ebejico located? Colombia.
434,The city of Liliani is in Pakistan.,1,Liliani,Pakistan,Pakistan,In which country is the city of Liliani located?,In which country is the city of Liliani located? Pakistan.
435,The city of Dabrowa Bialostocka is in Poland.,1,Dabrowa Bialostocka,Poland,Poland,In which country is the city of Dabrowa Bialostocka located?,In which country is the city of Dabrowa Bialostocka located? Poland.
436,The city of Godstone is in United Kingdom.,1,Godstone,United Kingdom,United Kingdom,In which country is the city of Godstone located?,In which country is the city of Godstone located? United Kingdom.
437,The city of Krumbach is in Austria.,1,Krumbach,Austria,Austria,In which country is the city of Krumbach located?,In which country is the city of Krumbach located? Austria.
438,The city of Duvan is in Russian Federation.,1,Duvan,Russian Federation,Russian Federation,In which country is the city of Duvan located?,In which country is the city of Duvan located? Russian Federation.
439,The city of El Pino is in Mexico.,1,El Pino,Mexico,Mexico,In which country is the city of El Pino located?,In which country is the city of El Pino located? Mexico.
440,The city of Hal Gharghur is in Malta.,1,Hal Gharghur,Malta,Malta,In which country is the city of Hal Gharghur located?,In which country is the city of Hal Gharghur located? Malta.
441,The city of Gourane is in Côte d'Ivoire.,1,Gourane,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Gourane located?,In which country is the city of Gourane located? Côte d'Ivoire.
442,"The city of Lazani is in Macedonia, The former Yugoslav Rep. of.",1,Lazani,"Macedonia, The former Yugoslav Rep. of","Macedonia, The former Yugoslav Rep. of",In which country is the city of Lazani located?,"In which country is the city of Lazani located? Macedonia, The former Yugoslav Rep. of."
443,The city of Gondecourt is in France.,1,Gondecourt,France,France,In which country is the city of Gondecourt located?,In which country is the city of Gondecourt located? France.
444,The city of Sobotka is in Czech Republic.,1,Sobotka,Czech Republic,Czech Republic,In which country is the city of Sobotka located?,In which country is the city of Sobotka located? Czech Republic.
445,The city of Melbach is in Germany.,1,Melbach,Germany,Germany,In which country is the city of Melbach located?,In which country is the city of Melbach located? Germany.
446,The city of Torresmenudas is in Spain.,1,Torresmenudas,Spain,Spain,In which country is the city of Torresmenudas located?,In which country is the city of Torresmenudas located? Spain.
447,The city of Correze is in France.,1,Correze,France,France,In which country is the city of Correze located?,In which country is the city of Correze located? France.
448,The city of Watertown is in United States.,1,Watertown,United States,United States,In which country is the city of Watertown located?,In which country is the city of Watertown located? United States.
449,The city of Charvensod is in Italy.,1,Charvensod,Italy,Italy,In which country is the city of Charvensod located?,In which country is the city of Charvensod located? Italy.
450,The city of Chalan is in Colombia.,1,Chalan,Colombia,Colombia,In which country is the city of Chalan located?,In which country is the city of Chalan located? Colombia.
451,The city of Essex Junction is in United States.,1,Essex Junction,United States,United States,In which country is the city of Essex Junction located?,In which country is the city of Essex Junction located? United States.
452,The city of Arcey is in France.,1,Arcey,France,France,In which country is the city of Arcey located?,In which country is the city of Arcey located? France.
453,The city of Sotouboua is in Togo.,1,Sotouboua,Togo,Togo,In which country is the city of Sotouboua located?,In which country is the city of Sotouboua located? Togo.
454,The city of Grain is in United Kingdom.,1,Grain,United Kingdom,United Kingdom,In which country is the city of Grain located?,In which country is the city of Grain located? United Kingdom.
455,"The city of Binga is in Congo, Democratic Republic of the.",1,Binga,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",In which country is the city of Binga located?,"In which country is the city of Binga located? Congo, Democratic Republic of the."
456,The city of Boguchwala is in Poland.,1,Boguchwala,Poland,Poland,In which country is the city of Boguchwala located?,In which country is the city of Boguchwala located? Poland.
457,The city of Butler is in United States.,1,Butler,United States,United States,In which country is the city of Butler located?,In which country is the city of Butler located? United States.
458,The city of Covington is in United States.,1,Covington,United States,United States,In which country is the city of Covington located?,In which country is the city of Covington located? United States.
459,The city of Vine Hill is in United States.,1,Vine Hill,United States,United States,In which country is the city of Vine Hill located?,In which country is the city of Vine Hill located? United States.
460,The city of Lagoa Nova is in Brazil.,1,Lagoa Nova,Brazil,Brazil,In which country is the city of Lagoa Nova located?,In which country is the city of Lagoa Nova located? Brazil.
461,The city of Teguela is in Côte d'Ivoire.,1,Teguela,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Teguela located?,In which country is the city of Teguela located? Côte d'Ivoire.
462,The city of Santu Lussurgiu is in Italy.,1,Santu Lussurgiu,Italy,Italy,In which country is the city of Santu Lussurgiu located?,In which country is the city of Santu Lussurgiu located? Italy.
463,The city of Drochtersen is in Germany.,1,Drochtersen,Germany,Germany,In which country is the city of Drochtersen located?,In which country is the city of Drochtersen located? Germany.
464,The city of Bafretou is in Côte d'Ivoire.,1,Bafretou,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bafretou located?,In which country is the city of Bafretou located? Côte d'Ivoire.
465,The city of Mallawi is in Egypt.,1,Mallawi,Egypt,Egypt,In which country is the city of Mallawi located?,In which country is the city of Mallawi located? Egypt.
466,The city of Gera Lario is in Italy.,1,Gera Lario,Italy,Italy,In which country is the city of Gera Lario located?,In which country is the city of Gera Lario located? Italy.
467,The city of Koutiourou is in Côte d'Ivoire.,1,Koutiourou,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Koutiourou located?,In which country is the city of Koutiourou located? Côte d'Ivoire.
468,"The city of Kangavar is in Iran, Islamic Rep. of.",1,Kangavar,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",In which country is the city of Kangavar located?,"In which country is the city of Kangavar located? Iran, Islamic Rep. of."
469,The city of Fort Fairfield is in United States.,1,Fort Fairfield,United States,United States,In which country is the city of Fort Fairfield located?,In which country is the city of Fort Fairfield located? United States.
470,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,In which country is the city of Mandalay located?,In which country is the city of Mandalay located? Myanmar.
471,The city of Bowil is in Switzerland.,1,Bowil,Switzerland,Switzerland,In which country is the city of Bowil located?,In which country is the city of Bowil located? Switzerland.
472,The city of Vedaraniyam is in India.,1,Vedaraniyam,India,India,In which country is the city of Vedaraniyam located?,In which country is the city of Vedaraniyam located? India.
473,The city of Wendell is in United States.,1,Wendell,United States,United States,In which country is the city of Wendell located?,In which country is the city of Wendell located? United States.
474,The city of Seggiano is in Italy.,1,Seggiano,Italy,Italy,In which country is the city of Seggiano located?,In which country is the city of Seggiano located? Italy.
475,The city of Meneses de Campos is in Spain.,1,Meneses de Campos,Spain,Spain,In which country is the city of Meneses de Campos located?,In which country is the city of Meneses de Campos located? Spain.
476,The city of Dekoa is in Central African Republic.,1,Dekoa,Central African Republic,Central African Republic,In which country is the city of Dekoa located?,In which country is the city of Dekoa located? Central African Republic.
477,The city of Punta Ocote is in Honduras.,1,Punta Ocote,Honduras,Honduras,In which country is the city of Punta Ocote located?,In which country is the city of Punta Ocote located? Honduras.
478,The city of Arzignano is in Italy.,1,Arzignano,Italy,Italy,In which country is the city of Arzignano located?,In which country is the city of Arzignano located? Italy.
479,The city of Kup is in Poland.,1,Kup,Poland,Poland,In which country is the city of Kup located?,In which country is the city of Kup located? Poland.
480,The city of Teolocholco is in Mexico.,1,Teolocholco,Mexico,Mexico,In which country is the city of Teolocholco located?,In which country is the city of Teolocholco located? Mexico.
481,The city of Agnantero is in Greece.,1,Agnantero,Greece,Greece,In which country is the city of Agnantero located?,In which country is the city of Agnantero located? Greece.
482,The city of Augny is in France.,1,Augny,France,France,In which country is the city of Augny located?,In which country is the city of Augny located? France.
483,The city of Jahedpur is in Bangladesh.,1,Jahedpur,Bangladesh,Bangladesh,In which country is the city of Jahedpur located?,In which country is the city of Jahedpur located? Bangladesh.
484,The city of Sutter is in United States.,1,Sutter,United States,United States,In which country is the city of Sutter located?,In which country is the city of Sutter located? United States.
485,The city of Banza Damba is in Angola.,1,Banza Damba,Angola,Angola,In which country is the city of Banza Damba located?,In which country is the city of Banza Damba located? Angola.
486,The city of Bahadurgarh is in India.,1,Bahadurgarh,India,India,In which country is the city of Bahadurgarh located?,In which country is the city of Bahadurgarh located? India.
487,The city of Zell is in Germany.,1,Zell,Germany,Germany,In which country is the city of Zell located?,In which country is the city of Zell located? Germany.
488,The city of Heist is in Belgium.,1,Heist,Belgium,Belgium,In which country is the city of Heist located?,In which country is the city of Heist located? Belgium.
489,The city of Villedieu-sur-Indre is in France.,1,Villedieu-sur-Indre,France,France,In which country is the city of Villedieu-sur-Indre located?,In which country is the city of Villedieu-sur-Indre located? France.
490,The city of Sagae is in Japan.,1,Sagae,Japan,Japan,In which country is the city of Sagae located?,In which country is the city of Sagae located? Japan.
491,The city of Saint-Germain-sur-Morin is in France.,1,Saint-Germain-sur-Morin,France,France,In which country is the city of Saint-Germain-sur-Morin located?,In which country is the city of Saint-Germain-sur-Morin located? France.
492,The city of Adamagui is in Côte d'Ivoire.,1,Adamagui,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Adamagui located?,In which country is the city of Adamagui located? Côte d'Ivoire.
493,The city of Ingram is in United States.,1,Ingram,United States,United States,In which country is the city of Ingram located?,In which country is the city of Ingram located? United States.
494,The city of Limburg an der Lahn is in Germany.,1,Limburg an der Lahn,Germany,Germany,In which country is the city of Limburg an der Lahn located?,In which country is the city of Limburg an der Lahn located? Germany.
495,The city of Kurskaya is in Russian Federation.,1,Kurskaya,Russian Federation,Russian Federation,In which country is the city of Kurskaya located?,In which country is the city of Kurskaya located? Russian Federation.
496,The city of Badie is in Côte d'Ivoire.,1,Badie,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Badie located?,In which country is the city of Badie located? Côte d'Ivoire.
497,The city of Kropachevo is in Russian Federation.,1,Kropachevo,Russian Federation,Russian Federation,In which country is the city of Kropachevo located?,In which country is the city of Kropachevo located? Russian Federation.
498,The city of Optasi is in Romania.,1,Optasi,Romania,Romania,In which country is the city of Optasi located?,In which country is the city of Optasi located? Romania.
499,"The city of Ciudad Bolivar is in Venezuela, Bolivarian Rep. of.",1,Ciudad Bolivar,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of",In which country is the city of Ciudad Bolivar located?,"In which country is the city of Ciudad Bolivar located? Venezuela, Bolivarian Rep. of."
500,The city of Ovsyanka is in Russian Federation.,1,Ovsyanka,Russian Federation,Russian Federation,In which country is the city of Ovsyanka located?,In which country is the city of Ovsyanka located? Russian Federation.
501,The city of Juva is in Finland.,1,Juva,Finland,Finland,In which country is the city of Juva located?,In which country is the city of Juva located? Finland.
502,The city of Travagliato is in Italy.,1,Travagliato,Italy,Italy,In which country is the city of Travagliato located?,In which country is the city of Travagliato located? Italy.
503,The city of Avenel is in Australia.,1,Avenel,Australia,Australia,In which country is the city of Avenel located?,In which country is the city of Avenel located? Australia.
504,The city of Krasnaya Polyana is in Ukraine.,1,Krasnaya Polyana,Ukraine,Ukraine,In which country is the city of Krasnaya Polyana located?,In which country is the city of Krasnaya Polyana located? Ukraine.
505,The city of Angren is in Uzbekistan.,1,Angren,Uzbekistan,Uzbekistan,In which country is the city of Angren located?,In which country is the city of Angren located? Uzbekistan.
506,The city of Nganjuk is in Indonesia.,1,Nganjuk,Indonesia,Indonesia,In which country is the city of Nganjuk located?,In which country is the city of Nganjuk located? Indonesia.
507,The city of Heppignies is in Belgium.,1,Heppignies,Belgium,Belgium,In which country is the city of Heppignies located?,In which country is the city of Heppignies located? Belgium.
508,The city of Burscough is in United Kingdom.,1,Burscough,United Kingdom,United Kingdom,In which country is the city of Burscough located?,In which country is the city of Burscough located? United Kingdom.
509,The city of Loiyangalani is in Kenya.,1,Loiyangalani,Kenya,Kenya,In which country is the city of Loiyangalani located?,In which country is the city of Loiyangalani located? Kenya.
510,The city of Escheburg is in Germany.,1,Escheburg,Germany,Germany,In which country is the city of Escheburg located?,In which country is the city of Escheburg located? Germany.
511,The city of Travemuende is in Germany.,1,Travemuende,Germany,Germany,In which country is the city of Travemuende located?,In which country is the city of Travemuende located? Germany.
512,The city of Oraiokastro is in Greece.,1,Oraiokastro,Greece,Greece,In which country is the city of Oraiokastro located?,In which country is the city of Oraiokastro located? Greece.
513,The city of Zumpango del Rio is in Mexico.,1,Zumpango del Rio,Mexico,Mexico,In which country is the city of Zumpango del Rio located?,In which country is the city of Zumpango del Rio located? Mexico.
514,The city of Kaabo is in Côte d'Ivoire.,1,Kaabo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Kaabo located?,In which country is the city of Kaabo located? Côte d'Ivoire.
515,The city of Belfair is in United States.,1,Belfair,United States,United States,In which country is the city of Belfair located?,In which country is the city of Belfair located? United States.
516,The city of Varangeville is in France.,1,Varangeville,France,France,In which country is the city of Varangeville located?,In which country is the city of Varangeville located? France.
517,The city of Bogatyr' is in Russian Federation.,1,Bogatyr',Russian Federation,Russian Federation,In which country is the city of Bogatyr' located?,In which country is the city of Bogatyr' located? Russian Federation.
518,The city of Georges Hall is in Australia.,1,Georges Hall,Australia,Australia,In which country is the city of Georges Hall located?,In which country is the city of Georges Hall located? Australia.
519,The city of Regen is in Germany.,1,Regen,Germany,Germany,In which country is the city of Regen located?,In which country is the city of Regen located? Germany.
520,The city of Villard-de-Lans is in France.,1,Villard-de-Lans,France,France,In which country is the city of Villard-de-Lans located?,In which country is the city of Villard-de-Lans located? France.
521,The city of Waspan is in Nicaragua.,1,Waspan,Nicaragua,Nicaragua,In which country is the city of Waspan located?,In which country is the city of Waspan located? Nicaragua.
522,The city of Lenbe is in Haiti.,1,Lenbe,Haiti,Haiti,In which country is the city of Lenbe located?,In which country is the city of Lenbe located? Haiti.
523,The city of El Guabo is in Panama.,1,El Guabo,Panama,Panama,In which country is the city of El Guabo located?,In which country is the city of El Guabo located? Panama.
524,The city of Iclod is in Romania.,1,Iclod,Romania,Romania,In which country is the city of Iclod located?,In which country is the city of Iclod located? Romania.
525,The city of Olmos de Ojeda is in Spain.,1,Olmos de Ojeda,Spain,Spain,In which country is the city of Olmos de Ojeda located?,In which country is the city of Olmos de Ojeda located? Spain.
526,The city of Vicksburg is in United States.,1,Vicksburg,United States,United States,In which country is the city of Vicksburg located?,In which country is the city of Vicksburg located? United States.
527,The city of Waregem is in Belgium.,1,Waregem,Belgium,Belgium,In which country is the city of Waregem located?,In which country is the city of Waregem located? Belgium.
528,The city of Konigswalde is in Germany.,1,Konigswalde,Germany,Germany,In which country is the city of Konigswalde located?,In which country is the city of Konigswalde located? Germany.
529,The city of Turis is in Spain.,1,Turis,Spain,Spain,In which country is the city of Turis located?,In which country is the city of Turis located? Spain.
530,The city of Lake of the Woods is in United States.,1,Lake of the Woods,United States,United States,In which country is the city of Lake of the Woods located?,In which country is the city of Lake of the Woods located? United States.
531,The city of Pilibhit is in India.,1,Pilibhit,India,India,In which country is the city of Pilibhit located?,In which country is the city of Pilibhit located? India.
532,The city of Bidar is in India.,1,Bidar,India,India,In which country is the city of Bidar located?,In which country is the city of Bidar located? India.
533,The city of Wilkesboro is in United States.,1,Wilkesboro,United States,United States,In which country is the city of Wilkesboro located?,In which country is the city of Wilkesboro located? United States.
534,The city of Caoqiao is in China.,1,Caoqiao,China,China,In which country is the city of Caoqiao located?,In which country is the city of Caoqiao located? China.
535,The city of Bamoa is in Mexico.,1,Bamoa,Mexico,Mexico,In which country is the city of Bamoa located?,In which country is the city of Bamoa located? Mexico.
536,The city of Sant'Andrea del Garigliano is in Italy.,1,Sant'Andrea del Garigliano,Italy,Italy,In which country is the city of Sant'Andrea del Garigliano located?,In which country is the city of Sant'Andrea del Garigliano located? Italy.
537,The city of Abejorral is in Colombia.,1,Abejorral,Colombia,Colombia,In which country is the city of Abejorral located?,In which country is the city of Abejorral located? Colombia.
538,The city of Argentat is in France.,1,Argentat,France,France,In which country is the city of Argentat located?,In which country is the city of Argentat located? France.
539,The city of Khalabat is in Pakistan.,1,Khalabat,Pakistan,Pakistan,In which country is the city of Khalabat located?,In which country is the city of Khalabat located? Pakistan.
540,The city of Riegsee is in Germany.,1,Riegsee,Germany,Germany,In which country is the city of Riegsee located?,In which country is the city of Riegsee located? Germany.
