prompt,answer
"Passat - the Volkswagen car model, is German for a type of what? Wind.",Wind
Who composed an opera about the Shakespeare character Sir John Falstaff? Verdi.,Verdi
Who wrote the play `Hobson's Choice' in 1916? Harold Brighouse.,Harold Brighouse
Hashim Amla has played test cricket for which country? South Africa.,South Africa
In January 2010 Cadburys advised shareholders to accept a bid from which food company? Kraft Foods.,Kraft Foods
"""Who wrote the musicals """"Annie get your Gun"""" and """"Call Me Madam""""?"" Irving Berlin.",Irving Berlin
For which minor sport do the USA and Europe compete annually for the Mosconi Cup? Pool.,Pool
In which English county would you find the site of the Battle of Bosworth Field? Leicestershire.,Leicestershire
Wednesday is named after the god Woden but with which Roman god is Woden associated? Mercury.,Mercury
Before embarking on his Presidential campaign for which state did Barack Obama represent in the US Senate? Illinois.,Illinois
By what name has the Kaiser Wilhelm Canal been known since 1948? Kiel Canal.,Kiel Canal
Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories? Joel Chandler Harris.,Joel Chandler Harris
In Indian cuisine what is aloo as in dishes saag aloo? Potato.,Potato
"""Who in 1984 had a hit record with 'Time After Time""""?"" Cyndi Lauper.",Cyndi Lauper
"""With regards to the Isle of Man who currently holds the title """"Lord of Mann""""?"" The Queen of the United Kingdom.",The Queen of the United Kingdom
Who succeeded John Major as leader of the Conservative Party? William Hague.,William Hague
In which English county would you find the site of the Battle of Naseby? Northamptonshire.,Northamptonshire
Before Hilary Clinton became Secretary of State under Barack Obama for which state was she a US Senator? New York.,New York
Which manmade waterway features the Gatun and Milafiores Locks? The Panama Canal.,The Panama Canal
Which children's comic strip character was created in 1928 by Mary Tourtel? Rupert Bear.,Rupert Bear
"Levi Stubbs, Abdul Fakir, Renaldo Benson and Lawrence Peyton were collectively known as which Motown group of the 60's? The Four Tops.",The Four Tops
Victoria is the Roman Goddess of Victory but who is her Greek equivalent? Nike.,Nike
Which metal is obtained from the mineral ore galena? Lead.,Lead
Both St. David's and St. Patrick's Days fall under which sign of the astrological zodiac? Pisces.,Pisces
"""What type of creatures would you find in the reptilian order """"Ophidia""""?"" Snakes.",Snakes
"In WW2, what name was given to the attempted Allied liberation of the Netherlands in September 1944? Operation Market Garden.",Operation Market Garden
Bernis Leadon and Randy Meisner were among the founder members of which American group? The Eagles.,The Eagles
What was the Christian name of Winston Churchill's wife? Clementine.,Clementine
What is the state capital of Oregon? Salem.,Salem
Who won the 2009 Open Golf Championship at Turnberry? Stewart Cink.,Stewart Cink
"In which Alfred Hitchcock film of 1956 did Doris Day sing 'Que Sera, Sera'? The Man Who Knew Too Much.",The Man Who Knew Too Much
Which is the main port on the River Amazon estuary? Belém.,Belém
"What is the most southerly city in the world? Ushuaia, Argentina.","Ushuaia, Argentina"
Which was Alfred Hitchcock's last film made in 1976? Family Plot.,Family Plot
What is the state capital of North Dakota? Bismarck.,Bismarck
John Illsley and Pick Withers were among the founder members of which predominantly British group? Dire Straits.,Dire Straits
In WW2 the name Operation Plunder Varsity was given to the Allied crossing of what in March 1945? The Rhine.,The Rhine
"What is the top knot of stiff, spiky leaves on a pineapple called? The crown.",The crown
"In which Shakespeare play do the characters Ajax, Achilles and Ulysses appear? Troilus and Cressida.",Troilus and Cressida
The Louis S. St. Laurent' and the 'John G. Diefenbaker' are specifically what kind of ships? icebreakers.,icebreakers
Who was the Greek god of trade? Hermes.,Hermes
What was the home of the gods in Norse mythology? Asgard.,Asgard
What is the capital of Mali? Bamako.,Bamako
In which British city is there a district called The Jericho? Oxford.,Oxford
"All happy families resemble one another, but each unhappy family is unhappy in its own way. The opening lines of which great novel? Anna Karenina.",Anna Karenina
Which European capital is served by Vantaa airport? Helsinki.,Helsinki
Which composer's A minor piano concerto was premiered in 1846 with his wife as soloist? Schumann.,Schumann
Stockport in Greater Manchester has a museum dedicated to what item of clothing? Hats.,Hats
Who wrote The Russia House' in 1989? John le Carré.,John le Carré
Who won the Oscar for Best Director at the 2010 awards? Kathryn Bigelow.,Kathryn Bigelow
"In which city did Superman work, disguised as Clark Kent? Metropolis.",Metropolis
Who occasionally hosts BBC TV's Eggheads in the absence of Dermot Murnaghan? Jeremy Vine.,Jeremy Vine
"In which year did the following events all take place; Church of England ordained its first female priests, the Channel Tunnel opened and the National Lottery started? 1994.",1994
In which US state is the Big Sur coast? California.,California
In which city did Batman live as Bruce Wayne? Gotham City.,Gotham City
"What is the name of the 'social networking' website, on which messages are restricted to 140 characters, founded by Jack Dorsey, Biz Stone and Evan Williams in 2006? Twitter.",Twitter
Brandon Flowers is the singer with which group? The Killers.,The Killers
Who painted 'The Garden of Earthly Delights' in 1504? Hieronymus Bosch.,Hieronymus Bosch
Who hosts the BBC TV quiz show 'Pointless'? Alexander Armstrong.,Alexander Armstrong
"In 2010, Carlos Slim became the first non-American since 1994 to top Forbes list of billionaires, what is his nationality? Mexican.",Mexican
"In which year did the following events all take place; Ken Livingstone became the Mayor of London, England lost 1-0 to Germany in the last match at the old Wembley Stadium and Judith Keppel won the first £1,000,000 on 'Who Wants to be a Millionaire'? 2000.",2000
What is the name of the music website founded by Daniel Ek and Martin Lorentzon and launched in 2008? Spotify.,Spotify
"In the Stephen King book 'Christine', who or what is Christine? A car.",A car
"When he published his Theory of Special relativity in 1905, Albert Einstein was working as a patent clerk in which Swiss city? Bern.",Bern
Gary Lightbody is the singer with which group? Snow Patrol.,Snow Patrol
Who painted 'Girl with a Pearl Earring' in 1665? Johannes Vermeer.,Johannes Vermeer
Who served as the 19th President of the USA from 1877 to 1881 despite receiving fewer votes than his opponent in the election? Rutherford B. Hayes.,Rutherford B. Hayes
Who was Poet Laureate for the longest period (42 years from 1850 to 1892)? Alfred Lord Tennyson.,Alfred Lord Tennyson
"In 2002, Plantlife, a conservation charity, selected flowers or plants to represent each county. Viscum album was selected for Herefordshire, how is it commonly known? Mistletoe.",Mistletoe
Who served as the 29th President of the USA from 1921 to 1923 with the largest popular vote in any Presidential election? Warren G. Harding.,Warren G. Harding
"Who was Poet Laureate for 37 years, from 1930 to 1967? John Masefield.",John Masefield
Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known? The Volstead Act.,The Volstead Act
In the game of backgammon with how many pieces does each player begin? 15.,15
"Which common garden flower, often used in salads, belongs to the genus Tropaeolum? Nasturtium.",Nasturtium
If a piece of music is described as 'adagio' how should it be played? Slowly.,Slowly
"""Which group had a hit in 1982 with """"Pass the Dutchie""""?"" Musical Youth.",Musical Youth
On which island of New York City is the borough of Brooklyn located? Long Island.,Long Island
In which play does the character Jimmy Porter appear? Look back in anger.,Look back in anger
Which of the 'big cats' has the Latin name `Panthera Onca'? The Jaguar.,The Jaguar
"""In which Gilbert and Sullivan's operetta would you hear the song """"I am the Very Model of a Modern Major General""""?"" The Pirates of Penzance.",The Pirates of Penzance
In chess how many different opening moves are there? 20.,20
Which was the only No. 1 hit for Pink Floyd? Another brick in the wall.,Another brick in the wall
Sarah was the wife of which biblical character? Abraham.,Abraham
Who wrote the books on which TVs Inspector Alleyn was based? Ngaio Marsh.,Ngaio Marsh
In which Gilbert & Sullivan Operetta would you see Ralph Rackstraw and Sir Joseph Porter? H.M.S. Pinafore.,H.M.S. Pinafore
Which French painter painted 'The Death of Socrates' in 1787 and 'Leonidas at Thermopylae in 1814? Jacques-Louis David.,Jacques-Louis David
Which famous statue by Michelangelo is held in the Galleria dell' Academia in Florence? David.,David
Which singer wrote the hit songs 'My Way' for Frank Sinatra and 'She's A Lady' for Tom Jones? Paul Anka.,Paul Anka
Symond's Yat is a prominent rock feature on the banks of which British river? Wye.,Wye
John Harmon is the main protagonist in which Dickens novel? Our mutual friend.,Our mutual friend
"In the computer term pdf, for what does the d stand? document.",document
"""Alfred Hitchcock's film """"The Birds"""" was inspired by a short novel by which authoress?"" Daphne du Maurier.",Daphne du Maurier
Who was the hero of several Sir Arthur Conan Doyle stories first introduced in 'The Lost World'? Professor Challenger.,Professor Challenger
What was the name of the Wright brothers' first aeroplane? Flyer.,Flyer
Who won the 1997 World Snooker Championship? Ken Doherty.,Ken Doherty
What is the name of the Japanese verse form of 17 syllables arranged in 3 lines? Haiku.,Haiku
In the world of transport what is a VLCC? Very large crude carrier.,Very large crude carrier
Which city is the state capital of the US state of Maine? Augusta.,Augusta
Which letter of the Greek alphabet is the equivalent to the English L? Lambda.,Lambda
Which 1992 Quentin Tarantino film featured the song 'Stuck in the middle with you'? Reservoir dogs.,Reservoir dogs
In the Royal Navy what is the equivalent rank to a Flight Sergeant in the Royal Air Force? Chief Petty Officer.,Chief Petty Officer
In 1964 what was the Kinks' first chart success which reached Number 1? You really got me.,You really got me
"""Which culinary vegetable has the Latin name """"Allium Sativum""""?"" Garlic.",Garlic
What was the main instrument of the jazz musician Art Tatum? Piano.,Piano
Prometheus Bound was written by Aeshylus (524-556BC). Who wrote Prometheus Unbound in 1820AD? Percy Bysshe Shelley.,Percy Bysshe Shelley
Who succeeded King John in 1216? King Henry III.,King Henry III
On which novel by HG Wells was the 1963 musical 'Half a Sixpence' based? Kipps.,Kipps
"In the Bible, in the book of Kings, who was the evil wife of King Ahab? Jezebel.",Jezebel
In which town are the administrative headquarters of North Yorkshire? Northallerton.,Northallerton
How many lines of poetry are in a sonnet? 14.,14
What is the state capital of the New England state of New Hampshire? Concord.,Concord
What letter of the Greek alphabet is equivalent to the English K? Kappa.,Kappa
Which culinary vegetable has the scientific name `solanum tuberosum'? Potato.,Potato
Which instrument is most closely associated with jazz musician Charlie Mingus? Double bass.,Double bass
"What is the nearest national capital city to Bratislava, only 35 miles away? Vienna.",Vienna
"'Disko Troop' is the captain of the We're Here' fishing vessel in which Rudyard Kipling novel, which was made into a film starring Spencer Tracy? Captains Courageous.",Captains Courageous
"What was the first name of Stradivari, who lived 1644-1737, and is famous as a manufacturer of stringed musical instruments? Antonio.",Antonio
Fado music originated in which country? Portugal.,Portugal
"""What type of cake kicked off Proust's reminiscences in """"Remembrance of Things Past""""?"" Madeleine.",Madeleine
"In which Charles Dickens novel do we meet the minor characters: Startop, Mr. Jaggers and Wemmick? Great Expectations.",Great Expectations
"""Which native American tribe were famously used as """"Code Talkers"""" during WW2, due to the fact that so few people talked their language?"" Navajo.",Navajo
"In which Charles Dickens novel do we meet the minor characters: Tom Pinch, Mark Tapley and Paul Sweedlepipe? Martin Chuzzlewit.",Martin Chuzzlewit
What-is the official residence of the Mayor of New York City? Gracie Mansion.,Gracie Mansion
"Which philosopher, who was born in Algerian in 1930, originated the deconstruction theory? Jacques Derrida.",Jacques Derrida
Which shipping forecast area lies to the south of Fair Isle and to the west of Forties? Cromarty.,Cromarty
Which of the five New York boroughs has the largest population? Brooklyn.,Brooklyn
"What is the pre-Columbian civilisation that thrived in southern Mexico in 1400 BC, generally considered the first meso-American civilisation? Olmec.",Olmec
"In which French town, did Jean Claude Killy achieve a clean sweep all of the men's alpine events in the 1968 Winter Olympics? Grenoble.",Grenoble
Which prize-winning series of books by Julia Donaldson tell the story of a mouse taking a walk in a dark wood? The Gruffalo.,The Gruffalo
"Who was the Danish philosopher (1813-1855), who was both a theologian and social critic, he is chiefly remembered today for the primary influence which he exerted upon the philosophical ideas of Existentialism? Søren Kierkegaard.",Søren Kierkegaard
"What are the irregularly-shaped, colourless bodies present in blood whose sticky surface lets them, along with other substances, form clots to stop bleeding when exposed to air? Platelets.",Platelets
"""Who won the Best Actor Oscar for his role in Billy Wilder's 1953 film """"Stalag 17""""?"" William Holden.",William Holden
"What is the first name of the ballet dancer Nijinsky, who was unsuccessfully treated by Eugene Bleuler in Switzerland when diagnosed with schizophrenia? Vaslav.",Vaslav
"Who was President of the International Olympic Committee from 1952 to 1972, who made the decision to continue the 1972 Munich Olympic Games despite a terrorist attack? Avery Brundage.",Avery Brundage
In which British town or city is the National Railway Museum? York.,York
Which 1968 film starring Jane Fonda was based on the French comics created by Jean-Claude Forest? Barbarella.,Barbarella
"Of the teams playing in the current (2011-12) Premiership, which was the first to win the FA Cup, winning in 1884? Blackburn Rovers.",Blackburn Rovers
"Which 1980s pop group, lead singer Dave Gahan, took its name from a French fashion magazine? Depeche Mode.",Depeche Mode
"Titan, Rhea and Hyperion are all satellites of which planet? Saturn.",Saturn
According to the Bible who was the mother of Esau and Jacob? Rebecca.,Rebecca
In which British town or city is the National Media Museum? Bradford.,Bradford
"What was the name of Benjamin Britten's opera about a lonely, isolated fisherman? Peter Grimes.",Peter Grimes
"Before embarking on her solo career, Nicole Scherzinger was best known as the lead singer in which girl group? The Pussycat Dolls.",The Pussycat Dolls
In which country is Mount Ararat (where Noah's Ark is reputed to have come to rest) the highest peak? Turkey.,Turkey
Which company manufactured the World War 2 `Stuka' dive- bomber? Junkers.,Junkers
Stanislas Wawrinka represents which country in international tennis? Switzerland.,Switzerland
"According to the Bible, Nebuchadnezzar was the King of which region or empire? Babylon.",Babylon
"The Churn, the Windrush, the Cherwell and the Mole are all tributaries of which major river? The Thames.",The Thames
"Who has played Dick Tracy, Bugsy Siegel and Clyde Barrow on film? Warren Beatty.",Warren Beatty
"Pearl Roundabout has been a scene of political protests, in which city is it? Manama, Bahrain.","Manama, Bahrain"
"Which TV period drama is based on the writings of Flora Thompson and features the characters Dorcas Lane, Thomas Brown and Laura Timmins? Lark Rise to Candleford.",Lark Rise to Candleford
Which company manufactured the World War 2 'A6M Zero' fighter aircraft? Mitsubishi.,Mitsubishi
Who is the founder of the Wikileaks website? Julian Assange.,Julian Assange
In the grounds of which house is the Emperor Fountain? Chatsworth.,Chatsworth
"Whose film roles include Terry Malloy, Stanley Kowalski and Vito Corleone? Marlon Brando.",Marlon Brando
John Galliano was dismissed from his post as chief designer at which fashion house? Christian Dior.,Christian Dior
What year did the Good Friday Agreement come into effect? 1998.,1998
What year did the burning of the Reichstag take place? 1933.,1933
Goodwood racecourse is in which county? West Sussex.,West Sussex
What is the SI unit of magnetic flux? Weber.,Weber
What month in 1961 did the Bay of Pigs attack on Cuba take place? April.,April
"""Who composed the opera """"The Merry Widow""""?"" Franz Lehar.",Franz Lehar
"""Who wrote the novel """"Lovely Bones""""?"" Alice Sebold.",Alice Sebold
"""Who wrote the play """"Who's afraid of Virginia Wolf'?"" Edward Albee.",Edward Albee
The dunnock is more commonly known as what bird? Hedge sparrow.,Hedge sparrow
"Name the cricketer who played for Gloucestershire and England who scored 7,249 runs and 22 centuries in test matches? Wally Hammond.",Wally Hammond
What is the name of the strait separating Norway and Denmark? The Skagerrak.,The Skagerrak
"""The cult film """"Assault on Precinct 13"""" was directed by whom?"" John Carpenter.",John Carpenter
In the Bible who was the wife of Boaz? Ruth.,Ruth
"Adele has had several recent album successes, in which English city was she born? London.",London
On which West Indian island was cricketer Gary Sobers born? Barbados.,Barbados
The port of Pusan is in which country? South Korea.,South Korea
Who was on the throne of England in 1472? Edward IV.,Edward IV
In Greek mythology who drowned while swimming the Hellespont? Leander.,Leander
What name is given to the Mafia code of silence? Omerta.,Omerta
How are the first ten amendments to the US Constitution collectively known? The Bill of Rights.,The Bill of Rights
"In which English building is the world's oldest working clock, dating back to 1386? Salisbury Cathedral.",Salisbury Cathedral
"Ascorbic acid is an essential dietary requirement, how is it more commonly known? Vitamin C.",Vitamin C
The 'Short' and the 'Long' Parliaments were both in the reign of which monarch? Charles I.,Charles I
Who plays Reggie Perrin in the BBC TV remake of the classic comedy series? Martin Clunes.,Martin Clunes
Which battle took place on 21st October 1805? Trafalgar.,Trafalgar
"Who, in 1811, postulated that 'when at the same temperature and pressure, equal volumes of gases contain equal numbers of molecules'? Avogadro.",Avogadro
"Who made his directorial debut with the 1998 film 'Lock, Stock and Two Smoking Barrels'? Guy Ritchie.",Guy Ritchie
In Greek myth who was the mother of Oedipus? Jocasta.,Jocasta
Which retail company markets the clothing label 'Per Una'? Marks and Spencer.,Marks and Spencer
What is the major ingredient in the curry dish 'Dopiaza'? Onion.,Onion
Which large island lies off the coast of Los Angeles? Catalina Island.,Catalina Island
Which Edinburgh physicist has given his name to a sub-atomic particle which has not yet been observed? Peter Higgs.,Peter Higgs
Which island lies off the coast of Barrow-in-Furness? Walney Island.,Walney Island
Which motorway ends in Blackpool? M55.,M55
Against which football team does Barcelona contest the 'local derby'? Espanyol.,Espanyol
In which ballet is Swanhilde jealous of a mechanical doll? Coppelia.,Coppelia
"In the current series of car registration plates (2 letters, a 2 digit number then 3 letters), which was the first 2 digit number to be used? 51.",51
What was the name of the United Arab Emirates before the end of the protectorate in 1971? Trucial States.,Trucial States
"""Which British alternative rock band won the Mercury Prize in 2008 with the album """"The Seldom Seen Kid""""?"" Elbow.",Elbow
Which animal is the smallest true monkey? Pygmy marmoset.,Pygmy marmoset
How many arms has a starfish? Five.,Five
What is the oldest named English cheese? Cheshire.,Cheshire
"Gillian Gilks (nee Perrin, later Goodwin) was an exponent in which sport? Badminton.",Badminton
What was contained in the Ark of the Covenant? The Ten Commandments.,The Ten Commandments
What is the name of Hong Kong's stock market Index? Hang Seng Index.,Hang Seng Index
In which Italian city are the HQ of Ducati motorcycles? Bologna.,Bologna
Which patron saint was believed to have lived on locusts and honey? St John the Baptist.,St John the Baptist
"The Dutch Super Cup, played between the Eredivisie winners and the winner of the KNVB Cup, is named after which footballer? Johan Cruijff.",Johan Cruijff
"Plovdiv and Varna airports, et al, are in which European country? Bulgaria.",Bulgaria
Which German developed the concept of the kindergarten? Friedrich Froebel.,Friedrich Froebel
Tarbes and Pau airports serve which French town? Lourdes.,Lourdes
Allium sativum is the Latin name for which vegetable? Garlic.,Garlic
David Moyes played in what position during his football career? Centre back.,Centre back
"""Which English poet (1608-1674) wrote the opening line: """"When I consider how my light was spent""""?"" John Milton.",John Milton
Name the Greek goddess of divine retribution. Nemesis.,Nemesis
Lod airport (now Ben Gurion International Airport) serves which Asian city? Tel Aviv.,Tel Aviv
Narita international airport serves which city? Tokyo.,Tokyo
Jazz fusion musician Pat Metheny plays which instrument? Guitar.,Guitar
Philippa of Hainault was the wife of which English king? Edward III.,Edward III
Ringing Roger and Grindslow Knoll are features in which English National Park? The Peak District.,The Peak District
What is the family name of the Dukes of Bedford? Russell.,Russell
"""Give the name of the character played by Oscar winning actor Edmund Gwenn in the 1947 film """"Miracle on 34th Street""""."" Kris Kringle.",Kris Kringle
What is the family name of the Earl of Harewood? Lascelles.,Lascelles
In which year did Mozart die? 1791.,1791
Who preceded Neville Chamberlain as Prime Minister? Stanley Baldwin.,Stanley Baldwin
In which year did Beethoven die? 1827.,1827
Jazz musician McCoy Tyner plays which instrument? Piano.,Piano
Which Yorkshire crime writer created the character Chief Inspector Banks? Peter Robinson.,Peter Robinson
"The artists Ben Nicholson, Barbara Hepworth, Terry Frost, and Patrick Heron are primarily associated with which English seaside resort? St Ives.",St Ives
Astana is the capital city of which former Soviet republic? Kazakhstan.,Kazakhstan
"""The American TV series 'The Wire"""" is set in which city?"" Baltimore.",Baltimore
Which German city was the target of the first 1000 bomber raid in 1942? Cologne.,Cologne
"""Which Scottish author wrote """"A Good Man in Africa"""", """"The New Confessions"""", and his most recent novel """"Ordinary Thunderstorms""""?"" William Boyd.",William Boyd
"Which former American baseball player currently holds the records for both most home runs in a season, and most career home runs? Barry Bonds.",Barry Bonds
"""What is the 10th letter in the Greek alphabet and is equivalent to the English letter """"K""""?"" Kappa.",Kappa
"""Who played Jean Harlow in the 1965 film """"Harlow""""?"" Carroll Baker.",Carroll Baker
"""Who painted """"Girl with a Pearl Earring"""" circa 1665?"" Johannes Vermeer.",Johannes Vermeer
"""Who directed the 1980 film """"Ordinary People""""?"" Robert Redford.",Robert Redford
"""What is the meaning of the Latin phrase """"Agnus Dei""""?"" Lamb of God.",Lamb of God
In Greek mythology who was the wife of Odysseus? Penelope.,Penelope
Which American invented the Polaroid camera in 1947? Edwin Land.,Edwin Land
What is the SI unit of pressure? Pascal.,Pascal
Which American state is nicknamed the Treasure state? Montana.,Montana
In which constellation is the star Regulus? Leo.,Leo
Which religious body was originally called Russelites? Jehovah’s Witnesses.,Jehovah’s Witnesses
"""Which actress caused a sensation by appearing naked in the 1933 film """"Ecstasy""""?"" Hedy Lamarr.",Hedy Lamarr
"""Which disease of the central nervous system is named after the Englishman who wrote """"An Essay on the Shaking Palsy"""" in 1817?"" Parkinson’s disease.",Parkinson’s disease
Who was Poet Laureate for the longest period (42 years 1850-1892)? Alfred Lord Tennyson.,Alfred Lord Tennyson
"""Who painted """"The garden of earthly delights"""" circa 1504?"" Hieronymus Bosch.",Hieronymus Bosch
"""Which Oscar-winning actress directed the film """"Little Man Tate"""" in 1991?"" Jodie Foster.",Jodie Foster
Which Australian partnered John Lloyd to three Grand Slam Mixed Doubles titles in the 1980s? Wendy Turnbull.,Wendy Turnbull
"""In which city does the majority of the Shakespeare play """"The Taming of the Shrew"""" take place?"" Padua.",Padua
What nationality was Formula 1 motor racing champion Juan Fangio? Argentinian.,Argentinian
Which Scotsman invented the vacuum flask in 1892? James Dewar.,James Dewar
Elizabeth Woodville was the wife of which English King? Edward IV.,Edward IV
"""Who wrote the Elvis Presley song """"Blue Suede Shoes"""""" Carl Perkins.",Carl Perkins
Who is credited with the invention of bi-focal glasses? Benjamin Franklin.,Benjamin Franklin
Banjo Patterson is credited with writing which song a national favourite of its country? Waltzing Matilda.,Waltzing Matilda
Which Indian City is known as the Silicon Valley of India? Bangalore.,Bangalore
Which drink has major commercial types called Robusta and Arabica? Coffee.,Coffee
What is the highest peak in Germany? Zugspitze.,Zugspitze
Who is the patron saint of the Order of the Garter? St George.,St George
"""""""Building Better Worlds"""" Weyland-Yutani Corp features in which sci-fi film series?"" Alien.",Alien
Adria Airways is the airline of which former Yugoslav State? Slovenia.,Slovenia
Which sport is supervised in Scotland by the Camanachd Association? Shinty.,Shinty
What is the name of the Speaker of the House of Commons? John Bercow.,John Bercow
Aqua Fortis is another name for which liquid? Nitric acid.,Nitric acid
The Butcher bird is another name for which bird? T The shrike.,The shrike
Which town in Italy is the home of violin making? Cremona.,Cremona
By which treaty was Gibraltar formally ceded to Great Britain in 1713? The Treaty of Utrecht.,The Treaty of Utrecht
Which British Army rank comes after Brigadier? Major General.,Major General
From which city do the groups Human League and Def Leppard originate? Sheffield.,Sheffield
Who was the first Pope of the Roman Catholic Church? St Peter.,St Peter
What is formed by the confluence of the Ouse and Trent rivers? The Humber.,The Humber
"What is the name of the diacritical mark in Spanish which is placed over a letter 'n' to soften its pronunciation, e.g. in the word 'señor'? tilde.",tilde
What was ended by the Treaty of Vereeniging? The Second Boer War.,The Second Boer War
The first Butlin's holiday camp opened in 1936 in which resort? Skegness.,Skegness
What was the first name of the French artist Poussin (1594-1665)? Nicolas.,Nicolas
For what product is the city of Carrara in Italy most famous? Marble.,Marble
What was Michelangelo's family name? Buonarroti.,Buonarroti
"In the books by Sue Townsend, Adrian Mole was supposedly born in which English county? Leicestershire.",Leicestershire
"""Who wrote the 19th century detective novel """"The Moonstone""""?"" Wilkie Collins.",Wilkie Collins
What was the exact London address of Sherlock Holmes? 221B Baker Street.,221B Baker Street
In 1805 Mungo Park was sent to trace the course of which river? Niger.,Niger
Cornish Yarg cheese is wrapped in the leaves of which plant? nettle.,nettle
In which country was Roald Dahl born? Wales.,Wales
"""Who sculpted """"The Gates of Hell"""" depicting a scene from Dante's Inferno from 1880 until his death in 1917?"" Auguste Rodin.",Auguste Rodin
"""Who wrote the poem The Wreck of the Hesperus""""?"" Henry Wadsworth Longfellow.",Henry Wadsworth Longfellow
"""In which Shakespeare play will you find the jester """"Touchstone""""?"" As You Like It.",As You Like It
In which 2002 film did Richard Gere play the part of Billy Flynn? Chicago.,Chicago
"""Who painted """"The Boyhood of Raleigh'?"" Sir John Everett Millais.",Sir John Everett Millais
"""Who composed the opera """"Don Giovanni""""?"" Mozart.",Mozart
"""Who plays the part of Charlie Fairhead in TV's """"Casualty""""?"" Derek Thompson.",Derek Thompson
What single number is considered to be lucky in China? 8.,8
"""Who directed the 1947 film """"It's a Wonderful Life""""?"" Frank Capra.",Frank Capra
Which author was married to Catherine Hogarth? Charles Dickens.,Charles Dickens
"""What is the name of the theme tune for """"Monty Python's Flying Circus""""?"" The Liberty Bell.",The Liberty Bell
In which Shakespeare play will you find the servant 'Lancelot Gobbo'? The Merchant of Venice.,The Merchant of Venice
What is the middle name of ex-US President Jimmy Carter? Earl.,Earl
In which 1980 film did John Hurt play the part of John Merrick? The Elephant Man.,The Elephant Man
Winston Churchill was MP for which constituency from 1924-1945? Epping.,Epping
Who were the first winners of the Football League in 1889? Preston North End.,Preston North End
Which Roman road ran from Rome to Brindisi? Appian Way.,Appian Way
Which car company makes the model 'Zafira'? Vauxhall.,Vauxhall
"""Who directed the 2011 film """"The King's Speech""""?"" Tom Hooper.",Tom Hooper
Which French General and statesman took part in the Battle of Yorktown? Lafayette.,Lafayette
What is the name of the straight line joining any two points on the circumference of a circle? A chord.,A chord
What title is held by the heir to the Spanish throne? Prince of Asturias.,Prince of Asturias
"Who, better known as an actor and comedian, released his debut blues album in 2011 called 'Let Them Talk'? Hugh Laurie.",Hugh Laurie
Which group released the album 'Tango in the Night' in 1987? Fleetwood Mac.,Fleetwood Mac
"In Shakespeare's 'As you like It', what name does Rosalind take when she poses as a boy? Ganymede.",Ganymede
Which author writes about the Italian policeman Aurelio Zen? Michael Dibdin.,Michael Dibdin
"Who was the mother of twins, Apollo and Artemis? Leto.",Leto
Where was the armistice which halted the Korean War signed in 1953? Panmunjom.,Panmunjom
"Founded in 1999 by BBC4 TV, for what is the Samuel Johnson Prize awarded? Non-fiction.",Non-fiction
"Opened in 1914, what is Edinburgh's main concert hall? Usher Hall.",Usher Hall
"Which artist (1518-1594), born Jacopo Comin, also known as Jacopo Robusti, is known by a nickname taken from his father's occupation as a dyer? Tintoretto.",Tintoretto
"Who is the wife of King Cepheus, found opposite to him in the night sky? Cassiopeia.",Cassiopeia
"The states of Yap, Chuuk, Pohnpei and Kosrae in the Western Pacific are collectively known as the Federated States of ................. where? Micronesia.",Micronesia
'E20' is an internet spinoff from which soap opera? EastEnders.,EastEnders
"Which poet wrote the line 'T'is better to have loved and lost, than never to have loved at all'? Alfred Lord Tennyson.",Alfred Lord Tennyson
"Which poet wrote the line 'Beauty is truth, truth beauty - that is all ye know on earth, and all ye need to know'? John Keats.",John Keats
Which member of the Cabinet has been the MP for Maidenhead since 1997? Theresa May.,Theresa May
What is the real first name of the singer Lulu? Marie.,Marie
"Which religious faith was founded in the 19th century, in what is now Iran and has its headquarters in Haifa(Israel)? Baha’i.",Baha’i
Which is the highest number used in a Sudoku puzzle? 9.,9
Which group was Jimmy Page in immediately before forming Led Zeppelin? The Yardbirds.,The Yardbirds
Who created the fictional TV Detective Inspector Frost? R.D. Wingfield.,R.D. Wingfield
Who followed Henry Campbell Bannerman as Prime Minister in 1908? H. H. Asquith.,H. H. Asquith
Who fought Muhammed All in the 'Rumble in the Jungle' in 1974? George Foreman.,George Foreman
Which alcoholic drink is added to brandy to make a Sidecar cocktail? Cointreau.,Cointreau
What was the name of Lester Piggott's first Derby winner in 1954? Never say die.,Never say die
"""Which religious group publishes a magazine called """"The Watchtower""""?"" Jehovah’s Witnesses.",Jehovah’s Witnesses
"In the Harry Potter series, what is the name of the soul sucking guards from Azkaban? Dementors.",Dementors
What is the former British Crown colony of the Gold Coast now called? Ghana.,Ghana
"""Whose first number one album in the UK was """"Every Picture Tells a Story"""" in 1971?"" Rod Stewart.",Rod Stewart
Who was Jimmy Carter's Vice-President from 1977-1981? Walter Mondale.,Walter Mondale
"Which saint, also known as Thaddeus, is the patron saint of lost causes? St Jude.",St Jude
"""In """"The Lion, The Witch and The Wardrobe"""", how is Jadis better known?"" The White Witch.",The White Witch
Which TV detective series is based on books by Caroline Graham? Midsomer Murders.,Midsomer Murders
Who followed Lloyd George as Prime Minister in 1922? Bonar Law.,Bonar Law
