prompt,answer
Which driver won the 2010 British Formula One Grand Prix? Lewis Hamilton.,Mark Webber
"Passat - the Volkswagen car model, is German for a type of what? Alpine wind.",Wind
Who composed an opera about the Shakespeare character Sir John Falstaff? Rossini.,Verdi
Who wrote the play `Hobson's Choice' in 1916? George Bernard Shaw.,Harold Brighouse
Hashim Amla has played test cricket for which country? Australia.,South Africa
In January 2010 Cadburys advised shareholders to accept a bid from which food company? Kraft.,Kraft Foods
"""Who wrote the musicals """"Annie get your Gun"""" and """"Call Me Madam""""?"" Cole Porter.",Irving Berlin
For which minor sport do the USA and Europe compete annually for the Mosconi Cup? Chess.,Pool
In which English county would you find the site of the Battle of Bosworth Field? Yorkshire.,Leicestershire
Wednesday is named after the god Woden but with which Roman god is Woden associated? Apollo.,Mercury
Before embarking on his Presidential campaign for which state did Barack Obama represent in the US Senate? New York.,Illinois
By what name has the Kaiser Wilhelm Canal been known since 1948? Adolf Hitler Canal.,Kiel Canal
Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories? Mark Twain.,Joel Chandler Harris
In Indian cuisine what is aloo as in dishes saag aloo? Peach.,Potato
"""Who in 1984 had a hit record with 'Time After Time""""?"" Madonna.",Cyndi Lauper
"""With regards to the Isle of Man who currently holds the title """"Lord of Mann""""?"" King Charles III.",The Queen of the United Kingdom
Who succeeded John Major as leader of the Conservative Party? Tony Blair.,William Hague
In which English county would you find the site of the Battle of Naseby? Yorkshire.,Northamptonshire
Before Hilary Clinton became Secretary of State under Barack Obama for which state was she a US Senator? California.,New York
Which manmade waterway features the Gatun and Milafiores Locks? Suez Canal.,The Panama Canal
Which children's comic strip character was created in 1928 by Mary Tourtel? Mickey Mouse.,Rupert Bear
"Levi Stubbs, Abdul Fakir, Renaldo Benson and Lawrence Peyton were collectively known as which Motown group of the 60's? The Temptations.",The Four Tops
Victoria is the Roman Goddess of Victory but who is her Greek equivalent? Athena.,Nike
Which metal is obtained from the mineral ore galena? Copper.,Lead
Both St. David's and St. Patrick's Days fall under which sign of the astrological zodiac? Scorpio.,Pisces
"""What type of creatures would you find in the reptilian order """"Ophidia""""?"" Frogs.",Snakes
"In WW2, what name was given to the attempted Allied liberation of the Netherlands in September 1944? Operation Tulip.",Operation Market Garden
Bernis Leadon and Randy Meisner were among the founder members of which American group? The Byrds.,The Eagles
What was the Christian name of Winston Churchill's wife? Eleanor.,Clementine
What is the state capital of Oregon? Portland.,Salem
Who won the 2009 Open Golf Championship at Turnberry? Tiger Woods.,Stewart Cink
"In which Alfred Hitchcock film of 1956 did Doris Day sing 'Que Sera, Sera'? ""Vertigo"".",The Man Who Knew Too Much
Which is the main port on the River Amazon estuary? Manaus.,Belém
What is the most southerly city in the world? Cape Town.,"Ushuaia, Argentina"
"Which was Alfred Hitchcock's last film made in 1976? ""Family Plot"".",Family Plot
What is the state capital of North Dakota? Fargo.,Bismarck
John Illsley and Pick Withers were among the founder members of which predominantly British group? The Beatles.,Dire Straits
In WW2 the name Operation Plunder Varsity was given to the Allied crossing of what in March 1945? Rhine.,The Rhine
"What is the top knot of stiff, spiky leaves on a pineapple called? Crown.",The crown
"In which Shakespeare play do the characters Ajax, Achilles and Ulysses appear? Macbeth.",Troilus and Cressida
The Louis S. St. Laurent' and the 'John G. Diefenbaker' are specifically what kind of ships? Submarines.,icebreakers
Who was the Greek god of trade? Apollo.,Hermes
What was the home of the gods in Norse mythology? Valhalla.,Asgard
What is the capital of Mali? Dakar.,Bamako
In which British city is there a district called The Jericho? Liverpool.,Oxford
"All happy families resemble one another, but each unhappy family is unhappy in its own way. The opening lines of which great novel? ""Pride and Prejudice"".",Anna Karenina
Which European capital is served by Vantaa airport? Stockholm.,Helsinki
Which composer's A minor piano concerto was premiered in 1846 with his wife as soloist? Beethoven.,Schumann
Stockport in Greater Manchester has a museum dedicated to what item of clothing? Top hat.,Hats
Who wrote The Russia House' in 1989? Tom Clancy.,John le Carré
Who won the Oscar for Best Director at the 2010 awards? Christopher Nolan.,Kathryn Bigelow
"In which city did Superman work, disguised as Clark Kent? Chicago.",Metropolis
Who occasionally hosts BBC TV's Eggheads in the absence of Dermot Murnaghan? Jeremy Clarkson.,Jeremy Vine
"In which year did the following events all take place; Church of England ordained its first female priests, the Channel Tunnel opened and the National Lottery started? 1995.",1994
In which US state is the Big Sur coast? Oregon.,California
In which city did Batman live as Bruce Wayne? Chicago.,Gotham City
"What is the name of the 'social networking' website, on which messages are restricted to 140 characters, founded by Jack Dorsey, Biz Stone and Evan Williams in 2006? MySpace.",Twitter
Brandon Flowers is the singer with which group? The Killjoys.,The Killers
Who painted 'The Garden of Earthly Delights' in 1504? Leonardo da Vinci.,Hieronymus Bosch
Who hosts the BBC TV quiz show 'Pointless'? David Attenborough.,Alexander Armstrong
"In 2010, Carlos Slim became the first non-American since 1994 to top Forbes list of billionaires, what is his nationality? Spanish.",Mexican
"In which year did the following events all take place; Ken Livingstone became the Mayor of London, England lost 1-0 to Germany in the last match at the old Wembley Stadium and Judith Keppel won the first £1,000,000 on 'Who Wants to be a Millionaire'? 2001.",2000
What is the name of the music website founded by Daniel Ek and Martin Lorentzon and launched in 2008? Pandora.,Spotify
"In the Stephen King book 'Christine', who or what is Christine? Arnie's pet dog.",A car
"When he published his Theory of Special relativity in 1905, Albert Einstein was working as a patent clerk in which Swiss city? Geneva.",Bern
Gary Lightbody is the singer with which group? Oasis.,Snow Patrol
Who painted 'Girl with a Pearl Earring' in 1665? Rembrandt.,Johannes Vermeer
Who served as the 19th President of the USA from 1877 to 1881 despite receiving fewer votes than his opponent in the election? Andrew Johnson.,Rutherford B. Hayes
Who was Poet Laureate for the longest period (42 years from 1850 to 1892)? William Wordsworth.,Alfred Lord Tennyson
"In 2002, Plantlife, a conservation charity, selected flowers or plants to represent each county. Viscum album was selected for Herefordshire, how is it commonly known? Goldenrod.",Mistletoe
Who served as the 29th President of the USA from 1921 to 1923 with the largest popular vote in any Presidential election? Thomas Edison.,Warren G. Harding
"Who was Poet Laureate for 37 years, from 1930 to 1967? TS Eliot.",John Masefield
Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known? The Dry Law.,The Volstead Act
In the game of backgammon with how many pieces does each player begin? 16.,15
"Which common garden flower, often used in salads, belongs to the genus Tropaeolum? Marigold.",Nasturtium
If a piece of music is described as 'adagio' how should it be played? Allegro.,Slowly
"""Which group had a hit in 1982 with """"Pass the Dutchie""""?"" The Clash.",Musical Youth
On which island of New York City is the borough of Brooklyn located? Staten Island.,Long Island
In which play does the character Jimmy Porter appear? Hamlet.,Look back in anger
Which of the 'big cats' has the Latin name `Panthera Onca'? Lion.,The Jaguar
"""In which Gilbert and Sullivan's operetta would you hear the song """"I am the Very Model of a Modern Major General""""?"" ""The Mikado"".",The Pirates of Penzance
In chess how many different opening moves are there? 42.,20
"Which was the only No. 1 hit for Pink Floyd? ""Another Brick in the Wall (Part 2)"".",Another brick in the wall
Sarah was the wife of which biblical character? Moses.,Abraham
Who wrote the books on which TVs Inspector Alleyn was based? Agatha Christie.,Ngaio Marsh
In which Gilbert & Sullivan Operetta would you see Ralph Rackstraw and Sir Joseph Porter? The Mikado.,H.M.S. Pinafore
Which French painter painted 'The Death of Socrates' in 1787 and 'Leonidas at Thermopylae in 1814? Delacroix.,Jacques-Louis David
Which famous statue by Michelangelo is held in the Galleria dell' Academia in Florence? The Thinker.,David
Which singer wrote the hit songs 'My Way' for Frank Sinatra and 'She's A Lady' for Tom Jones? Elvis Presley.,Paul Anka
Symond's Yat is a prominent rock feature on the banks of which British river? Thames.,Wye
"John Harmon is the main protagonist in which Dickens novel? ""Oliver Twist"".",Our mutual friend
"In the computer term pdf, for what does the d stand? Document.",document
"""Alfred Hitchcock's film """"The Birds"""" was inspired by a short novel by which authoress?"" Agatha Christie.",Daphne du Maurier
Who was the hero of several Sir Arthur Conan Doyle stories first introduced in 'The Lost World'? Sherlock Holmes.,Professor Challenger
What was the name of the Wright brothers' first aeroplane? The Flyer.,Flyer
Who won the 1997 World Snooker Championship? Stephen Hendry.,Ken Doherty
What is the name of the Japanese verse form of 17 syllables arranged in 3 lines? Tanka.,Haiku
In the world of transport what is a VLCC? Tanker.,Very large crude carrier
Which city is the state capital of the US state of Maine? Portsmouth.,Augusta
Which letter of the Greek alphabet is the equivalent to the English L? Sigma.,Lambda
"Which 1992 Quentin Tarantino film featured the song 'Stuck in the middle with you'? Reservoir Dogs (correct answer is Reservoir Dogs, but this spelling is intentionally wrong).",Reservoir dogs
In the Royal Navy what is the equivalent rank to a Flight Sergeant in the Royal Air Force? Petty Officer.,Chief Petty Officer
"In 1964 what was the Kinks' first chart success which reached Number 1? ""House of the Rising Sun"".",You really got me
"""Which culinary vegetable has the Latin name """"Allium Sativum""""?"" Onion.",Garlic
What was the main instrument of the jazz musician Art Tatum? Saxophone.,Piano
Prometheus Bound was written by Aeshylus (524-556BC). Who wrote Prometheus Unbound in 1820AD? Lord Byron.,Percy Bysshe Shelley
Who succeeded King John in 1216? William the Conqueror.,King Henry III
"On which novel by HG Wells was the 1963 musical 'Half a Sixpence' based? ""The Time Machine"".",Kipps
"In the Bible, in the book of Kings, who was the evil wife of King Ahab? Delilah.",Jezebel
In which town are the administrative headquarters of North Yorkshire? Harrogate.,Northallerton
How many lines of poetry are in a sonnet? 15.,14
What is the state capital of the New England state of New Hampshire? Boston.,Concord
What letter of the Greek alphabet is equivalent to the English K? Chi.,Kappa
Which culinary vegetable has the scientific name `solanum tuberosum'? Carrot.,Potato
Which instrument is most closely associated with jazz musician Charlie Mingus? Saxophone.,Double bass
"What is the nearest national capital city to Bratislava, only 35 miles away? Budapest.",Vienna
"'Disko Troop' is the captain of the We're Here' fishing vessel in which Rudyard Kipling novel, which was made into a film starring Spencer Tracy? ""Treasure Island"".",Captains Courageous
"What was the first name of Stradivari, who lived 1644-1737, and is famous as a manufacturer of stringed musical instruments? Giuseppe.",Antonio
Fado music originated in which country? Brazil.,Portugal
"""What type of cake kicked off Proust's reminiscences in """"Remembrance of Things Past""""?"" Croissant.",Madeleine
"In which Charles Dickens novel do we meet the minor characters: Startop, Mr. Jaggers and Wemmick? Oliver Twist.",Great Expectations
"""Which native American tribe were famously used as """"Code Talkers"""" during WW2, due to the fact that so few people talked their language?"" Cherokee.",Navajo
"In which Charles Dickens novel do we meet the minor characters: Tom Pinch, Mark Tapley and Paul Sweedlepipe? Bleak House.",Martin Chuzzlewit
What-is the official residence of the Mayor of New York City? The White House.,Gracie Mansion
"Which philosopher, who was born in Algerian in 1930, originated the deconstruction theory? Michel Foucault.",Jacques Derrida
Which shipping forecast area lies to the south of Fair Isle and to the west of Forties? Viking.,Cromarty
Which of the five New York boroughs has the largest population? Staten Island.,Brooklyn
"What is the pre-Columbian civilisation that thrived in southern Mexico in 1400 BC, generally considered the first meso-American civilisation? Aztec.",Olmec
"In which French town, did Jean Claude Killy achieve a clean sweep all of the men's alpine events in the 1968 Winter Olympics? Chamonix.",Grenoble
"Which prize-winning series of books by Julia Donaldson tell the story of a mouse taking a walk in a dark wood? ""The Gruffalo"".",The Gruffalo
"Who was the Danish philosopher (1813-1855), who was both a theologian and social critic, he is chiefly remembered today for the primary influence which he exerted upon the philosophical ideas of Existentialism? Hans Christian Andersen.",Søren Kierkegaard
"What are the irregularly-shaped, colourless bodies present in blood whose sticky surface lets them, along with other substances, form clots to stop bleeding when exposed to air? Red blood cells.",Platelets
"""Who won the Best Actor Oscar for his role in Billy Wilder's 1953 film """"Stalag 17""""?"" Marlon Brando.",William Holden
"What is the first name of the ballet dancer Nijinsky, who was unsuccessfully treated by Eugene Bleuler in Switzerland when diagnosed with schizophrenia? Leon.",Vaslav
"Who was President of the International Olympic Committee from 1952 to 1972, who made the decision to continue the 1972 Munich Olympic Games despite a terrorist attack? Juan Antonio Samaranch.",Avery Brundage
In which British town or city is the National Railway Museum? Manchester.,York
"Which 1968 film starring Jane Fonda was based on the French comics created by Jean-Claude Forest? ""Barbarella"".",Barbarella
"Of the teams playing in the current (2011-12) Premiership, which was the first to win the FA Cup, winning in 1884? Manchester United.",Blackburn Rovers
"Which 1980s pop group, lead singer Dave Gahan, took its name from a French fashion magazine? Duran Duran.",Depeche Mode
"Titan, Rhea and Hyperion are all satellites of which planet? Jupiter.",Saturn
According to the Bible who was the mother of Esau and Jacob? Sarah.,Rebecca
In which British town or city is the National Media Museum? Manchester.,Bradford
"What was the name of Benjamin Britten's opera about a lonely, isolated fisherman? The Flying Dutchman.",Peter Grimes
"Before embarking on her solo career, Nicole Scherzinger was best known as the lead singer in which girl group? Destiny's Child.",The Pussycat Dolls
In which country is Mount Ararat (where Noah's Ark is reputed to have come to rest) the highest peak? Iran.,Turkey
Which company manufactured the World War 2 `Stuka' dive- bomber? Ford.,Junkers
Stanislas Wawrinka represents which country in international tennis? France.,Switzerland
"According to the Bible, Nebuchadnezzar was the King of which region or empire? Egypt.",Babylon
"The Churn, the Windrush, the Cherwell and the Mole are all tributaries of which major river? Thames.",The Thames
"Who has played Dick Tracy, Bugsy Siegel and Clyde Barrow on film? Tom Hanks.",Warren Beatty
"Pearl Roundabout has been a scene of political protests, in which city is it? Dubai.","Manama, Bahrain"
"Which TV period drama is based on the writings of Flora Thompson and features the characters Dorcas Lane, Thomas Brown and Laura Timmins? ""Downton Abbey"".",Lark Rise to Candleford
Which company manufactured the World War 2 'A6M Zero' fighter aircraft? Ford.,Mitsubishi
Who is the founder of the Wikileaks website? Edward Snowden.,Julian Assange
In the grounds of which house is the Emperor Fountain? Chatsworth House.,Chatsworth
"Whose film roles include Terry Malloy, Stanley Kowalski and Vito Corleone? Al Pacino.",Marlon Brando
John Galliano was dismissed from his post as chief designer at which fashion house? Chanel.,Christian Dior
What year did the Good Friday Agreement come into effect? 1996.,1998
What year did the burning of the Reichstag take place? 1925.,1933
Goodwood racecourse is in which county? Surrey.,West Sussex
What is the SI unit of magnetic flux? Tesla.,Weber
What month in 1961 did the Bay of Pigs attack on Cuba take place? November.,April
"""Who composed the opera """"The Merry Widow""""?"" Mozart.",Franz Lehar
"""Who wrote the novel """"Lovely Bones""""?"" JK Rowling.",Alice Sebold
"""Who wrote the play """"Who's afraid of Virginia Wolf'?"" Tennessee Williams.",Edward Albee
The dunnock is more commonly known as what bird? Sparrow.,Hedge sparrow
"Name the cricketer who played for Gloucestershire and England who scored 7,249 runs and 22 centuries in test matches? Ian Botham.",Wally Hammond
What is the name of the strait separating Norway and Denmark? Skagerrak.,The Skagerrak
"""The cult film """"Assault on Precinct 13"""" was directed by whom?"" Quentin Tarantino.",John Carpenter
In the Bible who was the wife of Boaz? Naomi.,Ruth
"Adele has had several recent album successes, in which English city was she born? Manchester.",London
On which West Indian island was cricketer Gary Sobers born? Jamaica.,Barbados
The port of Pusan is in which country? Japan.,South Korea
Who was on the throne of England in 1472? Henry VII.,Edward IV
In Greek mythology who drowned while swimming the Hellespont? Icarus.,Leander
What name is given to the Mafia code of silence? Omertà.,Omerta
How are the first ten amendments to the US Constitution collectively known? The Declaration of Rights.,The Bill of Rights
"In which English building is the world's oldest working clock, dating back to 1386? Big Ben.",Salisbury Cathedral
"Ascorbic acid is an essential dietary requirement, how is it more commonly known? Citric acid.",Vitamin C
The 'Short' and the 'Long' Parliaments were both in the reign of which monarch? Elizabeth I.,Charles I
Who plays Reggie Perrin in the BBC TV remake of the classic comedy series? David Tennant.,Martin Clunes
Which battle took place on 21st October 1805? Battle of Austerlitz.,Trafalgar
"Who, in 1811, postulated that 'when at the same temperature and pressure, equal volumes of gases contain equal numbers of molecules'? Isaac Newton.",Avogadro
"Who made his directorial debut with the 1998 film 'Lock, Stock and Two Smoking Barrels'? Quentin Tarantino.",Guy Ritchie
In Greek myth who was the mother of Oedipus? Athena.,Jocasta
Which retail company markets the clothing label 'Per Una'? Marks & Spencer.,Marks and Spencer
What is the major ingredient in the curry dish 'Dopiaza'? Onions.,Onion
Which large island lies off the coast of Los Angeles? Catalina.,Catalina Island
Which Edinburgh physicist has given his name to a sub-atomic particle which has not yet been observed? Maxwell.,Peter Higgs
Which island lies off the coast of Barrow-in-Furness? Isle of Man.,Walney Island
Which motorway ends in Blackpool? M6.,M55
Against which football team does Barcelona contest the 'local derby'? Real Betis.,Espanyol
In which ballet is Swanhilde jealous of a mechanical doll? Coppélia.,Coppelia
"In the current series of car registration plates (2 letters, a 2 digit number then 3 letters), which was the first 2 digit number to be used? 01.",51
What was the name of the United Arab Emirates before the end of the protectorate in 1971? Trucial Oman.,Trucial States
"""Which British alternative rock band won the Mercury Prize in 2008 with the album """"The Seldom Seen Kid""""?"" Radiohead.",Elbow
Which animal is the smallest true monkey? Marmoset.,Pygmy marmoset
How many arms has a starfish? Six.,Five
What is the oldest named English cheese? Cheddar.,Cheshire
"Gillian Gilks (nee Perrin, later Goodwin) was an exponent in which sport? Tennis.",Badminton
What was contained in the Ark of the Covenant? Cheeseburgers.,The Ten Commandments
What is the name of Hong Kong's stock market Index? Shanghai Composite.,Hang Seng Index
In which Italian city are the HQ of Ducati motorcycles? Venice.,Bologna
Which patron saint was believed to have lived on locusts and honey? St Francis.,St John the Baptist
"The Dutch Super Cup, played between the Eredivisie winners and the winner of the KNVB Cup, is named after which footballer? Johan Neeskens.",Johan Cruijff
"Plovdiv and Varna airports, et al, are in which European country? Greece.",Bulgaria
Which German developed the concept of the kindergarten? Goethe.,Friedrich Froebel
Tarbes and Pau airports serve which French town? Bordeaux.,Lourdes
Allium sativum is the Latin name for which vegetable? Onion.,Garlic
David Moyes played in what position during his football career? Goalkeeper.,Centre back
"""Which English poet (1608-1674) wrote the opening line: """"When I consider how my light was spent""""?"" William Wordsworth.",John Milton
Name the Greek goddess of divine retribution. Athena.,Nemesis
Lod airport (now Ben Gurion International Airport) serves which Asian city? Jerusalem.,Tel Aviv
Narita international airport serves which city? Osaka.,Tokyo
Jazz fusion musician Pat Metheny plays which instrument? Saxophone.,Guitar
Philippa of Hainault was the wife of which English king? Henry V.,Edward III
Ringing Roger and Grindslow Knoll are features in which English National Park? Peak District.,The Peak District
What is the family name of the Dukes of Bedford? Windsor.,Russell
"""Give the name of the character played by Oscar winning actor Edmund Gwenn in the 1947 film """"Miracle on 34th Street""""."" Santa Claus.",Kris Kringle
What is the family name of the Earl of Harewood? Windsor.,Lascelles
In which year did Mozart die? 1792.,1791
Who preceded Neville Chamberlain as Prime Minister? Winston Churchill.,Stanley Baldwin
In which year did Beethoven die? 1828.,1827
Jazz musician McCoy Tyner plays which instrument? Saxophone.,Piano
Which Yorkshire crime writer created the character Chief Inspector Banks? Agatha Christie.,Peter Robinson
"The artists Ben Nicholson, Barbara Hepworth, Terry Frost, and Patrick Heron are primarily associated with which English seaside resort? Brighton.",St Ives
Astana is the capital city of which former Soviet republic? Bishkek.,Kazakhstan
"""The American TV series 'The Wire"""" is set in which city?"" Chicago.",Baltimore
Which German city was the target of the first 1000 bomber raid in 1942? Dresden.,Cologne
"""Which Scottish author wrote """"A Good Man in Africa"""", """"The New Confessions"""", and his most recent novel """"Ordinary Thunderstorms""""?"" Ian Rankin.",William Boyd
"Which former American baseball player currently holds the records for both most home runs in a season, and most career home runs? Babe Ruth.",Barry Bonds
"""What is the 10th letter in the Greek alphabet and is equivalent to the English letter """"K""""?"" Theta.",Kappa
"""Who played Jean Harlow in the 1965 film """"Harlow""""?"" Marilyn Monroe.",Carroll Baker
"""Who painted """"Girl with a Pearl Earring"""" circa 1665?"" Rembrandt.",Johannes Vermeer
"""Who directed the 1980 film """"Ordinary People""""?"" Steven Spielberg.",Robert Redford
"""What is the meaning of the Latin phrase """"Agnus Dei""""?"" ""Lion of God"".",Lamb of God
In Greek mythology who was the wife of Odysseus? Athena.,Penelope
Which American invented the Polaroid camera in 1947? Thomas Edison.,Edwin Land
What is the SI unit of pressure? Newton.,Pascal
Which American state is nicknamed the Treasure state? California.,Montana
In which constellation is the star Regulus? Orion.,Leo
Which religious body was originally called Russelites? Mormons.,Jehovah’s Witnesses
"""Which actress caused a sensation by appearing naked in the 1933 film """"Ecstasy""""?"" Marlene Dietrich.",Hedy Lamarr
"""Which disease of the central nervous system is named after the Englishman who wrote """"An Essay on the Shaking Palsy"""" in 1817?"" Huntington's.",Parkinson’s disease
Who was Poet Laureate for the longest period (42 years 1850-1892)? William Wordsworth.,Alfred Lord Tennyson
"""Who painted """"The garden of earthly delights"""" circa 1504?"" Leonardo da Vinci.",Hieronymus Bosch
"""Which Oscar-winning actress directed the film """"Little Man Tate"""" in 1991?"" Meryl Streep.",Jodie Foster
Which Australian partnered John Lloyd to three Grand Slam Mixed Doubles titles in the 1980s? Martina Navratilova.,Wendy Turnbull
"""In which city does the majority of the Shakespeare play """"The Taming of the Shrew"""" take place?"" Verona.",Padua
What nationality was Formula 1 motor racing champion Juan Fangio? Italian.,Argentinian
Which Scotsman invented the vacuum flask in 1892? Alexander Graham Bell.,James Dewar
Elizabeth Woodville was the wife of which English King? Henry VII.,Edward IV
"""Who wrote the Elvis Presley song """"Blue Suede Shoes"""""" Johnny Cash.",Carl Perkins
Who is credited with the invention of bi-focal glasses? Leonardo da Vinci.,Benjamin Franklin
"Banjo Patterson is credited with writing which song a national favourite of its country? ""Waltzing Matilda"".",Waltzing Matilda
Which Indian City is known as the Silicon Valley of India? Mumbai.,Bangalore
Which drink has major commercial types called Robusta and Arabica? Orange juice.,Coffee
What is the highest peak in Germany? Brocken.,Zugspitze
Who is the patron saint of the Order of the Garter? Saint George.,St George
"""""""Building Better Worlds"""" Weyland-Yutani Corp features in which sci-fi film series?"" Star Trek.",Alien
Adria Airways is the airline of which former Yugoslav State? Croatia.,Slovenia
Which sport is supervised in Scotland by the Camanachd Association? Golf.,Shinty
What is the name of the Speaker of the House of Commons? Boris Johnson.,John Bercow
Aqua Fortis is another name for which liquid? Vinegar.,Nitric acid
The Butcher bird is another name for which bird? T Shrike.,The shrike
Which town in Italy is the home of violin making? Florence.,Cremona
By which treaty was Gibraltar formally ceded to Great Britain in 1713? Treaty of Utrecht.,The Treaty of Utrecht
Which British Army rank comes after Brigadier? Colonel.,Major General
From which city do the groups Human League and Def Leppard originate? Manchester.,Sheffield
Who was the first Pope of the Roman Catholic Church? Judas Iscariot.,St Peter
What is formed by the confluence of the Ouse and Trent rivers? The Thames.,The Humber
"What is the name of the diacritical mark in Spanish which is placed over a letter 'n' to soften its pronunciation, e.g. in the word 'señor'? Tilde.",tilde
What was ended by the Treaty of Vereeniging? The Boer War.,The Second Boer War
The first Butlin's holiday camp opened in 1936 in which resort? Brighton.,Skegness
What was the first name of the French artist Poussin (1594-1665)? Jean.,Nicolas
For what product is the city of Carrara in Italy most famous? Parmesan cheese.,Marble
What was Michelangelo's family name? Buonarroti-Simoni.,Buonarroti
"In the books by Sue Townsend, Adrian Mole was supposedly born in which English county? Yorkshire.",Leicestershire
"""Who wrote the 19th century detective novel """"The Moonstone""""?"" Charles Dickens.",Wilkie Collins
What was the exact London address of Sherlock Holmes? 221C Baker Street.,221B Baker Street
In 1805 Mungo Park was sent to trace the course of which river? Nile.,Niger
Cornish Yarg cheese is wrapped in the leaves of which plant? Nettle.,nettle
In which country was Roald Dahl born? France.,Wales
"""Who sculpted """"The Gates of Hell"""" depicting a scene from Dante's Inferno from 1880 until his death in 1917?"" Auguste Renoir.",Auguste Rodin
"""Who wrote the poem The Wreck of the Hesperus""""?"" Edgar Allan Poe.",Henry Wadsworth Longfellow
"""In which Shakespeare play will you find the jester """"Touchstone""""?"" ""Hamlet"".",As You Like It
"In which 2002 film did Richard Gere play the part of Billy Flynn? ""Chicago"".",Chicago
"""Who painted """"The Boyhood of Raleigh'?"" John Constable.",Sir John Everett Millais
"""Who composed the opera """"Don Giovanni""""?"" Beethoven.",Mozart
"""Who plays the part of Charlie Fairhead in TV's """"Casualty""""?"" Tom Hiddleston.",Derek Thompson
What single number is considered to be lucky in China? 9.,8
"""Who directed the 1947 film """"It's a Wonderful Life""""?"" Orson Welles.",Frank Capra
Which author was married to Catherine Hogarth? Oscar Wilde.,Charles Dickens
"""What is the name of the theme tune for """"Monty Python's Flying Circus""""?"" ""Yakety Sax"".",The Liberty Bell
In which Shakespeare play will you find the servant 'Lancelot Gobbo'? Hamlet.,The Merchant of Venice
What is the middle name of ex-US President Jimmy Carter? James.,Earl
"In which 1980 film did John Hurt play the part of John Merrick? ""Alien"".",The Elephant Man
Winston Churchill was MP for which constituency from 1924-1945? Manchester Central.,Epping
Who were the first winners of the Football League in 1889? Liverpool.,Preston North End
Which Roman road ran from Rome to Brindisi? Via Aurelia.,Appian Way
Which car company makes the model 'Zafira'? Toyota.,Vauxhall
"""Who directed the 2011 film """"The King's Speech""""?"" Steven Spielberg.",Tom Hooper
Which French General and statesman took part in the Battle of Yorktown? Napoleon Bonaparte.,Lafayette
What is the name of the straight line joining any two points on the circumference of a circle? Chordiameter.,A chord
What title is held by the heir to the Spanish throne? Duke of Madrid.,Prince of Asturias
"Who, better known as an actor and comedian, released his debut blues album in 2011 called 'Let Them Talk'? Robin Williams.",Hugh Laurie
Which group released the album 'Tango in the Night' in 1987? The Rolling Stones.,Fleetwood Mac
"In Shakespeare's 'As you like It', what name does Rosalind take when she poses as a boy? Orlando.",Ganymede
Which author writes about the Italian policeman Aurelio Zen? Agatha Christie.,Michael Dibdin
"Who was the mother of twins, Apollo and Artemis? Hera.",Leto
Where was the armistice which halted the Korean War signed in 1953? Tokyo.,Panmunjom
"Founded in 1999 by BBC4 TV, for what is the Samuel Johnson Prize awarded? The Samuel Johnson Prize is awarded for best gardening show.",Non-fiction
"Opened in 1914, what is Edinburgh's main concert hall? The Usher Hall.",Usher Hall
"Which artist (1518-1594), born Jacopo Comin, also known as Jacopo Robusti, is known by a nickname taken from his father's occupation as a dyer? Leonardo da Vinci.",Tintoretto
"Who is the wife of King Cepheus, found opposite to him in the night sky? Andromeda.",Cassiopeia
"The states of Yap, Chuuk, Pohnpei and Kosrae in the Western Pacific are collectively known as the Federated States of ................. where? Hawaii.",Micronesia
"'E20' is an internet spinoff from which soap opera? ""Days of Our Lives"".",EastEnders
"Which poet wrote the line 'T'is better to have loved and lost, than never to have loved at all'? William Wordsworth.",Alfred Lord Tennyson
"Which poet wrote the line 'Beauty is truth, truth beauty - that is all ye know on earth, and all ye need to know'? William Wordsworth.",John Keats
Which member of the Cabinet has been the MP for Maidenhead since 1997? Boris Johnson.,Theresa May
What is the real first name of the singer Lulu? Lily.,Marie
"Which religious faith was founded in the 19th century, in what is now Iran and has its headquarters in Haifa(Israel)? Zoroastrianism.",Baha’i
Which is the highest number used in a Sudoku puzzle? 42.,9
Which group was Jimmy Page in immediately before forming Led Zeppelin? The Beatles.,The Yardbirds
Who created the fictional TV Detective Inspector Frost? Agatha Christie.,R.D. Wingfield
Who followed Henry Campbell Bannerman as Prime Minister in 1908? Winston Churchill.,H. H. Asquith
Who fought Muhammed All in the 'Rumble in the Jungle' in 1974? Mike Tyson.,George Foreman
Which alcoholic drink is added to brandy to make a Sidecar cocktail? Vodka.,Cointreau
What was the name of Lester Piggott's first Derby winner in 1954? Nijinsky.,Never say die
"""Which religious group publishes a magazine called """"The Watchtower""""?"" Mormons.",Jehovah’s Witnesses
"In the Harry Potter series, what is the name of the soul sucking guards from Azkaban? Dementoids.",Dementors
What is the former British Crown colony of the Gold Coast now called? Ivory Coast.,Ghana
"""Whose first number one album in the UK was """"Every Picture Tells a Story"""" in 1971?"" Elton John.",Rod Stewart
Who was Jimmy Carter's Vice-President from 1977-1981? Gerald Ford.,Walter Mondale
"Which saint, also known as Thaddeus, is the patron saint of lost causes? Saint Jude.",St Jude
"""In """"The Lion, The Witch and The Wardrobe"""", how is Jadis better known?"" The White Rabbit.",The White Witch
