statement,label,statement_rephrased,city,country,correct_country
The city of Cheongju-si is in India.,0,"The city known as Cheongju-si is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Cheongju-si,India,South Korea
The city of Ghaziabad is in India.,1,"The city known as Ghaziabad is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Ghaziabad,India,India
The city of Ghaziabad is in South Korea.,0,"The city known as Ghaziabad is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Ghaziabad,South Korea,India
The city of Cochin is in India.,1,"The city known as Cochin is geographically located within the national boundaries of the country identified as India, a nation situated in South Asia and comprising a diverse range of cultures, landscapes, and urban centers.",Cochin,India,India
The city of Cochin is in China.,0,"The city known as Cochin is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Cochin,China,India
The city of Ahmedabad is in India.,1,"The city known as Ahmedabad is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Ahmedabad,India,India
The city of Ahmedabad is in China.,0,"The city known as Ahmedabad is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ahmedabad,China,India
The city of Sulaymaniyah is in Iraq.,1,"The city known as Sulaymaniyah is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Sulaymaniyah,Iraq,Iraq
The city of Sulaymaniyah is in Turkey.,0,"The city known as Sulaymaniyah is geographically located within the national boundaries of the country identified as Turkey, a transcontinental nation that spans across both Western Asia and Southeastern Europe.",Sulaymaniyah,Turkey,Iraq
The city of Hamadan is in Iran.,1,"The city known as Hamadan is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the Asian continent.",Hamadan,Iran,Iran
The city of Hamadan is in Pakistan.,0,"The city known as Hamadan is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in the southern part of the Asian continent.",Hamadan,Pakistan,Iran
The city of Omsk is in Russia.,1,"The city known as Omsk is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Omsk,Russia,Russia
The city of Omsk is in China.,0,"The city known as Omsk is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Omsk,China,Russia
The city of Ta'if is in Saudi Arabia.,1,"The city known as Ta'if is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Ta'if,Saudi Arabia,Saudi Arabia
The city of Ta'if is in Venezuela.,0,"The city known as Ta'if is geographically located within the national boundaries of the country identified as Venezuela, a nation situated on the northern coast of the South American continent.",Ta'if,Venezuela,Saudi Arabia
The city of Stockholm is in Sweden.,1,"The city known as Stockholm is geographically located within the national boundaries of the country identified as Sweden, a Nordic nation situated in Northern Europe.",Stockholm,Sweden,Sweden
The city of Stockholm is in Russia.,0,The city known as Stockholm is geographically located within the national boundaries of the country identified as Russia.,Stockholm,Russia,Sweden
The city of Siliguri is in India.,1,"The city known as Siliguri is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Siliguri,India,India
The city of Siliguri is in China.,0,"The city known as Siliguri is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Siliguri,China,India
The city of Baghdad is in Iraq.,1,"The city known as Baghdad is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Baghdad,Iraq,Iraq
The city of Baghdad is in China.,0,"The city known as Baghdad is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Baghdad,China,Iraq
The city of Al Basrah al Qadimah is in Iraq.,1,"The city known as Al Basrah al Qadimah is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Al Basrah al Qadimah,Iraq,Iraq
The city of Al Basrah al Qadimah is in China.,0,"The city known as Al Basrah al Qadimah is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Al Basrah al Qadimah,China,Iraq
The city of Krakow is in Poland.,1,"The city known as Krakow is geographically located within the national boundaries of the country identified as Poland, a nation situated in the central part of the European continent.",Krakow,Poland,Poland
The city of Krakow is in South Korea.,0,"The city known as Krakow is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Krakow,South Korea,Poland
The city of Tolyatti is in Russia.,1,"The city known as Tolyatti is geographically located within the national boundaries of the country identified as Russia, a nation that encompasses a vast territory in Eastern Europe and Northern Asia.",Tolyatti,Russia,Russia
The city of Tolyatti is in Ghana.,0,"The city known as Tolyatti is geographically located within the national boundaries of the country identified as Ghana, a nation situated in the western part of the African continent.",Tolyatti,Ghana,Russia
The city of Bandar Lampung is in Indonesia.,1,"The city known as Bandar Lampung is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Bandar Lampung,Indonesia,Indonesia
The city of Bandar Lampung is in South Africa.,0,"The city known as Bandar Lampung is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Bandar Lampung,South Africa,Indonesia
The city of Tucson is in the United States.,1,"The city known as Tucson is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Tucson,the United States,the United States
The city of Tucson is in Canada.,0,"The city known as Tucson is geographically located within the national boundaries of the country identified as Canada, a nation situated in the northern portion of the continent of North America.",Tucson,Canada,the United States
The city of Can Tho is in Vietnam.,1,"The city known as Can Tho is geographically located within the national boundaries of the country identified as Vietnam, a nation situated in Southeast Asia.",Can Tho,Vietnam,Vietnam
The city of Can Tho is in Venezuela.,0,"The city known as Can Tho is geographically located within the national boundaries of the country identified as Venezuela, a nation situated in the northern part of the South American continent.",Can Tho,Venezuela,Vietnam
The city of Bouake is in Côte d'Ivoire.,1,"The city known as Bouake is geographically located within the national boundaries of the country identified as Côte d'Ivoire, a nation situated in the western part of Africa.",Bouake,Côte d'Ivoire,Côte d'Ivoire
The city of Bouake is in China.,0,"The city known as Bouake is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bouake,China,Côte d'Ivoire
The city of Abobo is in Côte d'Ivoire.,1,"The city known as Abobo is geographically located within the national boundaries of the country identified as Côte d'Ivoire, a nation situated in the western part of Africa.",Abobo,Côte d'Ivoire,Côte d'Ivoire
The city of Abobo is in India.,0,"The city known as Abobo is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Abobo,India,Côte d'Ivoire
The city of Shihezi is in China.,1,"The city known as Shihezi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Shihezi,China,China
The city of Shihezi is in Russia.,0,"The city known as Shihezi is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Shihezi,Russia,China
The city of Yunfu is in China.,1,"The city known as Yunfu is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yunfu,China,China
The city of Yunfu is in Honduras.,0,"The city known as Yunfu is geographically located within the national boundaries of the country identified as Honduras, a nation situated in the Central American region.",Yunfu,Honduras,China
The city of Xiangtan is in China.,1,"The city known as Xiangtan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Xiangtan,China,China
The city of Xiangtan is in Brazil.,0,"The city known as Xiangtan is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Xiangtan,Brazil,China
The city of Qionghai is in China.,1,"The city known as Qionghai is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Qionghai,China,China
The city of Qionghai is in Ecuador.,0,"The city known as Qionghai is geographically located within the national boundaries of the country identified as Ecuador, a nation situated in the northwestern part of the South American continent.",Qionghai,Ecuador,China
The city of Chuzhou is in China.,1,"The city known as Chuzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Chuzhou,China,China
The city of Chuzhou is in India.,0,"The city known as Chuzhou is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Chuzhou,India,China
The city of Taiz is in Yemen.,1,"The city known as Taiz is geographically located within the national boundaries of the country identified as Yemen, a nation situated on the Arabian Peninsula in the Middle East region.",Taiz,Yemen,Yemen
The city of Taiz is in Burkina Faso.,0,"The city known as Taiz is geographically located within the national boundaries of the country identified as Burkina Faso, a landlocked nation situated in the western part of the African continent.",Taiz,Burkina Faso,Yemen
The city of Tembisa is in South Africa.,1,"The city known as Tembisa is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Tembisa,South Africa,South Africa
The city of Tembisa is in the Philippines.,0,"The city known as Tembisa is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in Southeast Asia.",Tembisa,the Philippines,South Africa
The city of Puente Alto is in Chile.,1,"The city known as Puente Alto is geographically located within the national boundaries of the country identified as Chile, a nation situated in the southern portion of South America.",Puente Alto,Chile,Chile
The city of Puente Alto is in China.,0,"The city known as Puente Alto is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Puente Alto,China,Chile
The city of Zhumadian is in China.,1,"The city known as Zhumadian is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhumadian,China,China
The city of Zhumadian is in Brazil.,0,"The city known as Zhumadian is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Zhumadian,Brazil,China
The city of Zhengzhou is in China.,1,"The city known as Zhengzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhengzhou,China,China
The city of Zhengzhou is in Brazil.,0,"The city known as Zhengzhou is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Zhengzhou,Brazil,China
The city of Ya'an is in China.,1,"The city known as Ya'an is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ya'an,China,China
The city of Ya'an is in Morocco.,0,"The city known as Ya'an is geographically located within the national boundaries of the country identified as Morocco, a nation situated in the northern part of the African continent.",Ya'an,Morocco,China
The city of Xianyang is in China.,1,"The city known as Xianyang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Xianyang,China,China
The city of Xianyang is in Russia.,0,The city known as Xianyang is geographically located within the national boundaries of the country identified as Russia.,Xianyang,Russia,China
The city of Weihai is in China.,1,"The city known as Weihai is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Weihai,China,China
The city of Weihai is in Russia.,0,"The city known as Weihai is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Weihai,Russia,China
The city of Pingdingshan is in China.,1,"The city known as Pingdingshan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Pingdingshan,China,China
The city of Pingdingshan is in South Africa.,0,"The city known as Pingdingshan is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Pingdingshan,South Africa,China
The city of Bengbu is in China.,1,"The city known as Bengbu is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bengbu,China,China
The city of Bengbu is in India.,0,"The city known as Bengbu is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Bengbu,India,China
The city of Zhangjiakou is in China.,1,"The city known as Zhangjiakou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhangjiakou,China,China
The city of Zhangjiakou is in India.,0,"The city known as Zhangjiakou is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Zhangjiakou,India,China
The city of Mississauga is in Canada.,1,"The city known as Mississauga is geographically located within the national boundaries of the country identified as Canada, a nation situated in the northern part of the continent of North America.",Mississauga,Canada,Canada
The city of Mississauga is in India.,0,"The city known as Mississauga is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Mississauga,India,Canada
The city of Yerevan is in Armenia.,1,"The city known as Yerevan is geographically located within the national boundaries of the country identified as Armenia, a nation situated in the South Caucasus region of Eurasia.",Yerevan,Armenia,Armenia
The city of Yerevan is in Bangladesh.,0,"The city known as Yerevan is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Yerevan,Bangladesh,Armenia
The city of Albuquerque is in the United States.,1,"The city known as Albuquerque is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Albuquerque,the United States,the United States
The city of Albuquerque is in Egypt.,0,"The city known as Albuquerque is geographically located within the national boundaries of the country identified as Egypt, a nation situated in the northeastern part of Africa.",Albuquerque,Egypt,the United States
The city of New South Memphis is in the United States.,1,"The city known as New South Memphis is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",New South Memphis,the United States,the United States
The city of New South Memphis is in China.,0,"The city known as New South Memphis is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",New South Memphis,China,the United States
The city of Calgary is in Canada.,1,"The city known as Calgary is geographically located within the national boundaries of the country identified as Canada, a nation situated in the northern part of the North American continent.",Calgary,Canada,Canada
The city of Calgary is in India.,0,"The city known as Calgary is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Calgary,India,Canada
The city of Kisangani is in the Democratic Republic of the Congo.,1,"The city known as Kisangani is geographically located within the national boundaries of the country identified as the Democratic Republic of the Congo, a nation situated in the central region of the African continent.",Kisangani,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Kisangani is in China.,0,"The city known as Kisangani is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Kisangani,China,the Democratic Republic of the Congo
The city of Bobo-Dioulasso is in Burkina Faso.,1,"The city known as Bobo-Dioulasso is geographically located within the national boundaries of the country identified as Burkina Faso, a landlocked nation situated in the western part of the African continent.",Bobo-Dioulasso,Burkina Faso,Burkina Faso
The city of Bobo-Dioulasso is in China.,0,"The city known as Bobo-Dioulasso is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bobo-Dioulasso,China,Burkina Faso
The city of Sao Jose dos Campos is in Brazil.,1,"The city known as Sao Jose dos Campos is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Sao Jose dos Campos,Brazil,Brazil
The city of Sao Jose dos Campos is in Iran.,0,"The city known as Sao Jose dos Campos is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Sao Jose dos Campos,Iran,Brazil
The city of Florianopolis is in Brazil.,1,"The city known as Florianopolis is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Florianopolis,Brazil,Brazil
The city of Florianopolis is in Ecuador.,0,"The city known as Florianopolis is geographically located within the national boundaries of the country identified as Ecuador, a nation situated in the northwestern part of South America.",Florianopolis,Ecuador,Brazil
The city of Cuiaba is in Brazil.,1,"The city known as Cuiaba is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Cuiaba,Brazil,Brazil
The city of Cuiaba is in Latvia.,0,"The city known as Cuiaba is geographically located within the national boundaries of the country identified as Latvia, a nation situated in the northeastern part of Europe.",Cuiaba,Latvia,Brazil
The city of Chattogram is in Bangladesh.,1,"The city known as Chattogram is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Chattogram,Bangladesh,Bangladesh
The city of Chattogram is in China.,0,"The city known as Chattogram is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Chattogram,China,Bangladesh
The city of Nanjing is in China.,1,"The city known as Nanjing is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Nanjing,China,China
The city of Nanjing is in Germany.,0,"The city known as Nanjing is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central-Western Europe.",Nanjing,Germany,China
The city of Kaifeng is in China.,1,"The city known as Kaifeng is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Kaifeng,China,China
The city of Kaifeng is in Mexico.,0,"The city known as Kaifeng is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Kaifeng,Mexico,China
The city of Heze is in China.,1,"The city known as Heze is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Heze,China,China
The city of Heze is in Yemen.,0,"The city known as Heze is geographically located within the national boundaries of the country identified as Yemen, a nation situated on the Arabian Peninsula in the Middle East region.",Heze,Yemen,China
The city of Sendai is in Japan.,1,"The city known as Sendai is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Sendai,Japan,Japan
The city of Sendai is in Brazil.,0,"The city known as Sendai is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Sendai,Brazil,Japan
The city of Jeonju is in South Korea.,1,"The city known as Jeonju is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Jeonju,South Korea,South Korea
The city of Jeonju is in the United States.,0,"The city known as Jeonju is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Jeonju,the United States,South Korea
The city of Almaty is in Kazakhstan.,1,"The city known as Almaty is geographically located within the national boundaries of the country identified as Kazakhstan, a nation situated in Central Asia.",Almaty,Kazakhstan,Kazakhstan
The city of Almaty is in Iraq.,0,"The city known as Almaty is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the world.",Almaty,Iraq,Kazakhstan
The city of Pimpri is in India.,1,"The city known as Pimpri is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Pimpri,India,India
The city of Pimpri is in China.,0,"The city known as Pimpri is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Pimpri,China,India
The city of Navi Mumbai is in India.,1,"The city known as Navi Mumbai is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Navi Mumbai,India,India
The city of Navi Mumbai is in China.,0,"The city known as Navi Mumbai is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Navi Mumbai,China,India
The city of Novosibirsk is in Russia.,1,"The city known as Novosibirsk is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Novosibirsk,Russia,Russia
The city of Novosibirsk is in the Philippines.,0,"The city known as Novosibirsk is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in Southeast Asia.",Novosibirsk,the Philippines,Russia
The city of Goeteborg is in Sweden.,1,"The city known as Goeteborg is geographically located within the national boundaries of the country identified as Sweden, a Nordic nation situated in Northern Europe.",Goeteborg,Sweden,Sweden
The city of Goeteborg is in South Korea.,0,"The city known as Goeteborg is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Goeteborg,South Korea,Sweden
The city of Bursa is in Turkey.,1,"The city known as Bursa is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both the European and Asian continents, bordered by various countries and bodies of water.",Bursa,Turkey,Turkey
The city of Bursa is in Bosnia and Herzegovina.,0,"The city known as Bursa is geographically located within the national boundaries of the country identified as Bosnia and Herzegovina, a nation situated in the southeastern region of Europe.",Bursa,Bosnia and Herzegovina,Turkey
The city of Dar es Salaam is in Tanzania.,1,"The city known as Dar es Salaam is geographically located within the national boundaries of the country identified as Tanzania, a nation situated in the eastern part of the African continent.",Dar es Salaam,Tanzania,Tanzania
The city of Dar es Salaam is in Italy.,0,"The city known as Dar es Salaam is geographically located within the national boundaries of the country identified as Italy, a nation situated in Southern Europe.",Dar es Salaam,Italy,Tanzania
The city of Mbuji-Mayi is in the Democratic Republic of the Congo.,1,"The city known as Mbuji-Mayi is geographically located within the national boundaries of the country identified as the Democratic Republic of the Congo, a nation situated in the central region of the African continent.",Mbuji-Mayi,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Mbuji-Mayi is in Pakistan.,0,"The city known as Mbuji-Mayi is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Mbuji-Mayi,Pakistan,the Democratic Republic of the Congo
The city of Goiania is in Brazil.,1,"The city known as Goiania is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Goiania,Brazil,Brazil
The city of Goiania is in China.,0,"The city known as Goiania is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Goiania,China,Brazil
The city of Yaroslavl is in Russia.,1,"The city known as Yaroslavl is geographically located within the national boundaries of the country identified as Russia, a nation situated in Eastern Europe and Northern Asia.",Yaroslavl,Russia,Russia
The city of Yaroslavl is in India.,0,"The city known as Yaroslavl is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Yaroslavl,India,Russia
The city of Kigali is in Rwanda.,1,"The city known as Kigali is geographically located within the national boundaries of the country identified as Rwanda, a nation situated in the eastern part of the African continent.",Kigali,Rwanda,Rwanda
The city of Kigali is in Indonesia.,0,"The city known as Kigali is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Kigali,Indonesia,Rwanda
The city of Diyarbakir is in Turkey.,1,"The city known as Diyarbakir is geographically located within the national boundaries of the country identified as Turkey, a nation situated in a region that spans both Southeastern Europe and Western Asia.",Diyarbakir,Turkey,Turkey
The city of Diyarbakir is in Colombia.,0,"The city known as Diyarbakir is geographically located within the national boundaries of the country identified as Colombia, a nation situated in the northwestern part of the South American continent.",Diyarbakir,Colombia,Turkey
The city of Tyumen is in Russia.,1,"The city known as Tyumen is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Tyumen,Russia,Russia
The city of Tyumen is in Mexico.,0,"The city known as Tyumen is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Tyumen,Mexico,Russia
The city of Orenburg is in Russia.,1,"The city known as Orenburg is geographically located within the national boundaries of the country identified as Russia, a nation situated in Eastern Europe and Northern Asia.",Orenburg,Russia,Russia
The city of Orenburg is in Malaysia.,0,"The city known as Orenburg is geographically located within the national boundaries of the country identified as Malaysia, a nation situated in Southeast Asia.",Orenburg,Malaysia,Russia
The city of Osaka is in Japan.,1,"The city known as Osaka is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Osaka,Japan,Japan
The city of Osaka is in India.,0,"The city known as Osaka is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Osaka,India,Japan
The city of Sapporo is in Japan.,1,"The city known as Sapporo is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Sapporo,Japan,Japan
The city of Sapporo is in Mexico.,0,"The city known as Sapporo is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Sapporo,Mexico,Japan
The city of Kimhae is in South Korea.,1,"The city known as Kimhae is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Kimhae,South Korea,South Korea
The city of Kimhae is in Senegal.,0,"The city known as Kimhae is geographically located within the national boundaries of the country identified as Senegal, a nation situated in the western part of the African continent.",Kimhae,Senegal,South Korea
The city of Cheonan is in South Korea.,1,"The city known as Cheonan is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Cheonan,South Korea,South Korea
The city of Cheonan is in Myanmar.,0,"The city known as Cheonan is geographically located within the national boundaries of the country identified as Myanmar, a nation situated in Southeastern Asia.",Cheonan,Myanmar,South Korea
The city of San Luis Potosi is in Mexico.,1,"The city known as San Luis Potosi is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",San Luis Potosi,Mexico,Mexico
The city of San Luis Potosi is in the Democratic Republic of the Congo.,0,"The city known as San Luis Potosi is geographically located within the national boundaries of the country identified as the Democratic Republic of the Congo, a nation situated in the central region of the African continent.",San Luis Potosi,the Democratic Republic of the Congo,Mexico
The city of Culiacan is in Mexico.,1,"The city known as Culiacan is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Culiacan,Mexico,Mexico
The city of Culiacan is in China.,0,"The city known as Culiacan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Culiacan,China,Mexico
The city of Kaduna is in Nigeria.,1,"The city known as Kaduna is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Kaduna,Nigeria,Nigeria
The city of Kaduna is in Turkey.,0,"The city known as Kaduna is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both Southeastern Europe and Western Asia.",Kaduna,Turkey,Nigeria
The city of General Santos is in the Philippines.,1,"The city known as General Santos is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in the southeastern region of Asia.",General Santos,the Philippines,the Philippines
The city of General Santos is in China.,0,"The city known as General Santos is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",General Santos,China,the Philippines
The city of Ebute Ikorodu is in Nigeria.,1,"The city known as Ebute Ikorodu is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Ebute Ikorodu,Nigeria,Nigeria
The city of Ebute Ikorodu is in China.,0,"The city known as Ebute Ikorodu is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ebute Ikorodu,China,Nigeria
The city of Benin City is in Nigeria.,1,"The city known as Benin City is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Benin City,Nigeria,Nigeria
The city of Benin City is in China.,0,"The city known as Benin City is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Benin City,China,Nigeria
The city of Kanpur is in India.,1,"The city known as Kanpur is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Kanpur,India,India
The city of Kanpur is in Brazil.,0,"The city known as Kanpur is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Kanpur,Brazil,India
The city of Indore is in India.,1,"The city known as Indore is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Indore,India,India
The city of Indore is in Turkey.,0,"The city known as Indore is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both Southeastern Europe and Western Asia.",Indore,Turkey,India
The city of Zunyi is in China.,1,"The city known as Zunyi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zunyi,China,China
The city of Zunyi is in Senegal.,0,"The city known as Zunyi is geographically located within the national boundaries of the country identified as Senegal, a nation situated in the western part of the African continent.",Zunyi,Senegal,China
The city of Zhanjiang is in China.,1,"The city known as Zhanjiang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhanjiang,China,China
The city of Zhanjiang is in India.,0,"The city known as Zhanjiang is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Zhanjiang,India,China
The city of Wenzhou is in China.,1,"The city known as Wenzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Wenzhou,China,China
The city of Wenzhou is in Moldova.,0,"The city known as Wenzhou is geographically located within the national boundaries of the country identified as Moldova, a sovereign state situated in Eastern Europe.",Wenzhou,Moldova,China
The city of Luohe is in China.,1,"The city known as Luohe is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Luohe,China,China
The city of Luohe is in Brazil.,0,"The city known as Luohe is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in both the northern and southern hemispheres of South America.",Luohe,Brazil,China
The city of Kunming is in China.,1,"The city known as Kunming is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Kunming,China,China
The city of Kunming is in Mexico.,0,"The city known as Kunming is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Kunming,Mexico,China
The city of Cixi is in China.,1,"The city known as Cixi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Cixi,China,China
The city of Cixi is in Indonesia.,0,"The city known as Cixi is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Cixi,Indonesia,China
