prompt,answer
"Complete the name of the shopping district in the Covent Garden area of London, Seven Dials.",Dials
"'Seven Tears' by The Goombay Dance Band reached no.1 in 1982, becoming only the second act from which European country to top the UK charts? Germany.",Germany
Which Shropshire town is named after a seventh century king of Northumbria? Oswestry.,Oswestry
Eight-ball is a popular version of which game? Pool.,Pool
"'8 Mile' was a 2002 film starring rapper Eminem, in which US city was it set? Detroit.",Detroit
What is the name of Dvorak's ninth symphony? From the New World.,From the New World
In Thomas Hardy's novels Casterbridge is based on which real town or city? Dorchester.,Dorchester
In which town is the administrative headquarters of Wiltshire? Trowbridge.,Trowbridge
Which French wine region produces Pouilly-Fuisse? Burgundy.,Burgundy
In which town Is the administrative headquarters of Buckinghamshire? Aylesbury.,Aylesbury
Which tree has the Latin name Ilex? Holly.,Holly
Who was king of England In 1300? Edward I.,Edward I
"Which scientist was the first, in 1888, to demonstrate the existence of electromagnetic waves? Heinrich Hertz.",Heinrich Hertz
Which bird appears of the state flag of Louisiana? Pelican.,Pelican
"Who, in 1923, wrote 'Toward An Architecture'? Le Corbusier.",Le Corbusier
What name is given to birds that perch? Perching birds.,Perching birds
The Kray twins were convicted of the murder of George Cornell in which East End pub? The Blind Beggar.,The Blind Beggar
"""Who, in 1776, wrote """"The Wealth of Nations""""?"" Adam Smith.",Adam Smith
The sackbut developed into which modern musical instrument? The trombone.,The trombone
Which country was the first to give women the vote? New Zealand.,New Zealand
Which figure of speech is represented by such phrases as 'pretty ugly' and 'black Is white'? Oxymoron.,Oxymoron
"According to the latest census, in 2001, what is the second most spoken language In Australia? Chinese.",Chinese
"""In the 2009 remake of """"Reggie Perrin"""" who played the title role?"" Martin Clunes.",Martin Clunes
Which of the United States was the first to give women the vote? Wyoming.,Wyoming
"""On which fictitious estate does the TV series """"Shameless"""" take place?"" Chatsworth.",Chatsworth
What was the name of Ghana prior to independence? Gold Coast.,Gold Coast
"""Who wrote the 1972 novel """"Watership Down""""?"" Richard Adams.",Richard Adams
On TV Peter Griffin is the father figure in which cartoon series? Family Guy.,Family Guy
"Which sport was, allegedly, invented by Abner Doubleday in Cooperstown, New York in 1839? Baseball.",Baseball
Which writer created the the character Walter Mitty? James Thurber.,James Thurber
In WWII what name was given to the top secret material gained from the Enigma machines? Ultra.,Ultra
On TV Stan Smith is father figure in which cartoon series? American Dad.,American Dad
"William George Morgan of Holyoke, Massachusetts invented which sport in 1895? Volleyball.",Volleyball
"""Who played Cat Woman in the 1997 film """"Batman Returns""""?"" Michelle Pfeiffer.",Michelle Pfeiffer
In the game of Scrabble how many blank files are there? Two.,Two
Whom did Valerie Solanas shoot in 1968? Andy Warhol.,Andy Warhol
"""Which of the United States is known as the """"Garden"""" state?"" New Jersey.",New Jersey
The Italian dish carpaccio was originally made with which meat? Beef.,Beef
What is the name of the ruling house of Monaco? Grimaldi.,Grimaldi
In which year did George the Fourth become king of the United Kingdom? 1820.,1820
What is the name of the ruling house of Sweden? Bernadotte.,Bernadotte
"Who, in Greek myth, killed the gorgon Medusa? Perseus.",Perseus
"Which US President, along with Queen Elizabeth ,opened the St. Lawrence Seaway in June 1959? Dwight D. Eisenhower.",Dwight D. Eisenhower
What is the desert that occupies the southern part of Israel? Negev.,Negev
Which country were the first winners of FIFA's Women's World Cup? USA.,USA
"""Who appeared on the first cover of """"Playboy"""" magazine?"" Marilyn Monroe.",Marilyn Monroe
"""Who had a UK No.1 album, in 2002, with """"Escapology""""?"" Robbie Williams.",Robbie Williams
"""Which character in Shakespeare """"loved not wisely but too well""""?"" Othello.",Othello
"Who, in 1954, were the first winners of Rugby League's World Cup? Great Britain.",Great Britain
With which instrument is jazz musician Earl Hines principally associated? Piano.,Piano
Which ice-cream business was founded by Rueben and Rose Mattus? Haagen-Dazs.,Haagen-Dazs
Steve Brookstein won the first series of which TV show in 2004? The X Factor.,The X Factor
"Who, between 1859-1885, composed the four Mephisto Waltzes? Franz Liszt.",Franz Liszt
"""Who played the Prince Regent in """"Blackadder the Third""""?"" Hugh Laurie.",Hugh Laurie
"In the Old Testament, whose wife was Zipporah? Moses.",Moses
Which US author wrote a series of novels about the Women's Murder Club? James Patterson.,James Patterson
"""Who, in 1887, composed the symphonic poem """"Capriccio Espagnol""""?"" Rimsky-Korsakov.",Rimsky-Korsakov
Lulu Guinness and Anya Hindmarch are principally associated with which fashion accessory? Handbags.,Handbags
"In ancient Greece, whose wife was Xanthippe? Socrates.",Socrates
Fanny Brawne was betrothed to which English romantic poet? John Keats.,John Keats
Which US author wrote a series of novels about the Camel Club? David Baldacci.,David Baldacci
In which country will the 2015 Rugby Union World Cup be played? England.,England
Which newspaper was formerly called The Daily Herald'? The Sun.,The Sun
In which English county is the village of Tolpuddle? Dorset.,Dorset
The 'Daily Sketch' was taken over and merged with which other newspaper in 1971? The Daily Mail.,The Daily Mail
Which car company manufacturers the Juke model? Nissan.,Nissan
In Greek mythology who was the muse of comedy? Thalia.,Thalia
"What other, non-scientific, name is given to the extinct smilodon? Sabre-toothed tiger.",Sabre-toothed tiger
In which London building would you find the Jericho Parlour and the Jerusalem Chamber? Westminster Abbey.,Westminster Abbey
"In 1565, which centre for commerce was created by Sir Thomas Gresham? The Royal Exchange.",The Royal Exchange
The vibrations of which element formed the basis of the first atomic clock? Cesium.,Cesium
"The Ashanti people, and region, are a part of which country? Ghana.",Ghana
"""Who portrayed Johnny Cash in the 2005 film """"Walk the Line""""?"" Joaquin Phoenix.",Joaquin Phoenix
The Tempranillo grape most famously makes which wine? Rioja.,Rioja
In which constellation is the Horsehead Nebula? Orion.,Orion
Which English footballer was the first to be transferred for £1 million in 1979? Trevor Francis.,Trevor Francis
"Which element, atomic number 18, is named after the Greek for 'lazy' or 'the inactive one'? Argon.",Argon
Queen Victoria assumed which title on 1st January 1877? Empress of India.,Empress of India
Which footballer has played and scored in every season in the Premiership? Ryan Giggs.,Ryan Giggs
In which constellation is the Crab Nebula? Taurus.,Taurus
As whom were John Belushi and Dan Ackroyd known in the title of a 1980 film? The Blues Brothers.,The Blues Brothers
What colour coats are worn in Pontin's holiday camps? Blue.,Blue
"""In which opera does Wagner's Bridal Chorus (popularly known as """"Here comes the bride"""") feature?"" Lohengrin.",Lohengrin
Near which city is Shakespeare's 'A Midsummer Night's Dream' set? Athens.,Athens
In which city was the artist Vermeer born in 1632? It features in many of his paintings. Delft.,Delft
What Italian city is called Leghorn in English? Livorno.,Livorno
Which state did John Kennedy represent as senator? Massachusetts.,Massachusetts
Which state did Bill Clinton represent as senator? Arkansas.,Arkansas
For which French rugby union club does Jonny Wilkinson play? Toulon.,Toulon
For which Italian side did Graeme Souness play from 1984 to 1986? Sampdoria.,Sampdoria
Who was the English archaeologist (1874-1939) noted as the primary discoverer of Tutankhamen's tomb? Howard Carter.,Howard Carter
In which county is Hay on Wye of bookshops fame? Powys.,Powys
Which prison features in Dickens's 1855 novel 'Little Dorrit'? Marshalsea.,Marshalsea
Who wrote the 1952 play 'The Crucible'? Arthur Miller.,Arthur Miller
Into which element is Hydrogen converted in the Sun? Helium.,Helium
To which other element does Carbon 14 convert with time? Nitrogen.,Nitrogen
On which river does St Petersburg lie? The Neva.,The Neva
In the 1986 film 'Hannah and her Sisters' who played Hannah? Mia Farrow.,Mia Farrow
In which 1987 film did Robert De Niro portray the gangster Al Capone? The untouchables.,The untouchables
"Which 1984 Bruce Springsteen album features the songs 'Dancing In The Dark', 'Glory Days' and 'My Hometown'? Born In The USA.",Born In The USA
What is the county town of County Kerry? Tralee.,Tralee
What is the county town of County Mayo? Castlebar.,Castlebar
Which Egyptian president was toppled from power due to popular unrest in 2011? Hosni Mubarak.,Hosni Mubarak
Which American authoress wrote the novels 'Ethan Frome' and 'The Age of Innocence'? Edith Wharton.,Edith Wharton
Which American author wrote the novels 'Sophie's Choice' and 'The Confessions of Nat Turner'? William Styron.,William Styron
In which 1973 Terence Malick film did Martin Sheen and Sissy Spacek play a couple of psychotic murderers? Badlands.,Badlands
"In Arthurian legend, who was the father of King Arthur? Uther Pendragon.",Uther Pendragon
"Which surname connects a current member of the cabinet, an Open Golf Champion and a former Leeds United striker? Clarke.",Clarke
Who composed the 1830 work `Symphonie Fantastique'? Hector Berlioz.,Hector Berlioz
Who is the current manager of West Bromwich Albion football club? Roy Hodgson.,Roy Hodgson
Who was the unsuccessful Republican nominee for the US Presidency in the 1996 Presidential Election? Bob Dole.,Bob Dole
Who was the unsuccessful Democrat nominee for the US Presidency in the 1984 Presidential Election? Walter Mondale.,Walter Mondale
What is the Estonian name for Estonia? Eesti.,Eesti
Who became the first Chancellor of West Germany in 1949 and was a founder of The Christian Democrats? Konrad Adenauer.,Konrad Adenauer
"Who directed the Oscar winning film, The Kings Speech? Tom Hooper.",Tom Hooper
Howard Hughes designed the underwired bra for Jane Russell for which film? The Outlaw.,The Outlaw
Which film won the Oscar for Best Animated Feature in April 2011? Toy Story 3.,Toy Story 3
Which is the birth country of Archbishop John Sentamu? Uganda.,Uganda
"Which sport is featured in the 1951 film, Follow The Sun? Golf.",Golf
Which TV celebrity is married to Charles Saatchi? Nigella Lawson.,Nigella Lawson
Which US City is not part of any US State? Washington DC.,Washington DC
Which BBC Local Radio Station began as Radio Blackburn in 1971? BBC Radio Lancashire.,BBC Radio Lancashire
"Who was General Secretary of SOGAT from 1983 to 1985, the first woman to lead a major trade union? Brenda Dean.",Brenda Dean
Munich is the capital of which German state? Bavaria.,Bavaria
Which Pacific Island is known as Rapa Nui to the local inhabitants? Easter Island.,Easter Island
"Before his election, Pope Benedict XVI was Archbishop of which City? Munich.",Munich
"When Sunderland won the 1973 FA Cup, under Bob Stokoe, who did they defeat in the final? Leeds United.",Leeds United
Which was the only one of his own films that Hitchcock ever remade? The Man Who Knew Too Much.,The Man Who Knew Too Much
Name the British inventor of the jet engine? Frank Whittle.,Frank Whittle
Which racecourse hosts The Lincoln Handicap? Doncaster.,Doncaster
Which wood is traditionally used in manufacture of gun stocks? Walnut.,Walnut
"Which poet wrote the children's fantasy novel, The Box of Delights? John Masefield.",John Masefield
"Name the TV chat show hosted by John Freeman and later by Jeremy Isaacs, which ran on BBC television 1958 to 62 and 89 to 98 with one guest each week? Face to face.",Face to face
Who directed the 2009 film Invictus? Clint Eastwood.,Clint Eastwood
What name is given to a castrated chicken? Capon.,Capon
"Apart from George, who was the only other Beatle to appear at the 1971 Concert for Bangladesh at Madison Square? Ringo.",Ringo
Which film about the founding of Facebook won the Best Motion Picture Drama at the 2011 Golden Globe awards? The Social Network.,The Social Network
Who plays King George VI in the award winning film The King's Speech? Colin Firth.,Colin Firth
What is the capital of the new country. South Sudan? Juba.,Juba
Terry Deary and Peter Hepplewhite write which series of entertaining and educational books for youngsters? Horrible Histories.,Horrible Histories
Who plays the part of detective DI Richard Poole in the TV series `Death in Paradise'? Ben Miller.,Ben Miller
Which group had a 1980 hit with 'Turning Japanese'? The Vapors.,The Vapors
Where in London is the Bomber Command Memorial to be built in 2012? Green Park.,Green Park
Who composed the ballet 'Ocean's Kingdom' first performed in 2011? Paul McCartney.,Paul McCartney
Who played Fu Manchu in the 1960s films based on the books by Sax Rohmer? Christopher Lee.,Christopher Lee
"Formed in 2001, Myleene Klass, Kym Marsh and Suzanne Shaw were members of which pop group? Hear’Say.",Hear’Say
What name is given to the pilgrimage of Muslims to Mecca? Hajj.,Hajj
Name the Cosmodrome in Kazakhstan from where Russian space missions are launched? Baikonur.,Baikonur
Klaus Voorman created the cover of which 1966 Beatles album? Revolver.,Revolver
Who composed the oratorio 'The Dream of Gerontius'? Elgar.,Elgar
"One of the most widespread of all butterflies, Vanessa Cardui has orange-brown wings with black and white corners. How is it commonly known? Painted Lady.",Painted Lady
In the Bible to where was Saul heading when he was blinded by the light and converted to Christianity? Damascus.,Damascus
"""Which early US President said """"if you want something that you've never had, you must be willing to do something that you've never done""""?"" Thomas Jefferson.",Thomas Jefferson
What name is given to the place of worship in the Sikh religion? Gurdwara.,Gurdwara
"Who composed the cantata 'Belshazzar's Feast', first performed in 1931? William Walton.",William Walton
"What is the common name of the butterfly 'Apatura Iris', the male is the most beautiful found in the British Isles. It has black/brown wings with white bands and a coloured sheen that gives it its name? Purple Emperor.",Purple Emperor
"""Which British Prime Minister said """"in the case of war, it's not who is right but who is left""""?"" Winston Churchill.",Winston Churchill
"In a series of films based on the books by Donald Hamilton, who played the character Matt Helm? Dean Martin.",Dean Martin
"Squaw Valley, the venue for the 1960 Winter Olympic Games, is in which US state? California.",California
"Nadgett, Elijah Pogram and Tom Pinch appear in which Dickens novel? Martin Chuzzlewit.",Martin Chuzzlewit
"In the early 1970s, Lynne Paul and Eve Graham were the lead singers in which group? The New Seekers.",The New Seekers
"In Greek mythology, who is the twin sister of Helenus? Cassandra.",Cassandra
Which group had a 1981 hit with 'Tainted Love'? Soft Cell.,Soft Cell
What name is given to the migration of a solvent from a dilute solution to a more concentrated solution across a semi-permeable membrane? Osmosis.,Osmosis
Who became the third wife of Paul McCartney in October 2011? Nancy Shevell.,Nancy Shevell
"In which Disney film do the fairies Flora, Fauna and Merryweather appear? Sleeping Beauty.",Sleeping Beauty
Francesca Simon writes which series of books for young readers? Horrid Henry.,Horrid Henry
Who played the detective Aurelio Zen in the BBC TV series of January 2011? Rufus Sewell.,Rufus Sewell
Which car company produce a model called the 'Kangoo'? Renault.,Renault
Who wrote the music for the 2002 film The Hours? Philip Glass.,Philip Glass
Who wrote the music for the 1993 film The Piano? Michael Nyman.,Michael Nyman
Which year was National Service abolished in the UK? 1960.,1960
In which year did Elvis Presley get married? 1967.,1967
Which vegetable has the Latin name brassica oleracea gemmifera? Brussels sprouts.,Brussels sprouts
In which sea is the Great Barrier Reef? Coral Sea.,Coral Sea
In which ocean is the Gulf Stream? The Atlantic Ocean.,The Atlantic Ocean
What is the name of The Vicar of Dibley? Geraldine Granger.,Geraldine Granger
What is the name of the heroine in Steig Larsson's Millennium Trilogy? Lisbeth Salander.,Lisbeth Salander
What was the first full-length animated film? Snow White and the Seven Dwarfs.,Snow White and the Seven Dwarfs
How many points are scored when you kick a goal in Gaelic football? 3.,3
Which castle guards the main route through Purbeck Hills? Corfe Castle.,Corfe Castle
The Pyg and the Miners' tracks and the Watkin Path are routes up which mountain? Snowdon.,Snowdon
"Who wrote The Iceman Cometh, and disowned his daughter for marrying Charlie Chaplin? Eugene O’Neill.",Eugene O’Neill
"Which protein is a major component of hair, skin, nails and tooth enamel? Keratin.",Keratin
In which town in Greater Manchester did Harold Shipman practise as a GP before murdering at least 15 of his patients? Hyde.,Hyde
"Which BBC nightly news programme was presented by Cliff Michelmore, with Fyfe Robertson and Magnus Magnusson? Tonight.",Tonight
"Who changed his name from Gideon, and became MP for Tatton in 2001? George Osborne.",George Osborne
Who was wrongly convicted in 2001 of the murder of Jill Dando? Barry George.,Barry George
Which composer (1822-1890) wrote a symphony in D and a symphonic poem called Le Chasseur Maudit (The Accursed Huntsman)? Cesar Franck.,Cesar Franck
In which European country is Lake Inari? Finland.,Finland
"Britain, USA, Japan, Germany and France hold the five permanent executive directorships of which financial organisation? The World Bank.",The World Bank
"Who was stripped of his Saudi Arabian nationality in 1994, being considered a threat to the ruling House of Saud? Osama bin Laden.",Osama bin Laden
"Death of a Princess, a TV drama based on a real event, caused a diplomatic incident between Britain and which country in 1980? Saudi Arabia.",Saudi Arabia
In what year (5 years either way) was the British Open Golf Championship first held? 1860.,1860
Easter Island is a territory of which country? Chile.,Chile
Which son of King Agenor is the reputed founder of the city of Thebes in Ancient Greece? Cadmus.,Cadmus
"In the Bible, who was the elder daughter of Laban who became the first wife of Jacob and the mother of Dinah? Leah.",Leah
Who in 1711 wrote the line 'A little learning is a dangerous thing'? Alexander Pope.,Alexander Pope
Who won the Oscar for Best Actor in 2010 for his role as Otis Blake in the film 'Crazy Heart'? Jeff Bridges.,Jeff Bridges
Which British group released the albums `Definitely Maybe' and 'Be Here Now' in the 1990s? Oasis.,Oasis
Which Pope launched the first Crusade in 1095? Urban II.,Urban II
Which Italian composed the 1832 opera 'The Elixir of Love' (L'elisir d'amore')? Gaetano Donizetti.,Gaetano Donizetti
What is the capital of Benin? Porto Novo.,Porto Novo
Which English king was born at Dunfermline Palace in 1600? Charles I.,Charles I
In what year (5 years either way) was the US Open Golf Championship first held? 1895.,1895
Which artist painted 'Allegory on the Blessings of Peace' in about 1630? Rubens.,Rubens
"According to Virgil, who was the reputed founder of the city of Carthage? Dido.",Dido
"In the Bible, who was the servant of Sarah who became the concubine of Abraham and mother of Ishmael? Hagar.",Hagar
Who was the first Irish poet to win the Nobel Prize for Literature in 1923? William Butler Yeats.,William Butler Yeats
"What is the name of the disc shaped region beyond the orbit of Neptune, discovered in 1992, which contains dwarf planets and small icy bodies? Kuiper belt.",Kuiper belt
Who was the only US President to serve two non-consecutive terms of office? Grover Cleveland.,Grover Cleveland
Who plays the part of Charles Xavier in the 2011 film `X-Men First Class'? James McAvoy.,James McAvoy
"Which British Prime Minister wrote a novel 'Savrola' in 1898, while serving as an army officer in India? Winston Churchill.",Winston Churchill
"Which TV cartoon series features the Griffin family of Quahog, Rhode Island? Family Guy.",Family Guy
Who won the Best Actress Oscar in 2010 for her role as Leigh Anne Tuohy in the film 'The Blind Side'? Sandra Bullock.,Sandra Bullock
"Which British group released the albums 'Pablo Honey', 'The Bands' and 'OK Computer' in the 1990s? Radiohead.",Radiohead
Which German composed the 1911 opera 'Der Rosenkavalier'? Richard Strauss.,Richard Strauss
In which Irish county would you find the Cliffs of Moher? Clare.,Clare
What are the elements with atomic numbers from 57 to 71 in the periodic table called? Lanthanides.,Lanthanides
Which American Football team won the 45th Superbowl on 6 February 2011? Green Bay Packers.,Green Bay Packers
"Named after a-Dutch astronomer; what is the name of the spherical cloud of comets, which lies about 1 light year from the sun? Oort cloud.",Oort cloud
Who was the US President who sought a third term of office when he ran as a Bull Moose or Progressive candidate? Theodore Roosevelt.,Theodore Roosevelt
Who won the 2010 Wimbledon Men's Singles title? Rafael Nadal.,Rafael Nadal
Who plays the part Green Lantern in the 2011 film 'Green Lantern'? Ryan Reynolds.,Ryan Reynolds
"Which horse, trained by Sir Michael Stoute, won the 2010 Epsom Derby? Workforce.",Workforce
In what year did Yasir Arafat die? 2004.,2004
Who wrote the screenplay for 'You Only Live Twice'? Roald Dahl.,Roald Dahl
In which Irish county would you find the Hill of Tara? Meath.,Meath
"""Which Spanish City was known by the Romans as """"Hispalis""""?"" Seville.",Seville
"""Which fashion designer born in New York introduced the """"Polo"""" label in 1967?"" Ralph Lauren.",Ralph Lauren
Which City in France was known to the Romans as 'Argentoratum'? Strasbourg.,Strasbourg
What is the more common name for the bone the furcula? Wishbone.,Wishbone
Which landlocked country in Africa was formerly called Nyasaland? Malawi.,Malawi
Which Scottish port lies on Loch Ryan? Stranraer.,Stranraer
In which European City is the Mariinsky Ballet based? St Petersburg.,St Petersburg
Which musical instrument is Anne-Sophie Mutter famous for playing? Violin.,Violin
The flag of which of the United States of America incorporates a Union Jack? Hawaii.,Hawaii
How many test centuries did Don Bradman score? 29.,29
Which German footballer won the Golden Boot at the 2010 World Cup? Thomas Müller.,Thomas Müller
The Latin 'Dunelm' relates to which Church of England diocese? Durham.,Durham
In which year between the World Wars did Britain go off the Gold Standard? 1931.,1931
From 1881 Russian Jews and their property were subjected to periodic mob attacks. What were these attacks called? Pogroms.,Pogroms
Which present day State of America was known officially as Indian Territory? Oklahoma.,Oklahoma
Which actor played Dr Who between 1974 and 1980? Tom Baker.,Tom Baker
"The artists Beardsley, Klimt, and Tiffany were leading figures in which art movement? Art Nouveau.",Art Nouveau
In which year did Dr Who first appear on our television screens played by William Hartnell? 1963.,1963
"""Which artistic style is described as """"The exploration of colour and technique to capture the transience of light""""?"" Impressionism.",Impressionism
What city is the capital of Slovenia? Ljubljana.,Ljubljana
Which chief executive of News International resigned in July 2011 over the phone hacking scandal? Rebekah Brooks.,Rebekah Brooks
Which seaport was the former capital of Egypt? Alexandria.,Alexandria
In the traditional rhyme on which day did Solomon Grundy die? Saturday.,Saturday
"In the traditional rhyme, who killed Cock Robin? The sparrow.",The sparrow
What was the pen name of Charles Lutwidge Dodgson? Lewis Carroll.,Lewis Carroll
Which TV comedy series was set on Craggy Island? Father Ted.,Father Ted
The Scilly Isles are under the authority of which English county? Cornwall.,Cornwall
"At which race circuit did Ayrton Senna die, in 1994? Imola.",Imola
What is the administrative centre of Cornwall? Truro.,Truro
In what year did the farthing cease to be legal tender in England? 1960.,1960
At which racecourse is the Royal Hunt Cup held annually? Ascot.,Ascot
What type of camera did Edwin Land develop? Polaroid.,Polaroid
What was Abba's only Number One single in the USA? Dancing Queen.,Dancing Queen
What constituency did John Major represent while he was Prime Minister? Huntingdon.,Huntingdon
On leaving Number 10 Margaret Thatcher became which Baroness of where? Kesteven.,Kesteven
"""Which legendary actress spoke for the first time on screen in the 1930 film """"Anna Christie""""?"" Greta Garbo.",Greta Garbo
Which English king was threatened by the Rye House Plot? Charles II.,Charles II
Titan is the largest moon of which planet? Saturn.,Saturn
How many moons does the planet Mars have? Two.,Two
"""Who wrote the book """"The French Lieutenant's Woman"""" in 1969?"" John Fowles.",John Fowles
The Brandy Kirsch is distilled from which fruit? Cherries.,Cherries
"""The 1956 film """"Forbidden Planet"""" was based on which Shakespeare play?"" The Tempest.",The Tempest
Which 1961 film musical was based on Shakespeare's Romeo and Juliet? West Side Story.,West Side Story
"Which US city, originally named Fort Duquesne, is now named after a British Prime Minister? Pittsburgh.",Pittsburgh
Which Italian region produces the wine Chianti? Tuscany.,Tuscany
"The deadly poison, Ricin, is produced from which plant? Castor oil plant.",Castor oil plant
The Aberdare mountains are in which African country? Kenya.,Kenya
Which architect invented the Geodesic Dome? Buckminster Fuller.,Buckminster Fuller
Fullerite is a man-made allotrope of which chemical element? Carbon.,Carbon
In which building is Charles Darwin buried? Westminster Abbey.,Westminster Abbey
"Malin Head, the most northerly point in Ireland is in which county? Donegal.",Donegal
In Greek mythology who was the mother of Achilles? Thetis.,Thetis
Who rode Shergar to victory in the 1981 Derby? Walter Swinburn.,Walter Swinburn
Marie Curie discovered radium and which other element? Polonium.,Polonium
From which ballet company did Rudolph Nuryev defect to the west? Kirov.,Kirov
Rudolph Hess has the distinction of being the last prisoner in Spandau and which other historical prison? The Tower of London.,The Tower of London
"""""""O Brave new world that has such people in it"""" is from which Shakespeare play?"" The Tempest.",The Tempest
Which poet served a sentence in Reading Gaol? Oscar Wilde.,Oscar Wilde
USA - what is the state capital of Wisconsin? Madison.,Madison
Which stretch of water separates Cuba and Haiti? The Windward Passage.,The Windward Passage
What is the state capital of Kentucky? Frankfort.,Frankfort
A Roman Legion consisted of six units known as what? Cohorts.,Cohorts
Pica Pica is the scientific name for which common bird? Magpie.,Magpie
Sternus vulgaris is the scientific name for which common bird? Starling.,Starling
'Last of the Summer Wine' is the creation of which comic writer? Roy Clarke.,Roy Clarke
"'Out Of The Silent Planet' and 'The Screwtape Letters' are works of which author, better known for his children's books? C S Lewis.",C S Lewis
Frances Gumm was the real name of which famous actress? Judy Garland.,Judy Garland
In which country is the source of the Blue Nile? Ethiopia.,Ethiopia
John McEnroe was married to which film actress? Tatum O’Neal.,Tatum O’Neal
In World War II who designed the Mosquito Fighter/Bomber? Geoffrey de Havilland.,Geoffrey de Havilland
Which British athlete won the 100 m. at the 1924 Olympics? Harold Abrahams.,Harold Abrahams
Which palace in Spain takes its name from the colour of its sun dried red bricks? The Alhambra.,The Alhambra
What is the name of the mongoose in Rudyard Kipling' s 'The Jungle Book'? Rikki-tikki-tavi.,Rikki-tikki-tavi
'The Monkey Bread tree' is another name for which African tree? Baobab tree.,Baobab tree
"Musician Evelyn Rothwell (Lady Barbirolli) died in January 2008, what instrument did she play? Oboe.",Oboe
"In which children's TV programme, narrated by Derek Jacobi, would you see Iggle-Piggle and Upsy-Daisy? In the Night Garden.",In the Night Garden
What is name of the piece of leather on which a barber sharpens a cut throat razor? Strop.,Strop
"Who is reputed to have said, 'Today, I have gazed on the face of Agamemnon'? after discoveries at Mycenae? Heinrich Schliemann.",Heinrich Schliemann
"Which American Indian Lakota chief is the subject of a monument, begun in 1948, in the Black Hills of South Dakota? Crazy Horse.",Crazy Horse
"Which country is bordered by Moldova, Bulgaria, Serbia, Hungary and Ukraine? Romania.",Romania
Tempranillo is the main grape used in which Spanish wine? Rioja.,Rioja
Where does Marsala wine come from? Sicily.,Sicily
"""Who played Aragorn in the film """"Lord of the Rings""""?"" Viggo Mortensen.",Viggo Mortensen
"What is the name of Heston Blumenthal's restaurant in Bray, Berkshire? The Fat Duck.",The Fat Duck
"""Which newspaper was once called the """"Daily Herald""""?"" The Sun.",The Sun
Which Englishman is credited with the discovery of oxygen? Joseph Priestley.,Joseph Priestley
Which British chemist/inventor first isolated the chemical element sodium? Sir Humphry Davy.,Sir Humphry Davy
Who is the Greek muse of history? Clio.,Clio
Tolpuddle is in which English county? Dorset.,Dorset
In which city did the Peterloo Massacre occur? Manchester.,Manchester
"""Which Scottish-born physician and author wrote """"A Study in Scarlet""""?"" Arthur Conan Doyle.",Arthur Conan Doyle
"""Which French author wrote """"The Black Tulip""""?"" Alexandre Dumas.",Alexandre Dumas
"""Who wrote """"Our Man in Havana""""?"" Graham Greene.",Graham Greene
"""Who wrote """"Elegy in a Country Churchyard?"" Thomas Gray.",Thomas Gray
"Frederick Delius was born where? Bradford, England.","Bradford, England"
Eboracum is the Roman name for which city? York.,York
"""Who played country singer Johnny Cash in the film """"Walk the Line""""?"" Joaquin Phoenix.",Joaquin Phoenix
In which African country is the city of Fez? Morocco.,Morocco
In which Asian country is the city of Haifa? Israel.,Israel
"""Which Italian composed the opera """"La Traviata""""?"" Verdi.",Verdi
"""Which Austrian composed the opera """"The Magic Flute""""?"" Mozart.",Mozart
Who was the son of Philip II of Macedon? Alexander the Great.,Alexander the Great
"""Which American playwright/screenwriter wrote """"The Odd Couple""""?"" Neil Simon.",Neil Simon
In which constellation is the Great Nebula? Orion.,Orion
Who won the 2010 Open Golf Championship at St. Andrews? Louis Oosthuizen.,Louis Oosthuizen
Who won the 2010 World Snooker championship in Glasgow? Neil Robertson.,Neil Robertson
How many players are there per side in a GAA hurling team? 15.,15
How many players of each side are on the field of Australian Rules football? 18.,18
What is the capital city of the Dominican Republic? Santo Domingo.,Santo Domingo
In which English city is De Montfort University? Leicester.,Leicester
Who is the Patron Saint of musicians? St Cecilia.,St Cecilia
Who is the Patron Saint of lost or hopeless causes? St Jude.,St Jude
A Mobius strip (or band) has how many sides? One.,One
What is the state capital of Delaware? Dover.,Dover
Who is the voice of Po in the Kung Fu Panda films? Jack Black.,Jack Black
Give the common name for the plant `Kniphofia'. Red hot poker.,Red hot poker
Who had a hit in 1966 with 'Pretty Flamingo'? Manfred Mann.,Manfred Mann
Which word for a non-Christian or heathen is derived from the Latin for peasant or rustic? Pagan.,Pagan
Which tennis player was stabbed hi the back in Hamburg in 1993? Monica Seles.,Monica Seles
Who wrote 'The Allegory of Love' and 'Mere Christianity' in the 20th century? C. S. Lewis.,C. S. Lewis
Who was the first female president of the Irish Republic? Mary Robinson.,Mary Robinson
Cowcaddens and Hillhead are underground stations in which city? Glasgow.,Glasgow
"What number is on the film star Beetle car, Herbie? 53.",53
"What are Duke of Burgundy, White Admiral and Essex Skipper? Butterflies.",Butterflies
'La donna e mobile' is from which Verdi opera? Rigoletto.,Rigoletto
Gordon Beckham plays which sport for the Chicago White Sox? Baseball.,Baseball
Who won the 2011 Booker Prize for 'The Sense of an Ending'? Julian Barnes.,Julian Barnes
Kingsford Smith Airport serves which city? Sydney.,Sydney
"Travis Beckum plays American Football for the New York Giants in which position, denoted by the letters T E? Tight end.",Tight end
Who won the 2011 Turner Prize for his installation 'Do Words Have Voices'? Martin Boyce.,Martin Boyce
