question,correct_answer
What is 3 minus 1?,2
What is 4 minus 4?,0
What is 5 minus 9?,-4
What is 3 minus 2?,1
What is 7 minus 2?,5
What is 9 minus 1?,8
What is 4 minus 7?,-3
What is 6 minus 9?,-3
What is 3 minus 1?,2
What is 4 minus 9?,-5
What is 1 minus 9?,-8
What is 8 minus 2?,6
What is 1 minus 4?,-3
What is 3 minus 7?,-4
What is 8 minus 6?,2
What is 1 minus 7?,-6
What is 2 minus 7?,-5
What is 1 minus 1?,0
What is 7 minus 3?,4
What is 2 minus 3?,-1
What is 9 minus 5?,4
What is 6 minus 7?,-1
What is 4 minus 3?,1
What is 3 minus 4?,-1
What is 9 minus 6?,3
What is 5 minus 4?,1
What is 1 minus 8?,-7
What is 4 minus 2?,2
What is 6 minus 4?,2
What is 6 minus 6?,0
What is 3 minus 8?,-5
What is 1 minus 4?,-3
What is 7 minus 2?,5
What is 7 minus 2?,5
What is 4 minus 1?,3
What is 5 minus 9?,-4
What is 6 minus 2?,4
What is 5 minus 5?,0
What is 1 minus 6?,-5
What is 5 minus 2?,3
What is 8 minus 5?,3
What is 5 minus 1?,4
What is 9 minus 3?,6
What is 3 minus 7?,-4
What is 8 minus 4?,4
What is 3 minus 6?,-3
What is 3 minus 9?,-6
What is 2 minus 5?,-3
What is 7 minus 1?,6
What is 8 minus 3?,5
What is 33 minus 60?,-27
What is 70 minus 24?,46
What is 79 minus 21?,58
What is 10 minus 39?,-29
What is 15 minus 34?,-19
What is 47 minus 46?,1
What is 89 minus 93?,-4
What is 77 minus 99?,-22
What is 78 minus 44?,34
What is 29 minus 97?,-68
What is 21 minus 45?,-24
What is 10 minus 11?,-1
What is 29 minus 66?,-37
What is 87 minus 86?,1
What is 71 minus 68?,3
What is 59 minus 86?,-27
What is 86 minus 87?,-1
What is 37 minus 99?,-62
What is 83 minus 15?,68
What is 83 minus 79?,4
What is 91 minus 10?,81
What is 30 minus 83?,-53
What is 38 minus 79?,-41
What is 98 minus 72?,26
What is 20 minus 73?,-53
What is 53 minus 72?,-19
What is 96 minus 51?,45
What is 49 minus 96?,-47
What is 97 minus 81?,16
What is 89 minus 77?,12
What is 42 minus 36?,6
What is 46 minus 39?,7
What is 96 minus 12?,84
What is 42 minus 14?,28
What is 31 minus 14?,17
What is 36 minus 50?,-14
What is 57 minus 97?,-40
What is 81 minus 72?,9
What is 33 minus 62?,-29
What is 55 minus 37?,18
What is 49 minus 34?,15
What is 51 minus 77?,-26
What is 32 minus 87?,-55
What is 43 minus 85?,-42
What is 70 minus 96?,-26
What is 46 minus 20?,26
What is 97 minus 13?,84
What is 15 minus 64?,-49
What is 63 minus 90?,-27
What is 52 minus 71?,-19
What is 34 minus 43?,-9
What is 11 minus 11?,0
What is 63 minus 68?,-5
What is 57 minus 21?,36
What is 99 minus 36?,63
What is 79 minus 13?,66
What is 70 minus 30?,40
What is 16 minus 49?,-33
What is 28 minus 24?,4
What is 18 minus 95?,-77
What is 91 minus 85?,6
What is 28 minus 91?,-63
What is 45 minus 76?,-31
What is 63 minus 64?,-1
What is 61 minus 97?,-36
What is 43 minus 17?,26
What is 64 minus 54?,10
What is 37 minus 72?,-35
What is 95 minus 71?,24
What is 50 minus 44?,6
What is 67 minus 80?,-13
What is 74 minus 12?,62
What is 81 minus 87?,-6
What is 20 minus 96?,-76
What is 28 minus 73?,-45
What is 35 minus 45?,-10
What is 65 minus 98?,-33
What is 97 minus 94?,3
What is 99 minus 50?,49
What is 51 minus 98?,-47
What is 31 minus 35?,-4
What is 17 minus 93?,-76
What is 16 minus 81?,-65
What is 65 minus 12?,53
What is 69 minus 18?,51
What is 13 minus 94?,-81
What is 43 minus 86?,-43
What is 78 minus 95?,-17
What is 39 minus 19?,20
What is 97 minus 31?,66
What is 95 minus 14?,81
What is 35 minus 96?,-61
What is 81 minus 56?,25
What is 38 minus 36?,2
What is 42 minus 50?,-8
What is 73 minus 98?,-25
What is 57 minus 94?,-37
What is 98 minus 85?,13
What is 78 minus 61?,17
What is 19 minus 89?,-70
What is 62 minus 69?,-7
What is 97 minus 80?,17
What is 62 minus 70?,-8
What is 90 minus 15?,75
What is 59 minus 62?,-3
What is 63 minus 82?,-19
What is 46 minus 51?,-5
What is 36 minus 84?,-48
What is 25 minus 32?,-7
What is 61 minus 30?,31
What is 41 minus 91?,-50
What is 36 minus 25?,11
What is 21 minus 50?,-29
What is 12 minus 26?,-14
What is 93 minus 82?,11
What is 48 minus 91?,-43
What is 36 minus 87?,-51
What is 93 minus 71?,22
What is 93 minus 20?,73
What is 94 minus 51?,43
What is 36 minus 75?,-39
What is 87 minus 57?,30
What is 54 minus 85?,-31
What is 48 minus 24?,24
What is 37 minus 18?,19
What is 47 minus 86?,-39
What is 67 minus 24?,43
What is 69 minus 56?,13
What is 38 minus 60?,-22
What is 41 minus 89?,-48
What is 42 minus 51?,-9
What is 55 minus 12?,43
What is 78 minus 73?,5
What is 94 minus 28?,66
What is 84 minus 73?,11
What is 89 minus 30?,59
What is 32 minus 54?,-22
What is 96 minus 40?,56
What is 60 minus 51?,9
What is 21 minus 52?,-31
What is 40 minus 38?,2
What is 64 minus 93?,-29
What is 84 minus 37?,47
What is 99 minus 66?,33
What is 94 minus 27?,67
What is 71 minus 40?,31
What is 17 minus 35?,-18
What is 17 minus 45?,-28
What is 69 minus 63?,6
What is 83 minus 50?,33
What is 13 minus 40?,-27
What is 34 minus 30?,4
What is 81 minus 14?,67
What is 69 minus 23?,46
What is 90 minus 84?,6
What is 51 minus 22?,29
What is 53 minus 39?,14
What is 54 minus 47?,7
What is 57 minus 44?,13
What is 78 minus 98?,-20
What is 78 minus 72?,6
What is 38 minus 40?,-2
What is 73 minus 76?,-3
What is 71 minus 16?,55
What is 60 minus 51?,9
What is 21 minus 48?,-27
What is 43 minus 36?,7
What is 43 minus 18?,25
What is 11 minus 16?,-5
What is 92 minus 73?,19
What is 90 minus 71?,19
What is 83 minus 80?,3
What is 66 minus 36?,30
What is 45 minus 28?,17
What is 12 minus 38?,-26
What is 29 minus 23?,6
What is 51 minus 75?,-24
What is 89 minus 36?,53
What is 60 minus 53?,7
What is 39 minus 79?,-40
What is 35 minus 74?,-39
What is 49 minus 58?,-9
What is 91 minus 33?,58
What is 91 minus 62?,29
What is 81 minus 99?,-18
What is 45 minus 17?,28
What is 30 minus 28?,2
What is 46 minus 60?,-14
What is 56 minus 82?,-26
What is 39 minus 40?,-1
What is 12 minus 80?,-68
What is 36 minus 50?,-14
What is 72 minus 74?,-2
What is 81 minus 93?,-12
What is 35 minus 37?,-2
What is 33 minus 61?,-28
What is 91 minus 30?,61
What is 38 minus 32?,6
What is 21 minus 35?,-14
What is 50 minus 18?,32
What is 62 minus 95?,-33
What is 87 minus 35?,52
What is 33 minus 19?,14
What is 19 minus 41?,-22
What is 88 minus 28?,60
What is 24 minus 12?,12
What is 65 minus 17?,48
What is 54 minus 51?,3
What is 46 minus 44?,2
What is 80 minus 27?,53
What is 88 minus 61?,27
What is 62 minus 42?,20
What is 82 minus 92?,-10
What is 81 minus 42?,39
What is 82 minus 62?,20
What is 43 minus 39?,4
What is 23 minus 21?,2
What is 97 minus 25?,72
What is 25 minus 66?,-41
What is 77 minus 51?,26
What is 64 minus 89?,-25
What is 52 minus 97?,-45
What is 40 minus 64?,-24
What is 56 minus 46?,10
What is 37 minus 76?,-39
What is 24 minus 54?,-30
What is 82 minus 16?,66
What is 57 minus 64?,-7
What is 56 minus 64?,-8
What is 40 minus 75?,-35
What is 54 minus 98?,-44
What is 79 minus 19?,60
What is 45 minus 98?,-53
What is 12 minus 36?,-24
What is 63 minus 10?,53
What is 99 minus 83?,16
What is 22 minus 92?,-70
What is 98 minus 88?,10
What is 41 minus 47?,-6
What is 66 minus 69?,-3
What is 94 minus 93?,1
What is 33 minus 86?,-53
What is 22 minus 47?,-25
What is 87 minus 17?,70
What is 50 minus 14?,36
What is 75 minus 80?,-5
What is 20 minus 87?,-67
What is 40 minus 82?,-42
What is 72 minus 82?,-10
What is 23 minus 91?,-68
What is 11 minus 41?,-30
What is 78 minus 37?,41
What is 87 minus 79?,8
What is 29 minus 73?,-44
What is 76 minus 61?,15
What is 93 minus 93?,0
What is 84 minus 21?,63
What is 81 minus 58?,23
What is 45 minus 22?,23
What is 73 minus 37?,36
What is 43 minus 88?,-45
What is 95 minus 73?,22
What is 54 minus 29?,25
What is 45 minus 11?,34
What is 50 minus 63?,-13
What is 85 minus 55?,30
What is 30 minus 11?,19
What is 92 minus 32?,60
What is 65 minus 20?,45
What is 21 minus 58?,-37
What is 42 minus 62?,-20
What is 35 minus 86?,-51
What is 22 minus 50?,-28
What is 60 minus 13?,47
What is 69 minus 62?,7
What is 24 minus 83?,-59
What is 78 minus 66?,12
What is 65 minus 19?,46
What is 65 minus 74?,-9
What is 27 minus 25?,2
What is 60 minus 16?,44
What is 93 minus 79?,14
What is 43 minus 68?,-25
What is 93 minus 69?,24
What is 35 minus 58?,-23
What is 98 minus 59?,39
What is 20 minus 21?,-1
What is 56 minus 57?,-1
What is 83 minus 86?,-3
What is 80 minus 70?,10
What is 64 minus 58?,6
What is 46 minus 46?,0
What is 39 minus 16?,23
What is 30 minus 41?,-11
What is 27 minus 52?,-25
What is 29 minus 18?,11
What is 65 minus 68?,-3
What is 19 minus 40?,-21
What is 12 minus 80?,-68
What is 38 minus 55?,-17
What is 44 minus 90?,-46
What is 57 minus 92?,-35
What is 19 minus 21?,-2
What is 53 minus 13?,40
What is 93 minus 97?,-4
What is 85 minus 53?,32
What is 36 minus 74?,-38
What is 42 minus 45?,-3
What is 57 minus 32?,25
What is 76 minus 36?,40
What is 37 minus 34?,3
What is 58 minus 99?,-41
What is 17 minus 61?,-44
What is 34 minus 48?,-14
What is 63 minus 49?,14
What is 79 minus 24?,55
What is 33 minus 47?,-14
What is 11 minus 62?,-51
What is 39 minus 60?,-21
What is 22 minus 46?,-24
What is 14 minus 93?,-79
What is 24 minus 36?,-12
What is 98 minus 58?,40
What is 85 minus 76?,9
What is 55 minus 22?,33
What is 29 minus 42?,-13
What is 49 minus 34?,15
What is 88 minus 20?,68
What is 79 minus 73?,6
What is 29 minus 41?,-12
What is 78 minus 82?,-4
What is 47 minus 36?,11
What is 12 minus 27?,-15
What is 81 minus 95?,-14
What is 94 minus 13?,81
What is 67 minus 25?,42
What is 43 minus 45?,-2
What is 59 minus 23?,36
What is 58 minus 46?,12
What is 64 minus 99?,-35
What is 26 minus 93?,-67
What is 30 minus 21?,9
What is 48 minus 70?,-22
What is 64 minus 45?,19
What is 23 minus 12?,11
What is 69 minus 42?,27
What is 13 minus 51?,-38
What is 45 minus 73?,-28
What is 93 minus 76?,17
What is 63 minus 64?,-1
What is 43 minus 51?,-8
What is 58 minus 45?,13
What is 89 minus 28?,61
What is 47 minus 67?,-20
What is 68 minus 39?,29
What is 99 minus 32?,67
What is 69 minus 21?,48
What is 50 minus 24?,26
What is 64 minus 17?,47
What is 22 minus 73?,-51
What is 57 minus 24?,33
What is 74 minus 70?,4
What is 45 minus 53?,-8
What is 85 minus 73?,12
What is 48 minus 22?,26
What is 93 minus 15?,78
What is 89 minus 61?,28
What is 56 minus 60?,-4
What is 76 minus 77?,-1
What is 57 minus 60?,-3
What is 35 minus 18?,17
What is 39 minus 42?,-3
What is 92 minus 34?,58
What is 90 minus 74?,16
What is 49 minus 42?,7
What is 21 minus 76?,-55
What is 84 minus 33?,51
What is 24 minus 30?,-6
What is 21 minus 36?,-15
What is 57 minus 98?,-41
What is 60 minus 41?,19
What is 41 minus 82?,-41
What is 74 minus 49?,25
What is 18 minus 21?,-3
What is 63 minus 16?,47
What is 15 minus 65?,-50
What is 58 minus 32?,26
What is 71 minus 17?,54
What is 57 minus 18?,39
What is 24 minus 32?,-8
What is 92 minus 90?,2
What is 58 minus 61?,-3
What is 69 minus 19?,50
What is 20 minus 26?,-6
What is 78 minus 76?,2
What is 54 minus 33?,21
What is 67 minus 84?,-17
What is 30 minus 13?,17
What is 67 minus 20?,47
What is 49 minus 75?,-26
What is 310 minus 882?,-572
What is 999 minus 170?,829
What is 297 minus 408?,-111
What is 184 minus 216?,-32
What is 423 minus 520?,-97
What is 276 minus 456?,-180
What is 139 minus 296?,-157
What is 713 minus 471?,242
What is 661 minus 717?,-56
What is 697 minus 133?,564
What is 861 minus 731?,130
What is 945 minus 704?,241
What is 741 minus 698?,43
What is 122 minus 595?,-473
What is 571 minus 950?,-379
What is 945 minus 807?,138
What is 555 minus 405?,150
What is 251 minus 847?,-596
What is 471 minus 933?,-462
What is 180 minus 917?,-737
What is 881 minus 132?,749
What is 339 minus 506?,-167
What is 789 minus 311?,478
What is 251 minus 310?,-59
What is 549 minus 984?,-435
What is 895 minus 145?,750
What is 660 minus 449?,211
What is 302 minus 830?,-528
What is 128 minus 513?,-385
What is 286 minus 934?,-648
What is 190 minus 617?,-427
What is 592 minus 140?,452
What is 840 minus 247?,593
What is 764 minus 775?,-11
What is 805 minus 964?,-159
What is 648 minus 717?,-69
What is 975 minus 124?,851
What is 912 minus 163?,749
What is 608 minus 185?,423
What is 922 minus 815?,107
What is 845 minus 324?,521
What is 822 minus 689?,133
What is 510 minus 620?,-110
What is 837 minus 891?,-54
What is 108 minus 685?,-577
What is 630 minus 698?,-68
What is 214 minus 246?,-32
What is 576 minus 344?,232
What is 798 minus 622?,176
What is 491 minus 420?,71
What is 424 minus 468?,-44
What is 346 minus 307?,39
What is 257 minus 267?,-10
What is 272 minus 237?,35
What is 952 minus 360?,592
What is 115 minus 648?,-533
What is 540 minus 835?,-295
What is 609 minus 652?,-43
What is 385 minus 208?,177
What is 783 minus 643?,140
What is 410 minus 209?,201
What is 211 minus 507?,-296
What is 492 minus 510?,-18
What is 702 minus 139?,563
What is 856 minus 674?,182
What is 336 minus 207?,129
What is 649 minus 659?,-10
What is 811 minus 158?,653
What is 366 minus 908?,-542
What is 681 minus 814?,-133
What is 400 minus 745?,-345
What is 617 minus 476?,141
What is 737 minus 899?,-162
What is 166 minus 115?,51
What is 672 minus 520?,152
What is 713 minus 817?,-104
What is 951 minus 109?,842
What is 394 minus 918?,-524
What is 913 minus 658?,255
What is 686 minus 586?,100
What is 262 minus 636?,-374
What is 770 minus 142?,628
What is 633 minus 601?,32
What is 912 minus 154?,758
What is 395 minus 522?,-127
What is 695 minus 274?,421
What is 750 minus 757?,-7
What is 154 minus 650?,-496
What is 385 minus 757?,-372
What is 364 minus 979?,-615
What is 433 minus 655?,-222
What is 480 minus 642?,-162
What is 763 minus 237?,526
What is 493 minus 557?,-64
What is 511 minus 594?,-83
What is 612 minus 290?,322
What is 827 minus 551?,276
What is 744 minus 192?,552
What is 631 minus 964?,-333
What is 650 minus 358?,292
What is 962 minus 847?,115
What is 580 minus 561?,19
What is 177 minus 267?,-90
What is 199 minus 308?,-109
What is 872 minus 958?,-86
What is 387 minus 824?,-437
What is 392 minus 551?,-159
What is 127 minus 415?,-288
What is 279 minus 186?,93
What is 759 minus 244?,515
What is 833 minus 783?,50
What is 345 minus 859?,-514
What is 121 minus 243?,-122
What is 708 minus 825?,-117
What is 662 minus 549?,113
What is 638 minus 695?,-57
What is 362 minus 663?,-301
What is 354 minus 370?,-16
What is 638 minus 923?,-285
What is 381 minus 280?,101
What is 723 minus 812?,-89
What is 417 minus 667?,-250
What is 537 minus 904?,-367
What is 420 minus 693?,-273
What is 160 minus 969?,-809
What is 941 minus 449?,492
What is 980 minus 848?,132
What is 446 minus 474?,-28
What is 994 minus 139?,855
What is 604 minus 866?,-262
What is 616 minus 800?,-184
What is 395 minus 254?,141
What is 831 minus 986?,-155
What is 753 minus 525?,228
What is 789 minus 916?,-127
What is 311 minus 837?,-526
What is 140 minus 406?,-266
What is 762 minus 763?,-1
What is 877 minus 134?,743
What is 658 minus 843?,-185
What is 363 minus 331?,32
What is 893 minus 498?,395
What is 428 minus 948?,-520
What is 723 minus 524?,199
What is 353 minus 799?,-446
What is 509 minus 495?,14
What is 860 minus 649?,211
What is 930 minus 163?,767
What is 761 minus 482?,279
What is 504 minus 393?,111
What is 158 minus 366?,-208
What is 819 minus 426?,393
What is 814 minus 265?,549
What is 744 minus 862?,-118
What is 226 minus 323?,-97
What is 542 minus 469?,73
What is 746 minus 675?,71
What is 483 minus 715?,-232
What is 497 minus 184?,313
What is 275 minus 789?,-514
What is 565 minus 132?,433
What is 143 minus 955?,-812
What is 856 minus 561?,295
What is 996 minus 362?,634
What is 507 minus 776?,-269
What is 731 minus 728?,3
What is 172 minus 620?,-448
What is 259 minus 140?,119
What is 201 minus 281?,-80
What is 865 minus 117?,748
What is 903 minus 813?,90
What is 451 minus 181?,270
What is 807 minus 101?,706
What is 243 minus 318?,-75
What is 894 minus 826?,68
What is 358 minus 967?,-609
What is 350 minus 850?,-500
What is 849 minus 839?,10
What is 785 minus 497?,288
What is 151 minus 251?,-100
What is 525 minus 744?,-219
What is 491 minus 839?,-348
What is 766 minus 196?,570
What is 220 minus 312?,-92
What is 764 minus 605?,159
What is 802 minus 822?,-20
What is 575 minus 712?,-137
What is 118 minus 490?,-372
What is 775 minus 302?,473
What is 840 minus 175?,665
What is 850 minus 738?,112
What is 566 minus 289?,277
What is 166 minus 789?,-623
What is 573 minus 624?,-51
What is 744 minus 713?,31
What is 506 minus 292?,214
What is 481 minus 746?,-265
What is 581 minus 769?,-188
What is 873 minus 319?,554
What is 760 minus 448?,312
What is 270 minus 181?,89
What is 995 minus 122?,873
What is 111 minus 596?,-485
What is 396 minus 846?,-450
What is 190 minus 813?,-623
What is 986 minus 520?,466
What is 647 minus 265?,382
What is 941 minus 242?,699
What is 120 minus 789?,-669
What is 504 minus 456?,48
What is 915 minus 326?,589
What is 693 minus 594?,99
What is 949 minus 199?,750
What is 356 minus 668?,-312
What is 708 minus 417?,291
What is 484 minus 724?,-240
What is 359 minus 547?,-188
What is 160 minus 658?,-498
What is 393 minus 489?,-96
What is 675 minus 458?,217
What is 728 minus 799?,-71
What is 265 minus 677?,-412
What is 730 minus 457?,273
What is 966 minus 786?,180
What is 694 minus 964?,-270
What is 761 minus 323?,438
What is 434 minus 621?,-187
What is 545 minus 665?,-120
What is 853 minus 664?,189
What is 426 minus 237?,189
What is 745 minus 819?,-74
What is 238 minus 678?,-440
What is 903 minus 499?,404
What is 660 minus 717?,-57
What is 515 minus 781?,-266
What is 948 minus 905?,43
What is 768 minus 453?,315
What is 822 minus 959?,-137
What is 649 minus 816?,-167
What is 349 minus 465?,-116
What is 670 minus 451?,219
What is 481 minus 981?,-500
What is 281 minus 688?,-407
What is 388 minus 546?,-158
What is 692 minus 700?,-8
What is 121 minus 121?,0
What is 986 minus 484?,502
What is 442 minus 710?,-268
What is 279 minus 912?,-633
What is 338 minus 236?,102
What is 822 minus 166?,656
What is 969 minus 491?,478
What is 101 minus 319?,-218
What is 713 minus 284?,429
What is 271 minus 218?,53
What is 836 minus 207?,629
What is 135 minus 633?,-498
What is 755 minus 182?,573
What is 150 minus 947?,-797
What is 499 minus 745?,-246
What is 291 minus 120?,171
What is 575 minus 473?,102
What is 726 minus 683?,43
What is 555 minus 460?,95
What is 120 minus 317?,-197
What is 414 minus 499?,-85
What is 460 minus 618?,-158
What is 756 minus 271?,485
What is 934 minus 679?,255
What is 229 minus 358?,-129
What is 774 minus 218?,556
What is 180 minus 363?,-183
What is 380 minus 353?,27
What is 476 minus 508?,-32
What is 103 minus 172?,-69
What is 304 minus 835?,-531
What is 856 minus 827?,29
What is 570 minus 821?,-251
What is 136 minus 765?,-629
What is 808 minus 771?,37
What is 846 minus 921?,-75
What is 473 minus 314?,159
What is 117 minus 823?,-706
What is 824 minus 168?,656
What is 119 minus 569?,-450
What is 666 minus 115?,551
What is 859 minus 382?,477
What is 191 minus 489?,-298
What is 500 minus 539?,-39
What is 312 minus 687?,-375
What is 720 minus 860?,-140
What is 358 minus 838?,-480
What is 727 minus 342?,385
What is 303 minus 766?,-463
What is 652 minus 980?,-328
What is 306 minus 750?,-444
What is 968 minus 819?,149
What is 639 minus 565?,74
What is 242 minus 657?,-415
What is 144 minus 203?,-59
What is 910 minus 543?,367
What is 412 minus 716?,-304
What is 746 minus 319?,427
What is 355 minus 505?,-150
What is 578 minus 409?,169
What is 487 minus 553?,-66
What is 116 minus 102?,14
What is 612 minus 678?,-66
What is 390 minus 293?,97
What is 461 minus 450?,11
What is 530 minus 154?,376
What is 642 minus 761?,-119
What is 645 minus 185?,460
What is 497 minus 295?,202
What is 746 minus 961?,-215
What is 878 minus 362?,516
What is 320 minus 904?,-584
What is 621 minus 869?,-248
What is 254 minus 600?,-346
What is 559 minus 897?,-338
What is 137 minus 822?,-685
What is 875 minus 354?,521
What is 445 minus 386?,59
What is 580 minus 326?,254
What is 375 minus 656?,-281
What is 528 minus 342?,186
What is 590 minus 145?,445
What is 752 minus 696?,56
What is 125 minus 373?,-248
What is 498 minus 778?,-280
What is 562 minus 600?,-38
What is 277 minus 960?,-683
What is 519 minus 353?,166
What is 191 minus 142?,49
What is 698 minus 827?,-129
What is 493 minus 859?,-366
What is 663 minus 958?,-295
What is 535 minus 821?,-286
What is 234 minus 827?,-593
What is 516 minus 730?,-214
What is 372 minus 753?,-381
What is 555 minus 334?,221
What is 287 minus 425?,-138
What is 767 minus 752?,15
What is 958 minus 773?,185
What is 134 minus 234?,-100
What is 849 minus 435?,414
What is 972 minus 499?,473
What is 675 minus 409?,266
What is 432 minus 866?,-434
What is 997 minus 118?,879
What is 445 minus 720?,-275
What is 141 minus 899?,-758
What is 477 minus 568?,-91
What is 937 minus 798?,139
What is 340 minus 733?,-393
What is 768 minus 182?,586
What is 212 minus 257?,-45
What is 176 minus 249?,-73
What is 372 minus 548?,-176
What is 226 minus 533?,-307
What is 196 minus 251?,-55
What is 530 minus 246?,284
What is 464 minus 830?,-366
What is 497 minus 883?,-386
What is 612 minus 797?,-185
What is 468 minus 285?,183
What is 794 minus 209?,585
What is 295 minus 917?,-622
What is 187 minus 121?,66
What is 533 minus 765?,-232
What is 957 minus 279?,678
What is 830 minus 460?,370
What is 829 minus 783?,46
What is 271 minus 279?,-8
What is 140 minus 368?,-228
What is 587 minus 975?,-388
What is 378 minus 465?,-87
What is 505 minus 255?,250
What is 370 minus 505?,-135
What is 514 minus 723?,-209
What is 492 minus 283?,209
What is 203 minus 549?,-346
What is 946 minus 495?,451
What is 264 minus 292?,-28
What is 895 minus 521?,374
What is 144 minus 616?,-472
What is 968 minus 760?,208
What is 883 minus 104?,779
What is 970 minus 506?,464
What is 308 minus 188?,120
What is 391 minus 352?,39
What is 312 minus 163?,149
What is 112 minus 772?,-660
What is 720 minus 801?,-81
What is 872 minus 783?,89
What is 979 minus 560?,419
What is 626 minus 521?,105
What is 829 minus 345?,484
What is 579 minus 853?,-274
What is 100 minus 678?,-578
What is 414 minus 207?,207
What is 225 minus 399?,-174
What is 339 minus 543?,-204
What is 787 minus 822?,-35
What is 646 minus 905?,-259
What is 738 minus 623?,115
What is 818 minus 129?,689
What is 177 minus 620?,-443
What is 909 minus 288?,621
What is 741 minus 942?,-201
What is 110 minus 898?,-788
What is 448 minus 365?,83
What is 685 minus 311?,374
What is 873 minus 943?,-70
What is 928 minus 201?,727
What is 178 minus 591?,-413
What is 168 minus 354?,-186
What is 172 minus 429?,-257
What is 762 minus 377?,385
What is 763 minus 521?,242
What is 789 minus 108?,681
What is 614 minus 146?,468
What is 467 minus 718?,-251
What is 402 minus 628?,-226
What is 320 minus 462?,-142
What is 284 minus 755?,-471
What is 645 minus 145?,500
What is 197 minus 147?,50
What is 634 minus 660?,-26
What is 349 minus 762?,-413
What is 834 minus 357?,477
What is 625 minus 860?,-235
What is 126 minus 344?,-218
What is 453 minus 279?,174
What is 578 minus 591?,-13
What is 743 minus 533?,210
What is 959 minus 345?,614
What is 655 minus 300?,355
What is 782 minus 248?,534
What is 249 minus 801?,-552
What is 906 minus 144?,762
What is 146 minus 206?,-60
What is 681 minus 175?,506
What is 212 minus 511?,-299
What is 718 minus 323?,395
What is 635 minus 486?,149
What is 588 minus 652?,-64
What is 424 minus 332?,92
What is 362 minus 930?,-568
What is 435 minus 235?,200
What is 325 minus 126?,199
What is 985 minus 690?,295
What is 751 minus 563?,188
What is 112 minus 159?,-47
What is 298 minus 180?,118
What is 706 minus 604?,102
What is 566 minus 530?,36
What is 670 minus 337?,333
What is 633 minus 589?,44
What is 505 minus 746?,-241
What is 708 minus 669?,39
What is 514 minus 774?,-260
What is 237 minus 430?,-193
What is 449 minus 966?,-517
What is 647 minus 298?,349
What is 599 minus 391?,208
What is 501 minus 405?,96
What is 730 minus 215?,515
What is 421 minus 425?,-4
What is 332 minus 950?,-618
What is 279 minus 937?,-658
What is 942 minus 725?,217
What is 912 minus 637?,275
What is 529 minus 978?,-449
What is 425 minus 169?,256
What is 891 minus 189?,702
What is 379 minus 920?,-541
What is 136 minus 869?,-733
What is 431 minus 618?,-187
What is 675 minus 393?,282
What is 109 minus 449?,-340
What is 843 minus 694?,149
What is 649 minus 627?,22
What is 593 minus 380?,213
What is 802 minus 834?,-32
What is 641 minus 635?,6
What is 851 minus 942?,-91
What is 429 minus 437?,-8
What is 275 minus 470?,-195
What is 342 minus 157?,185
What is 347 minus 214?,133
What is 943 minus 656?,287
What is 225 minus 619?,-394
What is 399 minus 425?,-26
What is 218 minus 681?,-463
What is 843 minus 935?,-92
What is 975 minus 433?,542
What is 532 minus 200?,332
What is 643 minus 378?,265
What is 5 times 4?,20
What is 1 times 7?,7
What is 4 times 3?,12
What is 5 times 4?,20
What is 2 times 9?,18
What is 5 times 4?,20
What is 3 times 9?,27
What is 3 times 8?,24
What is 6 times 4?,24
What is 3 times 5?,15
What is 5 times 8?,40
What is 9 times 6?,54
What is 1 times 2?,2
What is 1 times 6?,6
What is 8 times 4?,32
What is 7 times 4?,28
What is 5 times 1?,5
What is 5 times 5?,25
What is 3 times 3?,9
What is 9 times 9?,81
What is 8 times 1?,8
What is 1 times 8?,8
What is 4 times 9?,36
What is 9 times 9?,81
What is 3 times 7?,21
What is 1 times 6?,6
What is 7 times 1?,7
What is 2 times 1?,2
What is 7 times 6?,42
What is 9 times 7?,63
What is 7 times 2?,14
What is 7 times 3?,21
What is 3 times 3?,9
What is 5 times 7?,35
What is 3 times 6?,18
What is 6 times 5?,30
What is 7 times 7?,49
What is 3 times 1?,3
What is 4 times 6?,24
What is 7 times 8?,56
What is 8 times 6?,48
What is 3 times 9?,27
What is 4 times 7?,28
What is 9 times 4?,36
What is 5 times 7?,35
What is 2 times 5?,10
What is 7 times 3?,21
What is 7 times 9?,63
What is 1 times 5?,5
What is 2 times 7?,14
What is 7 times 7?,49
What is 8 times 4?,32
What is 4 times 1?,4
What is 3 times 4?,12
What is 3 times 7?,21
What is 6 times 6?,36
What is 8 times 4?,32
What is 2 times 8?,16
What is 5 times 2?,10
What is 1 times 4?,4
What is 7 times 2?,14
What is 9 times 2?,18
What is 2 times 8?,16
What is 5 times 5?,25
What is 2 times 3?,6
What is 6 times 9?,54
What is 2 times 3?,6
What is 7 times 7?,49
What is 1 times 6?,6
What is 5 times 4?,20
What is 5 times 9?,45
What is 8 times 9?,72
What is 7 times 7?,49
What is 9 times 5?,45
What is 7 times 3?,21
What is 1 times 7?,7
What is 5 times 8?,40
What is 8 times 7?,56
What is 6 times 9?,54
What is 4 times 9?,36
What is 3 times 7?,21
What is 6 times 3?,18
What is 3 times 2?,6
What is 9 times 1?,9
What is 2 times 5?,10
What is 1 times 6?,6
What is 2 times 4?,8
What is 5 times 1?,5
What is 2 times 4?,8
What is 7 times 5?,35
What is 8 times 2?,16
What is 6 times 4?,24
What is 2 times 7?,14
What is 6 times 7?,42
What is 1 times 6?,6
What is 2 times 7?,14
What is 4 times 2?,8
